date,mean_concentration
2019-01-01,6.539278236640854e-05
2019-01-16,6.733953703254174e-05
2019-02-01,6.635500310439258e-05
2019-02-16,7.313872804068173e-05
2019-03-01,7.029941528448974e-05
2019-03-16,8.241927253950806e-05
2019-04-01,7.993986747588788e-05
2019-04-16,8.698065249239491e-05
2019-05-01,7.80895825702905e-05
2019-05-16,8.202170483121641e-05
2019-06-01,8.810657429398077e-05
2019-06-16,8.41702244845259e-05
2019-07-01,
2019-07-16,6.356198706365002e-05
2019-08-01,6.123384811956308e-05
2019-08-16,6.138126091248505e-05
2019-09-01,5.153151208678813e-05
2019-09-16,5.505545890568014e-05
2019-10-01,6.059029733686873e-05
2019-10-16,5.274984358358677e-05
2019-11-01,5.359539586592635e-05
2019-11-16,5.715259661310857e-05
2019-12-01,5.83696083806557e-05
2019-12-16,5.139446644137975e-05
2020-01-01,5.630092247543018e-05
2020-01-16,5.501706232488561e-05
2020-02-01,5.751805345248525e-05
2020-02-16,6.182096852822446e-05
2020-03-01,6.535016443250565e-05
2020-03-16,7.241802765621415e-05
2020-04-01,7.788264625985372e-05
2020-04-16,7.559029341318807e-05
2020-05-01,7.494105024395078e-05
2020-05-16,7.297005225183562e-05
2020-06-01,8.298843096310196e-05
2020-06-16,8.331720779425641e-05
2020-07-01,6.809673166362517e-05
2020-07-16,6.969131855009548e-05
2020-08-01,6.32507621914501e-05
2020-08-16,5.233310128845088e-05
2020-09-01,6.04492353333952e-05
2020-09-16,5.8381958665704426e-05
2020-10-01,6.248340038352849e-05
2020-10-16,6.2336289186375e-05
2020-11-01,6.351798841437713e-05
2020-11-16,6.397133831980822e-05
2020-12-01,6.616363126688224e-05
2020-12-16,6.709005359676838e-05
2021-01-01,6.337306734770882e-05
2021-01-16,6.820104875909255e-05
2021-02-01,7.071986546040099e-05
2021-02-16,7.689279847658797e-05
2021-03-01,7.914252505095455e-05
2021-03-16,8.606986159518805e-05
2021-04-01,9.066363981473672e-05
2021-04-16,8.54605260362654e-05
2021-05-01,8.015321746589167e-05
2021-05-16,8.398733982615161e-05
2021-06-01,8.951218406044819e-05
2021-06-16,7.423783841598147e-05
2021-07-01,7.456697129682112e-05
2021-07-16,6.3511912074025e-05
2021-08-01,6.890736533005964e-05
2021-08-16,6.610155387836343e-05
2021-09-01,7.136707376659373e-05
2021-09-16,6.249002387188118e-05
2021-10-01,6.492203948505077e-05
2021-10-16,6.509949252161951e-05
2021-11-01,6.721229954076591e-05
2021-11-16,6.137478169599294e-05
2021-12-01,6.356148611189435e-05
2021-12-16,6.071881482767588e-05
2022-01-01,5.749647787992151e-05
2022-01-16,6.35141012011776e-05
2022-02-01,6.642291477097193e-05
2022-02-16,6.177127851027391e-05
2022-03-01,6.490085232741247e-05
2022-03-16,7.54222167659739e-05
2022-04-01,7.904515164020847e-05
2022-04-16,7.24720926411719e-05
2022-05-01,7.584999603833816e-05
2022-05-16,7.364169019415878e-05
2022-06-01,7.476309936554428e-05
2022-06-16,7.181707539037362e-05
2022-07-01,6.83286030761325e-05
2022-07-16,7.418443991357977e-05
2022-08-01,6.238855727656836e-05
2022-08-16,6.152725169165329e-05
2022-09-01,6.66477350581453e-05
2022-09-16,6.419212889941328e-05
2022-10-01,6.16199432599627e-05
2022-10-16,6.871018117513738e-05
2022-11-01,6.99968747451617e-05
2022-11-16,7.001203613362083e-05
2022-12-01,7.05840319275863e-05
2022-12-16,7.73763353964562e-05
2023-01-01,7.22681811551855e-05
2023-01-16,7.169022096832525e-05
2023-02-01,7.70448856135554e-05
2023-02-16,7.511086800050302e-05
2023-03-01,7.65354816053886e-05
2023-03-16,8.806367856454537e-05
2023-04-01,8.607127767313069e-05
2023-04-16,9.487682205605871e-05
2023-05-01,8.524872308579432e-05
2023-05-16,8.102764811743282e-05
2023-06-01,8.845796979343377e-05
2023-06-16,8.005847300919363e-05
2023-07-01,7.731959138668547e-05
2023-07-16,7.115855265151036e-05
2023-08-01,6.572869114625983e-05
2023-08-16,6.716688766207977e-05
2023-09-01,7.242897177956713e-05
2023-09-16,7.015869005374589e-05
2023-10-01,7.01064477799218e-05
2023-10-16,6.940150125737878e-05
2023-11-01,6.905700152867829e-05
2023-11-16,6.694767526646183e-05
2023-12-01,6.471904176986146e-05
2023-12-16,5.977943175103253e-05
