date,mean_concentration
2019-01-01,6.380393829013806e-05
2019-01-16,7.192608580246729e-05
2019-02-01,6.726980066751049e-05
2019-02-16,6.86225177024084e-05
2019-03-01,6.927951964542952e-05
2019-03-16,8.387205901888929e-05
2019-04-01,8.15507113284819e-05
2019-04-16,9.531585386903124e-05
2019-05-01,7.595533128758976e-05
2019-05-16,7.857255354919782e-05
2019-06-01,9.513204650390164e-05
2019-06-16,8.05802692534665e-05
2019-07-01,5.875927703370508e-05
2019-07-16,6.792875362302559e-05
2019-08-01,5.788914594274192e-05
2019-08-16,5.6553780594768754e-05
2019-09-01,4.818300335315273e-05
2019-09-16,5.273494269961746e-05
2019-10-01,7.244583749650116e-05
2019-10-16,6.444927422770592e-05
2019-11-01,5.762911530075394e-05
2019-11-16,5.93613246984184e-05
2019-12-01,5.8615634375351e-05
2019-12-16,5.681464878755694e-05
2020-01-01,5.928902944204656e-05
2020-01-16,5.476330300041695e-05
2020-02-01,5.879356653922827e-05
2020-02-16,6.335786897542567e-05
2020-03-01,6.096207695293059e-05
2020-03-16,7.197347785903875e-05
2020-04-01,7.224106349042874e-05
2020-04-16,7.224547627113588e-05
2020-05-01,7.282462126066587e-05
2020-05-16,7.358642107982785e-05
2020-06-01,7.88022372158555e-05
2020-06-16,6.552642947840578e-05
2020-07-01,6.00927038299031e-05
2020-07-16,5.826613634101e-05
2020-08-01,5.786495004885149e-05
2020-08-16,5.1888893696889294e-05
2020-09-01,5.5256327810537776e-05
2020-09-16,5.558011958806887e-05
2020-10-01,6.590873416934101e-05
2020-10-16,6.222644757115373e-05
2020-11-01,6.576632981407009e-05
2020-11-16,6.506521018756119e-05
2020-12-01,7.255876978045645e-05
2020-12-16,7.347120752613017e-05
2021-01-01,7.511658870700265e-05
2021-01-16,6.825618395763338e-05
2021-02-01,7.240218044230399e-05
2021-02-16,8.033125149917544e-05
2021-03-01,7.824926557320182e-05
2021-03-16,8.583251502524557e-05
2021-04-01,9.57182301052958e-05
2021-04-16,9.12311552427591e-05
2021-05-01,8.73253677815985e-05
2021-05-16,8.812857725968301e-05
2021-06-01,8.884416153781042e-05
2021-06-16,6.879255337396169e-05
2021-07-01,7.048366640899969e-05
2021-07-16,6.377215079951429e-05
2021-08-01,6.24496103113137e-05
2021-08-16,6.403056021494837e-05
2021-09-01,6.594483192719641e-05
2021-09-16,6.16516392634643e-05
2021-10-01,7.491918246429838e-05
2021-10-16,6.994126705915262e-05
2021-11-01,8.338403210699674e-05
2021-11-16,6.546764067809635e-05
2021-12-01,7.402794806154977e-05
2021-12-16,6.516577404061934e-05
2022-01-01,6.207966363053753e-05
2022-01-16,6.718723248365394e-05
2022-02-01,6.759222869810706e-05
2022-02-16,6.413545329216222e-05
2022-03-01,7.305608199040034e-05
2022-03-16,7.885633386871172e-05
2022-04-01,8.898928559237208e-05
2022-04-16,7.66485162687399e-05
2022-05-01,8.166612598507293e-05
2022-05-16,6.951621388258389e-05
2022-06-01,7.75740119163023e-05
2022-06-16,8.079669855684654e-05
2022-07-01,6.297677313030082e-05
2022-07-16,5.461042884162711e-05
2022-08-01,5.895966332535393e-05
2022-08-16,5.673721253079752e-05
2022-09-01,6.422418737563854e-05
2022-09-16,6.805098978066682e-05
2022-10-01,6.53251662229221e-05
2022-10-16,8.53518055249044e-05
2022-11-01,8.818229086579936e-05
2022-11-16,8.82930419628567e-05
2022-12-01,7.89569141799019e-05
2022-12-16,9.213776695608436e-05
2023-01-01,7.529822293661719e-05
2023-01-16,7.1930460730433e-05
2023-02-01,8.305200086123673e-05
2023-02-16,7.682659319076432e-05
2023-03-01,8.01496966379169e-05
2023-03-16,8.653559373049786e-05
2023-04-01,8.639880424361572e-05
2023-04-16,9.415154004682692e-05
2023-05-01,9.255643850722065e-05
2023-05-16,7.82983160628289e-05
2023-06-01,8.371224668530905e-05
2023-06-16,7.401087655935951e-05
2023-07-01,7.728032357696627e-05
2023-07-16,6.639835038136458e-05
2023-08-01,6.232971880452559e-05
2023-08-16,6.388070084584917e-05
2023-09-01,7.029212637770229e-05
2023-09-16,6.814906172856719e-05
2023-10-01,7.523825082574516e-05
2023-10-16,8.403544507627474e-05
2023-11-01,7.844747088380389e-05
2023-11-16,8.349844151086471e-05
2023-12-01,7.382760846283725e-05
2023-12-16,7.522443281446487e-05
