date,mean_concentration
2020-01-01,4.595970737350292e-05
2020-01-16,4.9965558387879616e-05
2020-02-01,4.680896684085421e-05
2020-02-16,5.422081424837256e-05
2020-03-01,5.555783739464415e-05
2020-03-16,5.908600264288533e-05
2020-04-01,6.222298642863439e-05
2020-04-16,6.524034845029935e-05
2020-05-01,7.10267766947954e-05
2020-05-16,6.872363692087506e-05
2020-06-01,6.304923879265215e-05
2020-06-16,5.727485760794836e-05
2020-07-01,5.0694311078601e-05
2020-07-16,5.4033581259914586e-05
2020-08-01,4.3475630725211466e-05
2020-08-16,5.082958069209791e-05
2020-09-01,5.348030437638323e-05
2020-09-16,5.163934888415752e-05
2020-10-01,5.608317686936178e-05
2020-10-16,5.657252164326437e-05
2020-11-01,6.183622248663989e-05
2020-11-16,5.751557327417965e-05
2020-12-01,4.992073133505079e-05
2020-12-16,5.48402379345326e-05
2021-01-01,5.011229002170244e-05
2021-01-16,5.505737901271051e-05
2021-02-01,6.184600536495734e-05
2021-02-16,6.413348809045063e-05
2021-03-01,7.014069862515468e-05
2021-03-16,7.069395696558248e-05
2021-04-01,7.306086442228628e-05
2021-04-16,7.79606142764082e-05
2021-05-01,6.837543952649129e-05
2021-05-16,6.323527265567568e-05
2021-06-01,6.456128577500458e-05
2021-06-16,6.216174999965543e-05
2021-07-01,6.714417457660566e-05
2021-07-16,5.997526719032567e-05
2021-08-01,5.646535420734992e-05
2021-08-16,6.427516296605718e-05
2021-09-01,5.408633636516418e-05
2021-09-16,6.061656413679165e-05
2021-10-01,5.6388822013283264e-05
2021-10-16,5.888103974367474e-05
2021-11-01,6.240330829825191e-05
2021-11-16,5.010974868488067e-05
2021-12-01,5.378778635423209e-05
2021-12-16,5.778694695092394e-05
2022-01-01,5.333931886580519e-05
2022-01-16,6.15972761789677e-05
2022-02-01,5.6781730100322976e-05
2022-02-16,5.912144913685467e-05
2022-03-01,6.722209715744881e-05
2022-03-16,7.439453705169248e-05
2022-04-01,6.760095133444054e-05
2022-04-16,6.953793008832542e-05
2022-05-01,7.623111895242007e-05
2022-05-16,6.360386288494865e-05
2022-06-01,6.430573782148453e-05
2022-06-16,6.153316851743711e-05
2022-07-01,5.285337418485961e-05
2022-07-16,5.9610262577052014e-05
2022-08-01,5.17742978486029e-05
2022-08-16,5.680213665129408e-05
2022-09-01,5.727142585902307e-05
2022-09-16,5.644564061564248e-05
2022-10-01,5.783424130974533e-05
2022-10-16,6.729152078941123e-05
2022-11-01,6.0024065086990654e-05
2022-11-16,6.471845200692741e-05
2022-12-01,6.851826410594116e-05
2022-12-16,7.107636331987964e-05
2023-01-01,6.301375377116217e-05
2023-01-16,6.075244030023605e-05
2023-02-01,7.349209494757737e-05
2023-02-16,7.601317215892013e-05
2023-03-01,6.78138112635875e-05
2023-03-16,8.225579453547197e-05
2023-04-01,7.63991143081122e-05
2023-04-16,7.956359923112895e-05
2023-05-01,7.895847373838221e-05
2023-05-16,8.092970429178191e-05
2023-06-01,8.126484745652966e-05
2023-06-16,7.268339032280887e-05
2023-07-01,6.676472751968387e-05
2023-07-16,4.545793947036573e-05
