date,mean_concentration
2020-01-01,-7.677006561825338e-05
2020-01-16,-7.47204438308599e-05
2020-02-01,6.128121854696272e-05
2020-02-16,4.1919475504471846e-05
2020-03-01,6.920067456779861e-05
2020-03-16,3.9316194447768685e-05
2020-04-01,4.772075055288686e-05
2020-04-16,-2.2901372674557507e-05
2020-05-01,6.51712231969901e-05
2020-05-16,5.270805775340077e-05
2020-06-01,5.986822120559084e-05
2020-06-16,9.716211291620663e-05
2020-07-01,-2.384111576148492e-05
2020-07-16,2.0535023261303788e-05
2020-08-01,-0.00013935553706863755
2020-08-16,5.12696141396633e-05
2020-09-01,-7.828115459454769e-05
2020-09-16,-6.33800350489772e-05
2020-10-01,7.066666937257416e-05
2020-10-16,4.9984821531258245e-05
2020-11-01,4.675716670140568e-05
2020-11-16,0.00014753328554893472
2020-12-01,-3.966948025687519e-05
2020-12-16,2.2973998898497766e-05
2021-01-01,-3.2942222338722903e-05
2021-01-16,-1.408045578920113e-05
2021-02-01,7.22459833648362e-05
2021-02-16,0.0001129785501661356
2021-03-01,1.694143858971274e-05
2021-03-16,-4.054295589275802e-05
2021-04-01,8.947689842901056e-05
2021-04-16,2.2562680247866528e-05
2021-05-01,-3.37303610145868e-05
2021-05-16,3.138221986732088e-05
2021-06-01,2.10380510436083e-05
2021-06-16,5.1609260460018747e-05
2021-07-01,6.034510589175959e-05
2021-07-16,-9.837405665386187e-07
2021-08-01,3.522859489709547e-05
2021-08-16,-3.456519498512446e-05
2021-09-01,-6.908448268913576e-06
2021-09-16,3.335689405707716e-05
2021-10-01,-2.5754250854929945e-05
2021-10-16,5.194519294879622e-05
2021-11-01,0.0001371505740868402
2021-11-16,0.000109932249580112
2021-12-01,-5.6508030856319976e-05
2021-12-16,-5.370751793836348e-05
2022-01-01,-0.00016188840309618263
2022-01-16,-1.6444786494734554e-05
2022-02-01,-3.05686754758844e-05
2022-02-16,2.8203909320229985e-05
2022-03-01,2.5987842065500252e-05
2022-03-16,0.00015297068699753467
2022-04-01,0.0001368131058793775
2022-04-16,6.767751444316816e-05
2022-05-01,0.00010478437184177373
2022-05-16,-5.786216965925877e-05
2022-06-01,8.46987579098287e-05
2022-06-16,3.2144480450446486e-05
2022-07-01,-0.0001803102737116207
2022-07-16,8.30332226825335e-06
2022-08-01,-3.355689417833469e-05
2022-08-16,6.678033870276467e-05
2022-09-01,2.1992767848249338e-05
2022-09-16,0.00010476241546993836
2022-10-01,4.410190018014411e-05
2022-10-16,7.819770198608895e-05
2022-11-01,-5.3856056014608886e-05
2022-11-16,0.00010142668771831508
2022-12-01,-2.1827102198812445e-05
2022-12-16,2.5510146428803715e-05
2023-01-01,-7.668056612115144e-05
2023-01-16,-6.260118349688323e-06
2023-02-01,0.0001978015656297913
2023-02-16,7.079022803774092e-05
2023-03-01,1.5725255715831976e-05
2023-03-16,9.217224549236698e-05
2023-04-01,-1.9495297312458956e-05
2023-04-16,9.800940119936556e-05
2023-05-01,2.5308330130733266e-05
2023-05-16,3.5309048378550234e-05
2023-06-01,6.153687854440685e-05
2023-06-16,-2.9178474194291995e-05
2023-07-01,2.7460954505058548e-05
2023-07-16,0.0001280757439177541
