date,mean_concentration
2020-01-01,7.635104798644048e-05
2020-01-16,6.474023599444696e-05
2020-02-01,9.498079000310166e-05
2020-02-16,8.714109838516061e-05
2020-03-01,6.871453827924208e-05
2020-03-16,7.244968170929235e-05
2020-04-01,7.213725236668128e-05
2020-04-16,7.037652590547281e-05
2020-05-01,6.592593986311902e-05
2020-05-16,7.087862316110529e-05
2020-06-01,6.923479292017916e-05
2020-06-16,6.124129307847465e-05
2020-07-01,6.452716436685558e-05
2020-07-16,6.081873058677716e-05
2020-08-01,6.38490401875521e-05
2020-08-16,6.263417516373312e-05
2020-09-01,5.924973471577783e-05
2020-09-16,6.231946919934874e-05
2020-10-01,5.384960953992735e-05
2020-10-16,7.200638658209888e-05
2020-11-01,7.177002746179185e-05
2020-11-16,7.00826162754906e-05
2020-12-01,8.473140185281631e-05
2020-12-16,9.31710866990852e-05
2021-01-01,8.21784375314984e-05
2021-01-16,8.783508509016125e-05
2021-02-01,8.915315789871379e-05
2021-02-16,0.00010696109336540912
2021-03-01,9.170423749483768e-05
2021-03-16,0.00010313435654787108
2021-04-01,8.229676813447565e-05
2021-04-16,8.611962966288611e-05
2021-05-01,8.222837580124608e-05
2021-05-16,7.089893217082317e-05
2021-06-01,8.0344533844004e-05
2021-06-16,7.005639374005264e-05
2021-07-01,6.790946701480593e-05
2021-07-16,6.601667432674841e-05
2021-08-01,7.299815621347756e-05
2021-08-16,6.692495393357697e-05
2021-09-01,7.314578965098955e-05
2021-09-16,6.484097293019227e-05
2021-10-01,6.699104351636499e-05
2021-10-16,9.978823104474538e-05
2021-11-01,7.653373051423841e-05
2021-11-16,7.637072465857876e-05
2021-12-01,6.90503050074355e-05
2021-12-16,0.0001128111273682043
2022-01-01,7.877220296709122e-05
2022-01-16,9.108979714040148e-05
2022-02-01,8.272810752032252e-05
2022-02-16,6.394679447692656e-05
2022-03-01,7.89914581955884e-05
2022-03-16,8.522508106472888e-05
2022-04-01,7.327872324166277e-05
2022-04-16,8.874418943824966e-05
2022-05-01,7.608905375402536e-05
2022-05-16,8.24580451055897e-05
2022-06-01,7.777620691851475e-05
2022-06-16,7.622176862272853e-05
2022-07-01,6.572028131223073e-05
2022-07-16,6.673702390874499e-05
2022-08-01,6.881524914602545e-05
2022-08-16,6.764779899911611e-05
2022-09-01,6.531885009387745e-05
2022-09-16,6.179637918163282e-05
2022-10-01,6.297070047676356e-05
2022-10-16,7.547406497753997e-05
2022-11-01,7.932230665541816e-05
2022-11-16,8.771244075730457e-05
2022-12-01,9.35567825831733e-05
2022-12-16,9.731101646907407e-05
2023-01-01,9.193813263917616e-05
2023-01-16,9.016114427834976e-05
2023-02-01,0.00010726853888768132
2023-02-16,9.376283843788688e-05
2023-03-01,0.00010042848238443296
2023-03-16,8.697173512619107e-05
2023-04-01,9.481675517494196e-05
2023-04-16,0.00012868062172799574
2023-05-01,9.32527510552374e-05
2023-05-16,9.806669354660112e-05
2023-06-01,0.00010713301011152055
2023-06-16,0.00010446987095540965
2023-07-01,8.189735780195291e-05
2023-07-16,6.99730284351616e-05
