date,mean_concentration
2020-01-01,7.62088493213418e-05
2020-01-16,6.724523437539741e-05
2020-02-01,6.249491245618242e-05
2020-02-16,8.081925724140503e-05
2020-03-01,6.575993242030316e-05
2020-03-16,6.0124860871405366e-05
2020-04-01,5.656491429477179e-05
2020-04-16,5.910522320625874e-05
2020-05-01,6.239428247850043e-05
2020-05-16,7.638917141521064e-05
2020-06-01,7.999538830893862e-05
2020-06-16,6.970297498764335e-05
2020-07-01,7.103116305913497e-05
2020-07-16,6.594849989973429e-05
2020-08-01,5.7671645857624384e-05
2020-08-16,7.868653353212111e-05
2020-09-01,6.53431559989136e-05
2020-09-16,6.895498206249958e-05
2020-10-01,7.807773730618398e-05
2020-10-16,6.597451195517776e-05
2020-11-01,7.355092366260132e-05
2020-11-16,7.07036739987257e-05
2020-12-01,6.884309572088802e-05
2020-12-16,6.600526233194983e-05
2021-01-01,4.938120474510313e-05
2021-01-16,8.226583807944331e-05
2021-02-01,8.387223984439658e-05
2021-02-16,9.028073694111556e-05
2021-03-01,7.607315769441714e-05
2021-03-16,8.26518644391674e-05
2021-04-01,7.851527977625459e-05
2021-04-16,8.30410731517007e-05
2021-05-01,6.444821572248072e-05
2021-05-16,7.324023480153081e-05
2021-06-01,7.377499778187203e-05
2021-06-16,8.193236677694103e-05
2021-07-01,9.255835835951772e-05
2021-07-16,7.14931418602221e-05
2021-08-01,7.57817950238686e-05
2021-08-16,8.073782384681589e-05
2021-09-01,7.531531733165762e-05
2021-09-16,8.311313627792913e-05
2021-10-01,6.837349715391046e-05
2021-10-16,9.393964463881876e-05
2021-11-01,6.529977332710008e-05
2021-11-16,6.914644962309066e-05
2021-12-01,6.697969208773438e-05
2021-12-16,8.994341916186122e-05
2022-01-01,7.159827945731969e-05
2022-01-16,7.824700429823299e-05
2022-02-01,7.292664072383242e-05
2022-02-16,8.106037689881039e-05
2022-03-01,9.650474285771478e-05
2022-03-16,7.743235875631087e-05
2022-04-01,6.729300928098915e-05
2022-04-16,7.384077128182232e-05
2022-05-01,8.462941736506424e-05
2022-05-16,8.044679288119204e-05
2022-06-01,8.325435670479226e-05
2022-06-16,8.096381143342901e-05
2022-07-01,7.231447850561425e-05
2022-07-16,8.38499312255215e-05
2022-08-01,8.446143342782522e-05
2022-08-16,7.391121770576013e-05
2022-09-01,7.804651936477337e-05
2022-09-16,8.145334493429867e-05
2022-10-01,8.178995845714751e-05
2022-10-16,7.676304229298697e-05
2022-11-01,6.198876562226761e-05
2022-11-16,7.87053122359507e-05
2022-12-01,5.948907794596339e-05
2022-12-16,9.302080905765496e-05
2023-01-01,9.361279207676838e-05
2023-01-16,8.470461514683054e-05
2023-02-01,0.0001067735422664034
2023-02-16,9.262008693598656e-05
2023-03-01,8.363634474760906e-05
2023-03-16,8.149284108661446e-05
2023-04-01,8.318374871524388e-05
2023-04-16,8.626406194065818e-05
2023-05-01,0.00010231091057671112
2023-05-16,9.916906761770434e-05
2023-06-01,9.95351102162532e-05
2023-06-16,9.27134923636464e-05
2023-07-01,7.947749379197218e-05
2023-07-16,7.501172599928921e-05
