date,mean_concentration
2020-01-01,0.00014490286029161798
2020-01-16,5.820110606131722e-06
2020-02-01,3.188278958112836e-05
2020-02-16,6.448249946706718e-05
2020-03-01,0.00015604016851485737
2020-03-16,2.7343839064477023e-05
2020-04-01,8.761534507492069e-05
2020-04-16,8.883938157526328e-05
2020-05-01,0.00011633217152453528
2020-05-16,8.825803703092749e-05
2020-06-01,0.00011081287850383325
2020-06-16,-2.0060737085729675e-05
2020-07-01,0.00010402677123108516
2020-07-16,0.00012709739409668476
2020-08-01,-0.00015931663218333357
2020-08-16,-0.00019523904826459628
2020-09-01,3.6307002129389225e-05
2020-09-16,0.0002312587514784654
2020-10-01,9.774725219994536e-05
2020-10-16,1.6697707677028798e-06
2020-11-01,0.00013884184164777272
2020-11-16,8.0906295669791e-05
2020-12-01,4.030422139570144e-05
2020-12-16,5.403121985966588e-05
2021-01-01,
2021-01-16,3.653405424938466e-05
2021-02-01,6.036447031629668e-05
2021-02-16,0.00015429022947943872
2021-03-01,1.6676341822734886e-05
2021-03-16,-3.114870573844236e-05
2021-04-01,3.1289790346257974e-05
2021-04-16,7.134422379478103e-05
2021-05-01,-1.952422884296634e-06
2021-05-16,9.80785857613876e-05
2021-06-01,3.5304054342491085e-05
2021-06-16,0.00012381151345830174
2021-07-01,-6.853340464363771e-06
2021-07-16,-0.00025718242122875734
2021-08-01,-6.512213353746702e-05
2021-08-16,0.00021052811122225276
2021-09-01,7.830075532553594e-05
2021-09-16,0.00012242348000833918
2021-10-01,8.159778309241593e-05
2021-10-16,-3.199130633829014e-05
2021-11-01,
2021-11-16,-2.80734854647084e-05
2021-12-01,-8.69738218326111e-06
2021-12-16,9.741923660570146e-05
2022-01-01,5.2121126210805856e-05
2022-01-16,3.445200681811308e-05
2022-02-01,-0.0001269274042887788
2022-02-16,0.00013561786165279473
2022-03-01,0.0001965921707077709
2022-03-16,0.00026400780724503267
2022-04-01,0.0001494496651880089
2022-04-16,0.0001802371486867296
2022-05-01,6.392513263737566e-05
2022-05-16,2.777634085374127e-05
2022-06-01,1.2745026121969838e-05
2022-06-16,3.700497131867032e-05
2022-07-01,0.0001883740383411149
2022-07-16,5.26454062821503e-05
2022-08-01,5.238487422078735e-05
2022-08-16,1.531759666314783e-05
2022-09-01,0.00011801345310743944
2022-09-16,5.468212976050071e-05
2022-10-01,0.00010291822355311774
2022-10-16,3.228506880192475e-05
2022-11-01,2.8968620672228143e-05
2022-11-16,5.442562907446107e-05
2022-12-01,-1.3215732865242684e-05
2022-12-16,9.240530016327636e-05
2023-01-01,9.342376337744836e-05
2023-01-16,3.137381672000684e-05
2023-02-01,0.00018685112944945048
2023-02-16,9.440110108323668e-05
2023-03-01,0.00013360089504477592
2023-03-16,0.00026737492644254927
2023-04-01,5.640843765323888e-05
2023-04-16,0.0002230536050478871
2023-05-01,9.539595788986802e-05
2023-05-16,6.78695274164249e-05
2023-06-01,3.794032891057612e-05
2023-06-16,-3.7344548771457096e-05
2023-07-01,9.43796850054708e-06
2023-07-16,9.074556206151578e-05
