date,mean_concentration
2020-01-01,-6.643049076827793e-05
2020-01-16,-0.00010055427778742414
2020-02-01,9.500265820637334e-05
2020-02-16,5.9946779123343e-05
2020-03-01,0.00010829339551639408
2020-03-16,3.574793703392944e-05
2020-04-01,5.597391136895016e-05
2020-04-16,8.535148344793913e-05
2020-05-01,8.165130199078612e-05
2020-05-16,4.1956739852613286e-05
2020-06-01,-2.4295834396943317e-05
2020-06-16,-3.1731114119425306e-05
2020-07-01,-9.318237996668064e-05
2020-07-16,-1.414542278260627e-05
2020-08-01,1.5012544815182827e-05
2020-08-16,-7.37301942197563e-05
2020-09-01,-5.132893368371395e-05
2020-09-16,
2020-10-01,4.013001923743159e-06
2020-10-16,1.1843058681171086e-05
2020-11-01,9.053093529413742e-05
2020-11-16,3.818456774756224e-07
2020-12-01,4.768223083373674e-05
2020-12-16,9.43739760132258e-05
2021-01-01,0.00027635576902311905
2021-01-16,2.1106207334470248e-05
2021-02-01,0.0001481050755749
2021-02-16,0.0002576295935399254
2021-03-01,8.692591336919665e-05
2021-03-16,-1.7443966180063536e-05
2021-04-01,0.00013731753313482017
2021-04-16,0.00015146926103641234
2021-05-01,4.100446742536704e-05
2021-05-16,1.9290367501191327e-05
2021-06-01,2.454662105037666e-05
2021-06-16,7.928427600360472e-05
2021-07-01,8.64169597833794e-05
2021-07-16,-4.561446389012156e-05
2021-08-01,5.596355111354511e-05
2021-08-16,1.516465634018939e-05
2021-09-01,-0.00014226521122556035
2021-09-16,2.531688207936089e-05
2021-10-01,1.3707330094002836e-05
2021-10-16,5.068261132954786e-05
2021-11-01,0.00028662795217511926
2021-11-16,-0.00014545490574475764
2021-12-01,-0.00015098526661033173
2021-12-16,7.5575358056700575e-06
2022-01-01,-0.0001176376086994574
2022-01-16,-9.317646232334863e-05
2022-02-01,9.43417722946393e-05
2022-02-16,6.333556699697956e-05
2022-03-01,0.00013449052182016333
2022-03-16,0.0002399842433176166
2022-04-01,0.00015096055505000157
2022-04-16,0.00013034620578894197
2022-05-01,7.314676835078804e-05
2022-05-16,1.38348163945428e-05
2022-06-01,7.139750487843475e-05
2022-06-16,4.733438189792129e-05
2022-07-01,
2022-07-16,1.5308268610687627e-05
2022-08-01,-0.0002063484365349525
2022-08-16,5.67324211097685e-05
2022-09-01,-7.893403348550266e-06
2022-09-16,2.6880121453760698e-05
2022-10-01,3.6976165772810334e-05
2022-10-16,8.451138498976707e-05
2022-11-01,-6.751143778956206e-05
2022-11-16,6.126615775011547e-05
2022-12-01,1.921042199433061e-05
2022-12-16,-9.503505687048332e-06
2023-01-01,1.0042329068119607e-05
2023-01-16,-7.050022526810745e-05
2023-02-01,0.00019266812802072505
2023-02-16,0.00012181375275660073
2023-03-01,7.286807451541513e-05
2023-03-16,6.613681226195208e-05
2023-04-01,5.9844859142857285e-05
2023-04-16,7.580870055062645e-05
2023-05-01,4.607209455241038e-05
2023-05-16,6.241209605735989e-05
2023-06-01,7.943793915436598e-05
2023-06-16,1.9556146658864856e-05
2023-07-01,8.293818413129169e-05
2023-07-16,-9.550060162208766e-05
