date,mean_concentration
2020-01-01,0.0002009806139044533
2020-01-16,-2.4309997475802867e-05
2020-02-01,-4.243608649176272e-05
2020-02-16,-6.820963372153169e-06
2020-03-01,4.886307653391063e-05
2020-03-16,8.753711086742044e-05
2020-04-01,5.623571736563019e-05
2020-04-16,1.8347683324298653e-05
2020-05-01,7.704802952202457e-05
2020-05-16,-4.409057953379355e-05
2020-06-01,-2.1886719741225712e-05
2020-06-16,-2.7888271978037816e-07
2020-07-01,0.00012287956569142732
2020-07-16,-0.00010226080398372958
2020-08-01,-4.614449978976833e-05
2020-08-16,3.829947700835702e-05
2020-09-01,4.016259805788674e-05
2020-09-16,3.813381518987855e-06
2020-10-01,-8.212591041962706e-05
2020-10-16,-9.525634195565968e-05
2020-11-01,0.00015554203058742807
2020-11-16,9.881951069702914e-05
2020-12-01,0.0003090856683012273
2020-12-16,0.0003879402459283012
2021-01-01,0.0001957819086639334
2021-01-16,3.776408342678088e-05
2021-02-01,-4.613897127056912e-05
2021-02-16,-1.3194406872147166e-05
2021-03-01,-2.683703304796412e-05
2021-03-16,0.00020767005673765455
2021-04-01,0.00014733697654665132
2021-04-16,0.0001640706091681044
2021-05-01,7.370988697045515e-05
2021-05-16,5.48448186784185e-05
2021-06-01,2.256185755837339e-05
2021-06-16,-5.086414300538964e-05
2021-07-01,-5.138252933379426e-05
2021-07-16,2.7440250371547023e-05
2021-08-01,2.9890781518438655e-05
2021-08-16,0.00013042781941719083
2021-09-01,-9.684279005626124e-05
2021-09-16,-3.986758847350125e-06
2021-10-01,-3.799041655985532e-05
2021-10-16,-7.697091723975308e-05
2021-11-01,6.578177578843525e-05
2021-11-16,0.000295816610984974
2021-12-01,7.075815044555619e-05
2021-12-16,0.0002829674619993388
2022-01-01,0.00040246554774843663
2022-01-16,0.00014242777370122948
2022-02-01,-1.8990199137612626e-05
2022-02-16,2.5030273967354976e-05
2022-03-01,-8.343680308528395e-05
2022-03-16,2.652103580104631e-05
2022-04-01,
2022-04-16,8.295497898510539e-05
2022-05-01,-9.395747436362386e-06
2022-05-16,6.893433464531966e-05
2022-06-01,4.565041554658338e-05
2022-06-16,-9.544341158027664e-05
2022-07-01,-1.1695129511181158e-05
2022-07-16,2.9953795050422805e-05
2022-08-01,2.838532004149831e-05
2022-08-16,-1.8449081912839717e-06
2022-09-01,-1.1598262603217496e-05
2022-09-16,-1.9484423027138497e-05
2022-10-01,-3.4791160724105126e-05
2022-10-16,-0.00012088002302029958
2022-11-01,-5.9522140110304655e-05
2022-11-16,0.00011808029892440967
2022-12-01,0.00010152658760116184
2022-12-16,4.438801299489497e-05
2023-01-01,0.0002440719173435071
2023-01-16,-5.5029049108796434e-05
2023-02-01,-0.00010321686927455193
2023-02-16,6.183728132370409e-05
2023-03-01,0.0002343768147243981
2023-03-16,0.00025694763959725205
2023-04-01,6.48315959835278e-05
2023-04-16,0.00011305901777091013
2023-05-01,0.00011183959506554904
2023-05-16,2.1655329112495816e-05
2023-06-01,-3.406447620157164e-05
2023-06-16,-4.733081276942906e-05
2023-07-01,2.494473965687892e-06
2023-07-16,-6.530416225030667e-05
