date,mean_concentration
2019-01-01,8.676484499643334e-05
2019-01-16,9.497462186082714e-05
2019-02-01,8.784006621775456e-05
2019-02-16,7.399837387083227e-05
2019-03-01,7.913018238875863e-05
2019-03-16,8.285280978781555e-05
2019-04-01,9.131589906935136e-05
2019-04-16,9.481885794633764e-05
2019-05-01,0.0001095913070455512
2019-05-16,0.00010886528726199972
2019-06-01,0.00010652843787936426
2019-06-16,9.996646385318974e-05
2019-07-01,9.222395146122484e-05
2019-07-16,6.70141147554213e-05
2019-08-01,6.99087922706581e-05
2019-08-16,7.470425580821259e-05
2019-09-01,6.904809439291224e-05
2019-09-16,6.31485987345058e-05
2019-10-01,8.134823814905952e-05
2019-10-16,7.561735469907902e-05
2019-11-01,8.236554378835603e-05
2019-11-16,7.604581309120176e-05
2019-12-01,8.771998417969423e-05
2019-12-16,9.809504291645013e-05
2020-01-01,8.538055148132478e-05
2020-01-16,8.66097348783334e-05
2020-02-01,8.616421227699075e-05
2020-02-16,8.068363111140314e-05
2020-03-01,7.524658090308416e-05
2020-03-16,7.73959443577226e-05
2020-04-01,7.500223172139103e-05
2020-04-16,8.825780360065831e-05
2020-05-01,9.04375318486663e-05
2020-05-16,0.0001049434035629072
2020-06-01,8.982917542584361e-05
2020-06-16,9.107217897407208e-05
2020-07-01,8.402837729284924e-05
2020-07-16,7.591681275060055e-05
2020-08-01,7.278563956736332e-05
2020-08-16,6.662790435197736e-05
2020-09-01,7.584143638251534e-05
2020-09-16,7.733068075263308e-05
2020-10-01,8.46562970473066e-05
2020-10-16,8.407892641478487e-05
2020-11-01,8.107192666212904e-05
2020-11-16,8.244796395931694e-05
2020-12-01,8.97331796781521e-05
2020-12-16,9.312516571331304e-05
2021-01-01,8.194852670108346e-05
2021-01-16,0.00010238569951858955
2021-02-01,9.43918778238169e-05
2021-02-16,9.361109315767448e-05
2021-03-01,8.026453218774673e-05
2021-03-16,8.533585904298992e-05
2021-04-01,8.861482266382635e-05
2021-04-16,0.00010078342357627676
2021-05-01,0.00010134100576355792
2021-05-16,0.00010620035079643076
2021-06-01,0.0001049188548323872
2021-06-16,0.00010831675266118922
2021-07-01,9.825256625200292e-05
2021-07-16,7.947376789643709e-05
2021-08-01,8.617741436808453e-05
2021-08-16,8.040179739635608e-05
2021-09-01,7.608177281209046e-05
2021-09-16,7.263520550625656e-05
2021-10-01,9.189461405800504e-05
2021-10-16,9.26003981445805e-05
2021-11-01,9.065206874250516e-05
2021-11-16,9.000900782114015e-05
2021-12-01,8.776132083844957e-05
2021-12-16,9.450595776750664e-05
2022-01-01,9.992432700819312e-05
2022-01-16,9.119105803845648e-05
2022-02-01,9.581881554320726e-05
2022-02-16,9.154747094017222e-05
2022-03-01,8.976426690812354e-05
2022-03-16,9.319887670278909e-05
2022-04-01,0.00010175820815464064
2022-04-16,0.00010561675795313052
2022-05-01,9.928540660104486e-05
2022-05-16,9.62412324919546e-05
2022-06-01,0.0001004713445974806
2022-06-16,9.481557616873976e-05
2022-07-01,8.242694586955671e-05
2022-07-16,7.779179674656926e-05
2022-08-01,7.426582903103429e-05
2022-08-16,7.420150130790051e-05
2022-09-01,7.836971892839871e-05
2022-09-16,7.502343944790052e-05
2022-10-01,8.21680615163181e-05
2022-10-16,9.39485163869584e-05
2022-11-01,9.580928135138889e-05
2022-11-16,0.00010778190364700922
2022-12-01,0.00011027676451630988
2022-12-16,0.0001091746540107434
2023-01-01,0.0001265410445413766
2023-01-16,0.0001060352878199753
2023-02-01,0.00010660359298773056
2023-02-16,9.185145166265367e-05
2023-03-01,9.344386528595392e-05
2023-03-16,9.329030463302763e-05
2023-04-01,9.913598987634206e-05
2023-04-16,0.00010981168793997876
2023-05-01,0.00010774446802336733
2023-05-16,0.0001128249452912343
2023-06-01,0.00010326174569621474
2023-06-16,9.257159091473848e-05
2023-07-01,9.11796150706127e-05
2023-07-16,8.142414977974096e-05
2023-08-01,7.96102610395787e-05
2023-08-16,8.500490477796119e-05
2023-09-01,8.728625544305805e-05
2023-09-16,8.20604005763683e-05
2023-10-01,9.607670360583089e-05
2023-10-16,9.277487249969711e-05
2023-11-01,8.787002699334638e-05
2023-11-16,9.223742385046284e-05
2023-12-01,8.549126238043311e-05
2023-12-16,0.00010050708998985852
