date,mean_concentration
2020-01-01,6.8277069667973e-05
2020-01-16,6.93952547345956e-05
2020-02-01,7.149780085530802e-05
2020-02-16,7.078379948325723e-05
2020-03-01,6.588487695074005e-05
2020-03-16,6.928150608759787e-05
2020-04-01,7.462173290567518e-05
2020-04-16,8.23810472604836e-05
2020-05-01,8.210449521037263e-05
2020-05-16,8.972129572037808e-05
2020-06-01,8.255393867115229e-05
2020-06-16,7.391571871960315e-05
2020-07-01,6.79451489751874e-05
2020-07-16,6.163404085382156e-05
2020-08-01,6.832271023366902e-05
2020-08-16,6.68946053499933e-05
2020-09-01,6.769786580843306e-05
2020-09-16,6.204682272857255e-05
2020-10-01,6.492391409249365e-05
2020-10-16,6.689925554985417e-05
2020-11-01,6.735860858397973e-05
2020-11-16,7.519470362716062e-05
2020-12-01,7.330807918545398e-05
2020-12-16,7.139857085253028e-05
2021-01-01,7.528578831737066e-05
2021-01-16,7.544344971116524e-05
2021-02-01,7.919943671205606e-05
2021-02-16,8.200428874351615e-05
2021-03-01,8.062224419599413e-05
2021-03-16,8.59611039017021e-05
2021-04-01,8.655710313344785e-05
2021-04-16,9.71682977412455e-05
2021-05-01,0.00010276838657019648
2021-05-16,9.196913073424282e-05
2021-06-01,9.003510331492399e-05
2021-06-16,7.594202596252988e-05
2021-07-01,8.785515883074346e-05
2021-07-16,7.192279990139648e-05
2021-08-01,9.381567170883208e-05
2021-08-16,7.092054213214246e-05
2021-09-01,6.919725952424303e-05
2021-09-16,7.547397115106495e-05
2021-10-01,7.004910558527936e-05
2021-10-16,6.935349927897896e-05
2021-11-01,6.80238451844659e-05
2021-11-16,7.045951733583962e-05
2021-12-01,8.277986637504239e-05
2021-12-16,6.890176572715487e-05
2022-01-01,6.839636431635006e-05
2022-01-16,6.760321460176772e-05
2022-02-01,6.888148823547913e-05
2022-02-16,7.194246023381727e-05
2022-03-01,7.263634897978581e-05
2022-03-16,7.998690622245231e-05
2022-04-01,9.193316103271536e-05
2022-04-16,9.122348496598603e-05
2022-05-01,9.721926628664236e-05
2022-05-16,8.92990630331353e-05
2022-06-01,9.472222922462023e-05
2022-06-16,8.917270995617795e-05
2022-07-01,7.544634105458978e-05
2022-07-16,7.520816732606537e-05
2022-08-01,7.518873041975104e-05
2022-08-16,7.488033716578122e-05
2022-09-01,9.169166930773556e-05
2022-09-16,7.29132923990378e-05
2022-10-01,6.347950651329259e-05
2022-10-16,7.209670977808805e-05
2022-11-01,7.791557322736013e-05
2022-11-16,8.056448899340581e-05
2022-12-01,7.61277870855547e-05
2022-12-16,8.624509728253047e-05
2023-01-01,8.215781387648166e-05
2023-01-16,9.241986972389094e-05
2023-02-01,8.824069835389026e-05
2023-02-16,8.351932221678294e-05
2023-03-01,7.929921178828662e-05
2023-03-16,9.039066461705436e-05
2023-04-01,9.223507892794316e-05
2023-04-16,0.00010690636218178056
2023-05-01,0.00010487673347486912
2023-05-16,0.00010184524147541136
2023-06-01,0.000105007248935198
2023-06-16,0.00010871395754643048
2023-07-01,8.066809546023567e-05
2023-07-16,7.324763549910551e-05
