date,mean_concentration
2019-01-01,7.235750082129947e-05
2019-01-16,7.191751309299197e-05
2019-02-01,6.349256834573364e-05
2019-02-16,7.261030346696695e-05
2019-03-01,7.375684261331558e-05
2019-03-16,8.574684085619223e-05
2019-04-01,8.590165953460537e-05
2019-04-16,8.187999430422567e-05
2019-05-01,7.224777223077127e-05
2019-05-16,8.46574930107356e-05
2019-06-01,8.870379272268367e-05
2019-06-16,6.722367639380002e-05
2019-07-01,7.323802442622247e-05
2019-07-16,5.835486959753249e-05
2019-08-01,
2019-08-16,5.3064202742422215e-05
2019-09-01,5.4946582131544905e-05
2019-09-16,5.15208778526743e-05
2019-10-01,5.787818692236196e-05
2019-10-16,5.5312744334625946e-05
2019-11-01,5.34375341903486e-05
2019-11-16,5.668456105934455e-05
2019-12-01,5.6226247254745656e-05
2019-12-16,5.6662645624284754e-05
2020-01-01,5.6484436937841374e-05
2020-01-16,6.40131844090139e-05
2020-02-01,5.667727257134509e-05
2020-02-16,7.385436978602218e-05
2020-03-01,6.097872326307304e-05
2020-03-16,7.225991360074985e-05
2020-04-01,7.15923073768163e-05
2020-04-16,7.393825877196124e-05
2020-05-01,7.869473072705007e-05
2020-05-16,7.563155789161703e-05
2020-06-01,6.614792979485847e-05
2020-06-16,6.04868212415214e-05
2020-07-01,5.384228462394456e-05
2020-07-16,5.682157103047496e-05
2020-08-01,5.323658947122016e-05
2020-08-16,5.022579361270088e-05
2020-09-01,5.529556733826982e-05
2020-09-16,5.277154801441155e-05
2020-10-01,5.573976179175217e-05
2020-10-16,5.702079650827602e-05
2020-11-01,6.215295749052518e-05
2020-11-16,6.499779165433492e-05
2020-12-01,6.589255659562853e-05
2020-12-16,6.849200412713176e-05
2021-01-01,6.387943574445063e-05
2021-01-16,7.12047561868944e-05
2021-02-01,7.647987253385507e-05
2021-02-16,7.556312618853451e-05
2021-03-01,8.642324040269113e-05
2021-03-16,8.203404128538365e-05
2021-04-01,8.3479466840171e-05
2021-04-16,9.32015832657942e-05
2021-05-01,8.194027802913142e-05
2021-05-16,7.526659916005234e-05
2021-06-01,7.354220230922159e-05
2021-06-16,6.266658500750186e-05
2021-07-01,6.30916786401336e-05
2021-07-16,5.853962060737767e-05
2021-08-01,5.728645498668727e-05
2021-08-16,6.228372251317043e-05
2021-09-01,6.0559114752886495e-05
2021-09-16,5.783635745259047e-05
2021-10-01,6.15760160408074e-05
2021-10-16,6.211724222376051e-05
2021-11-01,5.9355710072773946e-05
2021-11-16,5.601930395770684e-05
2021-12-01,6.379807277364817e-05
2021-12-16,6.640400369009872e-05
2022-01-01,5.758000400437316e-05
2022-01-16,6.644186536406769e-05
2022-02-01,7.105792019133888e-05
2022-02-16,7.173981160618174e-05
2022-03-01,7.950897492528865e-05
2022-03-16,8.263811588714239e-05
2022-04-01,9.066687791084872e-05
2022-04-16,9.2794189695978e-05
2022-05-01,8.56012953446751e-05
2022-05-16,6.856928131422295e-05
2022-06-01,7.435397809675514e-05
2022-06-16,6.517676500695069e-05
2022-07-01,5.556515992439197e-05
2022-07-16,5.586575732553548e-05
2022-08-01,5.064315804998846e-05
2022-08-16,5.912793309271757e-05
2022-09-01,6.317292897629081e-05
2022-09-16,5.898555532150455e-05
2022-10-01,5.928377338997052e-05
2022-10-16,6.291182198963804e-05
2022-11-01,6.469878185318485e-05
2022-11-16,6.445528230321496e-05
2022-12-01,6.686203783796739e-05
2022-12-16,7.859022980284658e-05
2023-01-01,7.137196999311997e-05
2023-01-16,7.787395686033408e-05
2023-02-01,7.833203844923132e-05
2023-02-16,8.79609832299538e-05
2023-03-01,9.099251261163948e-05
2023-03-16,8.274138206017702e-05
2023-04-01,8.954638084674082e-05
2023-04-16,8.795985486659456e-05
2023-05-01,7.826546399908716e-05
2023-05-16,7.750866919713272e-05
2023-06-01,7.611193574570589e-05
2023-06-16,7.418869766742106e-05
2023-07-01,4.473714489001806e-05
2023-07-16,
2023-08-01,5.760916277253411e-05
2023-08-16,6.185024893042429e-05
2023-09-01,6.04720188426251e-05
2023-09-16,5.951753603929044e-05
2023-10-01,6.489210135108207e-05
2023-10-16,6.440009356239441e-05
2023-11-01,6.183935765310056e-05
2023-11-16,6.207853389887276e-05
2023-12-01,6.321680131409048e-05
2023-12-16,6.464913879358834e-05
