date,mean_concentration
2019-01-01,7.288290256190348e-05
2019-01-16,8.237270313205535e-05
2019-02-01,7.887746276289842e-05
2019-02-16,6.831953622962148e-05
2019-03-01,7.317729193183735e-05
2019-03-16,7.586625151797559e-05
2019-04-01,8.52461114159814e-05
2019-04-16,9.118645942094476e-05
2019-05-01,8.853430427939098e-05
2019-05-16,9.332017259589154e-05
2019-06-01,9.35268423868964e-05
2019-06-16,8.965883886481927e-05
2019-07-01,7.619672322275835e-05
2019-07-16,7.635093650400184e-05
2019-08-01,6.171855621141489e-05
2019-08-16,7.081655061221624e-05
2019-09-01,6.330936075286278e-05
2019-09-16,6.187292472321175e-05
2019-10-01,7.10038015766698e-05
2019-10-16,7.042365757871259e-05
2019-11-01,7.258383805089819e-05
2019-11-16,7.152183950107625e-05
2019-12-01,7.127017945396915e-05
2019-12-16,7.015158320282039e-05
2020-01-01,6.992087738447888e-05
2020-01-16,6.383469547534078e-05
2020-02-01,6.767007871252663e-05
2020-02-16,7.061295521959175e-05
2020-03-01,6.526887579957835e-05
2020-03-16,6.963140944468262e-05
2020-04-01,6.765947054481501e-05
2020-04-16,7.813789282857416e-05
2020-05-01,8.408689630090509e-05
2020-05-16,8.389661956407544e-05
2020-06-01,9.209656244867464e-05
2020-06-16,8.712915283631317e-05
2020-07-01,8.002022335905073e-05
2020-07-16,7.2887357245712e-05
2020-08-01,6.992751286400353e-05
2020-08-16,5.941337501452274e-05
2020-09-01,6.45454695104628e-05
2020-09-16,7.029282928454161e-05
2020-10-01,8.3522673047755e-05
2020-10-16,7.81168363559434e-05
2020-11-01,7.299633599676214e-05
2020-11-16,7.962067127285408e-05
2020-12-01,7.135987870544172e-05
2020-12-16,7.342753573768754e-05
2021-01-01,7.098060641313112e-05
2021-01-16,7.243364126384574e-05
2021-02-01,7.240058439480681e-05
2021-02-16,7.238779310729742e-05
2021-03-01,7.415780461956638e-05
2021-03-16,8.142664790237368e-05
2021-04-01,8.039070213717903e-05
2021-04-16,8.46339831283553e-05
2021-05-01,9.572381185803392e-05
2021-05-16,9.12220626436285e-05
2021-06-01,8.949358502126587e-05
2021-06-16,9.889499306446018e-05
2021-07-01,9.456138152318714e-05
2021-07-16,7.578159512785967e-05
2021-08-01,7.397346554362995e-05
2021-08-16,7.524888288757514e-05
2021-09-01,6.779566428982182e-05
2021-09-16,6.707919244892157e-05
2021-10-01,8.319291058511722e-05
2021-10-16,8.000504197942607e-05
2021-11-01,7.732564973833178e-05
2021-11-16,7.61955786143381e-05
2021-12-01,7.495726447503876e-05
2021-12-16,7.240560966289286e-05
2022-01-01,6.849685923697591e-05
2022-01-16,6.109977816311442e-05
2022-02-01,6.674492354757955e-05
2022-02-16,7.58018448984745e-05
2022-03-01,7.3732902874244e-05
2022-03-16,7.269343532726472e-05
2022-04-01,7.636597969989755e-05
2022-04-16,7.588127062739432e-05
2022-05-01,8.956704723554869e-05
2022-05-16,8.103433975948256e-05
2022-06-01,8.515126208811384e-05
2022-06-16,0.00010036099481927058
2022-07-01,8.001905094076848e-05
2022-07-16,6.999417199386282e-05
2022-08-01,6.619152249207607e-05
2022-08-16,7.045828024660647e-05
2022-09-01,7.182582693912615e-05
2022-09-16,7.568395212009635e-05
2022-10-01,7.899612062130922e-05
2022-10-16,7.91985730676081e-05
2022-11-01,7.987012677634531e-05
2022-11-16,8.529858815800107e-05
2022-12-01,7.57996502590724e-05
2022-12-16,8.66954039650888e-05
2023-01-01,8.514228157676653e-05
2023-01-16,8.401656567528532e-05
2023-02-01,7.600743731546066e-05
2023-02-16,7.692271626642865e-05
2023-03-01,8.502138954052372e-05
2023-03-16,9.095857186154796e-05
2023-04-01,8.787896912638846e-05
2023-04-16,9.391414160359488e-05
2023-05-01,9.410916494092952e-05
2023-05-16,9.38953581779063e-05
2023-06-01,9.44653774090368e-05
2023-06-16,7.646652462955419e-05
2023-07-01,8.372982889870727e-05
2023-07-16,7.464808622288107e-05
2023-08-01,6.932691397234402e-05
2023-08-16,7.513196656297592e-05
2023-09-01,8.058618924186802e-05
2023-09-16,7.727597009132306e-05
2023-10-01,8.56126775055138e-05
2023-10-16,8.816829755512358e-05
2023-11-01,7.801808205989906e-05
2023-11-16,7.551208128278671e-05
2023-12-01,7.156149364691767e-05
2023-12-16,7.369675530937048e-05
