date,mean_concentration
2020-01-01,-5.291099638167598e-05
2020-01-16,-9.72832762312868e-05
2020-02-01,0.00014639267652058607
2020-02-16,6.711654823582021e-05
2020-03-01,1.6006939324964723e-05
2020-03-16,6.211183325055513e-05
2020-04-01,3.3235953488177244e-05
2020-04-16,6.480270612765993e-05
2020-05-01,5.352911475833651e-05
2020-05-16,7.414361429274028e-05
2020-06-01,3.164739381231449e-05
2020-06-16,-3.1346189996931126e-05
2020-07-01,-0.00022700515840612555
2020-07-16,-9.01879555096596e-05
2020-08-01,
2020-08-16,-1.4808198090667282e-05
2020-09-01,-9.02110409320647e-06
2020-09-16,7.50376283765663e-05
2020-10-01,
2020-10-16,
2020-11-01,0.00010184405693370156
2020-11-16,3.284373645852684e-05
2020-12-01,0.00011378148155054266
2020-12-16,-1.9640630875014943e-05
2021-01-01,6.946931157547089e-05
2021-01-16,7.069219404066887e-05
2021-02-01,0.00017372520261444452
2021-02-16,0.0002716983299292039
2021-03-01,0.00010474827438289922
2021-03-16,0.0002499592082796259
2021-04-01,0.0001681089866642243
2021-04-16,7.458258384033034e-05
2021-05-01,1.9724711838262187e-05
2021-05-16,9.62690403833988e-05
2021-06-01,4.143377788939562e-06
2021-06-16,2.689729151146621e-05
2021-07-01,-5.233144299109912e-05
2021-07-16,-2.9258830524631832e-05
2021-08-01,-4.5524348160784816e-05
2021-08-16,2.8253357213921226e-05
2021-09-01,-4.32560456442451e-05
2021-09-16,5.2929907050237e-05
2021-10-01,-4.6213914290027245e-05
2021-10-16,4.206777335855285e-05
2021-11-01,0.0001623986652951045
2021-11-16,-0.00012113753208398488
2021-12-01,4.46601749896086e-05
2021-12-16,-6.658396325323313e-05
2022-01-01,-6.599228165957391e-05
2022-01-16,-4.46171088775105e-05
2022-02-01,6.564608282095783e-05
2022-02-16,8.537731769228373e-06
2022-03-01,0.00012100610432043066
2022-03-16,0.00018539922133895104
2022-04-01,9.839030354029068e-05
2022-04-16,0.00014801258686372978
2022-05-01,1.292512496110182e-05
2022-05-16,3.8719524059337057e-05
2022-06-01,0.00017831559981975036
2022-06-16,
2022-07-01,
2022-07-16,6.730591737185112e-06
2022-08-01,-0.00013282610189606567
2022-08-16,-3.2194734343279575e-05
2022-09-01,-0.00013857691631333167
2022-09-16,-3.958790636293109e-05
2022-10-01,-4.530536667316474e-05
2022-10-16,9.71000308857225e-05
2022-11-01,5.768364075412953e-05
2022-11-16,3.1982641693090747e-05
2022-12-01,-3.908874865286158e-05
2022-12-16,-6.277596079940497e-06
2023-01-01,7.865782929062696e-05
2023-01-16,1.202752802614638e-05
2023-02-01,0.0001885060231514464
2023-02-16,0.00027576034937668725
2023-03-01,0.00021950880157027723
2023-03-16,-1.7186589071999294e-05
2023-04-01,2.6987994037973707e-05
2023-04-16,5.45096685400322e-05
2023-05-01,7.602183532680737e-05
2023-05-16,0.00010281533051458678
2023-06-01,3.460687319960241e-05
2023-06-16,7.181708075710733e-05
2023-07-01,-1.6905925030160077e-05
2023-07-16,0.00011133847590221457
