date,mean_concentration
2020-01-01,0.00010154391896756186
2020-01-16,-5.55907553664104e-05
2020-02-01,5.737796180164675e-05
2020-02-16,4.278513840709966e-05
2020-03-01,3.5542002756732755e-05
2020-03-16,8.534301308022103e-05
2020-04-01,0.0001108759018301646
2020-04-16,5.913817695258158e-05
2020-05-01,7.704300448442279e-05
2020-05-16,7.30600611864502e-05
2020-06-01,5.26682943732057e-05
2020-06-16,2.2612675149033783e-05
2020-07-01,-4.374418822868853e-05
2020-07-16,-8.959534484466744e-05
2020-08-01,-7.403124579173036e-05
2020-08-16,-3.444624695891968e-05
2020-09-01,2.869208684468781e-05
2020-09-16,3.671284685382147e-05
2020-10-01,3.733026733743864e-05
2020-10-16,5.953965916644676e-05
2020-11-01,-1.415811327821673e-05
2020-11-16,6.375888491323768e-05
2020-12-01,0.0001548234500347005
2020-12-16,0.00011533318727370272
2021-01-01,5.414232017077012e-05
2021-01-16,6.344705182081412e-05
2021-02-01,2.166838401752901e-05
2021-02-16,4.5656574583449245e-05
2021-03-01,9.059762485875372e-05
2021-03-16,8.104190232674353e-05
2021-04-01,0.00014772388826509263
2021-04-16,0.0001758675795227498
2021-05-01,0.00012235304571593748
2021-05-16,5.846192760006255e-05
2021-06-01,0.00010056416593354994
2021-06-16,-2.3811800887905216e-05
2021-07-01,-1.9449411827118417e-05
2021-07-16,5.960354103513167e-05
2021-08-01,9.009649977713537e-05
2021-08-16,-8.367402380712246e-05
2021-09-01,5.245178914996593e-05
2021-09-16,7.225089229163178e-05
2021-10-01,-7.722692213095277e-05
2021-10-16,1.497155759350351e-05
2021-11-01,7.464841931016019e-06
2021-11-16,0.00010327417062892878
2021-12-01,0.00017442269100489271
2021-12-16,0.0001603750155221796
2022-01-01,0.00010366975973020912
2022-01-16,6.793733291457329e-05
2022-02-01,7.983639168076994e-05
2022-02-16,6.975570844934819e-05
2022-03-01,8.733940241456071e-05
2022-03-16,8.435835753798325e-05
2022-04-01,8.216978027770324e-05
2022-04-16,3.494757847399946e-05
2022-05-01,6.369741041274899e-05
2022-05-16,3.826123126652436e-05
2022-06-01,6.930207333289247e-05
2022-06-16,6.466350603152452e-05
2022-07-01,-3.700163988147316e-05
2022-07-16,-0.0002795253705186292
2022-08-01,3.888275006931365e-05
2022-08-16,5.466133772824658e-05
2022-09-01,7.785973655110716e-05
2022-09-16,6.482899047936883e-05
2022-10-01,-2.030904675072741e-05
2022-10-16,2.9263359781406108e-05
2022-11-01,-1.5664351239675777e-05
2022-11-16,2.6334855279281343e-05
2022-12-01,6.076959095746296e-05
2022-12-16,-1.1802192053112154e-05
2023-01-01,4.3582689725091904e-05
2023-01-16,1.213044637857424e-05
2023-02-01,5.537409197006637e-05
2023-02-16,0.00012648040556976882
2023-03-01,6.829517610602256e-05
2023-03-16,0.00013158566317828877
2023-04-01,2.02948808018432e-05
2023-04-16,5.911260493137165e-05
2023-05-01,0.00010312187145406348
2023-05-16,7.653411670428261e-05
2023-06-01,7.457044052828143e-05
2023-06-16,6.006796417275971e-05
2023-07-01,1.9081804720438573e-05
2023-07-16,-0.00020772118749442224
