date,mean_concentration
2020-01-01,8.062524780571365e-05
2020-01-16,7.411930956686132e-05
2020-02-01,7.761771491570664e-05
2020-02-16,8.138459851760414e-05
2020-03-01,7.793362246148699e-05
2020-03-16,7.829180926539691e-05
2020-04-01,7.172004440089858e-05
2020-04-16,8.228465109105703e-05
2020-05-01,8.254640583395461e-05
2020-05-16,8.102339905957447e-05
2020-06-01,9.313610369087273e-05
2020-06-16,8.298500676216444e-05
2020-07-01,9.456219685596594e-05
2020-07-16,7.902762046726666e-05
2020-08-01,7.23951753487382e-05
2020-08-16,6.573501898072855e-05
2020-09-01,7.162003024194279e-05
2020-09-16,7.570998946993141e-05
2020-10-01,8.589436532750684e-05
2020-10-16,8.575336480972032e-05
2020-11-01,8.823260720901346e-05
2020-11-16,8.744199819626721e-05
2020-12-01,8.49858973613591e-05
2020-12-16,8.744912431682524e-05
2021-01-01,8.163372734309455e-05
2021-01-16,8.225162997932344e-05
2021-02-01,8.319192708348242e-05
2021-02-16,8.55212434056781e-05
2021-03-01,8.170985192162966e-05
2021-03-16,8.832354186975065e-05
2021-04-01,8.912068394151216e-05
2021-04-16,8.903226055068628e-05
2021-05-01,9.2438259902246e-05
2021-05-16,9.462567302662836e-05
2021-06-01,8.806549147214081e-05
2021-06-16,9.676950443861438e-05
2021-07-01,8.761402365917868e-05
2021-07-16,8.207416134901085e-05
2021-08-01,7.641211012354975e-05
2021-08-16,7.540584134878232e-05
2021-09-01,7.667791842599552e-05
2021-09-16,7.486358811594018e-05
2021-10-01,8.789672648564456e-05
2021-10-16,9.51836671502184e-05
2021-11-01,8.466757353486444e-05
2021-11-16,8.792359351053009e-05
2021-12-01,8.48838634078785e-05
2021-12-16,9.626013933651032e-05
2022-01-01,7.767427737197675e-05
2022-01-16,7.867182962040279e-05
2022-02-01,7.78112171779699e-05
2022-02-16,8.318766419674452e-05
2022-03-01,8.554432354779165e-05
2022-03-16,8.2064525212664e-05
2022-04-01,8.781846608896197e-05
2022-04-16,8.488737931519843e-05
2022-05-01,8.355541512104008e-05
2022-05-16,8.347311241713886e-05
2022-06-01,8.4459302748702e-05
2022-06-16,9.609373867934468e-05
2022-07-01,8.255190553057418e-05
2022-07-16,7.316689572837226e-05
2022-08-01,7.29358539046561e-05
2022-08-16,7.097573901956156e-05
2022-09-01,7.575746848218893e-05
2022-09-16,7.73044548207106e-05
2022-10-01,8.326775044456164e-05
2022-10-16,8.780870441583947e-05
2022-11-01,8.791803431444633e-05
2022-11-16,9.805757379699948e-05
2022-12-01,8.892958532231212e-05
2022-12-16,0.0001028028128894356
2023-01-01,9.22285787827118e-05
2023-01-16,9.685833303130684e-05
2023-02-01,8.937093944457486e-05
2023-02-16,8.690079685416144e-05
2023-03-01,9.044592426651236e-05
2023-03-16,9.490260407991706e-05
2023-04-01,9.66296471506208e-05
2023-04-16,9.77131264369182e-05
2023-05-01,9.96416243805696e-05
2023-05-16,9.212905658044924e-05
2023-06-01,9.293368866361793e-05
2023-06-16,9.098829555103714e-05
2023-07-01,8.878715818119028e-05
2023-07-16,7.866058356783919e-05
