date,mean_concentration
2020-01-01,6.018350252069133e-05
2020-01-16,5.640195915642919e-05
2020-02-01,6.067597957173053e-05
2020-02-16,6.776399447794661e-05
2020-03-01,6.229895594149882e-05
2020-03-16,7.116064815266834e-05
2020-04-01,7.000627859596924e-05
2020-04-16,7.058280663129526e-05
2020-05-01,7.146267766743295e-05
2020-05-16,7.120964189941746e-05
2020-06-01,7.237339500874948e-05
2020-06-16,6.638152431376435e-05
2020-07-01,6.187370843513284e-05
2020-07-16,5.874903577326071e-05
2020-08-01,5.908387369211231e-05
2020-08-16,4.780404165239044e-05
2020-09-01,5.992225496668423e-05
2020-09-16,5.707622993769654e-05
2020-10-01,6.259614322049537e-05
2020-10-16,6.454564859893582e-05
2020-11-01,7.964098120619339e-05
2020-11-16,6.995147841128113e-05
2020-12-01,7.860789043770972e-05
2020-12-16,7.405874332019958e-05
2021-01-01,7.42949812303548e-05
2021-01-16,7.334766475555944e-05
2021-02-01,7.439750846234108e-05
2021-02-16,7.966714194459495e-05
2021-03-01,8.052545936401592e-05
2021-03-16,8.549466420518112e-05
2021-04-01,8.191140589665691e-05
2021-04-16,8.189592651769416e-05
2021-05-01,7.750069377958429e-05
2021-05-16,8.060398447211436e-05
2021-06-01,8.582600086391703e-05
2021-06-16,7.01619294237532e-05
2021-07-01,6.91991906187435e-05
2021-07-16,6.41664689297337e-05
2021-08-01,6.326949484924637e-05
2021-08-16,6.454040153467117e-05
2021-09-01,6.817183659071253e-05
2021-09-16,6.292092443239431e-05
2021-10-01,7.236374944518373e-05
2021-10-16,6.914471809943107e-05
2021-11-01,8.255523901155107e-05
2021-11-16,6.568642746389326e-05
2021-12-01,7.338362560869275e-05
2021-12-16,6.362036257218555e-05
2022-01-01,6.20594519253802e-05
2022-01-16,6.511911190087317e-05
2022-02-01,6.937340776488437e-05
2022-02-16,6.893043475351119e-05
2022-03-01,7.423839866702104e-05
2022-03-16,7.420287029595454e-05
2022-04-01,7.412615817163744e-05
2022-04-16,7.25710040125504e-05
2022-05-01,7.211856518423676e-05
2022-05-16,6.690432959685523e-05
2022-06-01,7.209605523644507e-05
2022-06-16,7.206687150768558e-05
2022-07-01,6.237313980344566e-05
2022-07-16,6.672131836281467e-05
2022-08-01,6.278790730579735e-05
2022-08-16,6.221000593700097e-05
2022-09-01,6.499594183323775e-05
2022-09-16,6.217418891822808e-05
2022-10-01,6.741592740346646e-05
2022-10-16,7.531622185664011e-05
2022-11-01,8.020970501961333e-05
2022-11-16,8.10774395002308e-05
2022-12-01,8.21295235084883e-05
2022-12-16,8.384296119520903e-05
2023-01-01,7.575965140745813e-05
2023-01-16,8.592145394249287e-05
2023-02-01,8.342536895737207e-05
2023-02-16,8.295512055281259e-05
2023-03-01,8.064799446331107e-05
2023-03-16,7.707071152032548e-05
2023-04-01,8.120024191247685e-05
2023-04-16,9.257147492053576e-05
2023-05-01,8.865685291446268e-05
2023-05-16,7.674668768664084e-05
2023-06-01,8.669180388016983e-05
2023-06-16,7.649702938062781e-05
2023-07-01,8.159452474966926e-05
2023-07-16,6.817914429710316e-05
