date,mean_concentration
2020-01-01,1.6156220759155726e-05
2020-01-16,-3.794123081983985e-05
2020-02-01,3.830211821916952e-05
2020-02-16,5.7925377903255005e-06
2020-03-01,7.921690268637079e-06
2020-03-16,0.00010570807590736328
2020-04-01,0.00010759870979976989
2020-04-16,9.19036899285868e-05
2020-05-01,9.016200552465272e-05
2020-05-16,0.00011835902467605665
2020-06-01,-1.151454465864646e-05
2020-06-16,-8.848945417829052e-05
2020-07-01,-9.812219706961252e-05
2020-07-16,-4.242452848931285e-05
2020-08-01,-5.42300327900212e-05
2020-08-16,1.1089810156652598e-05
2020-09-01,2.220465235248105e-05
2020-09-16,1.536614594132412e-05
2020-10-01,7.976666105674426e-05
2020-10-16,-2.147551238656159e-05
2020-11-01,4.457383948760914e-05
2020-11-16,0.0001361227640737791
2020-12-01,0.00021567819575266643
2020-12-16,0.00012249192912133704
2021-01-01,7.255764288543044e-05
2021-01-16,0.00016681218464157489
2021-02-01,5.378239920722444e-05
2021-02-16,3.524073085884073e-05
2021-03-01,0.0001217465278856975
2021-03-16,5.2191774479588245e-05
2021-04-01,0.0001586959397072792
2021-04-16,0.0002105089912668511
2021-05-01,0.00010321690740430894
2021-05-16,0.0001041525709022145
2021-06-01,4.8216078604635286e-05
2021-06-16,-3.298694791983694e-05
2021-07-01,-4.480257323634631e-05
2021-07-16,5.5721884186999405e-05
2021-08-01,-8.606467988051898e-06
2021-08-16,-3.5763250771541834e-05
2021-09-01,3.4633909085211995e-06
2021-09-16,6.579972761205267e-05
2021-10-01,2.514780257600813e-05
2021-10-16,4.045370260342375e-05
2021-11-01,-8.24590502356235e-05
2021-11-16,8.043699167587919e-05
2021-12-01,0.00016825880603954204
2021-12-16,0.00024521342188732915
2022-01-01,-6.15290771142392e-06
2022-01-16,5.362894690964613e-05
2022-02-01,0.00015265624782033924
2022-02-16,1.798622720400536e-05
2022-03-01,0.00010768423481795934
2022-03-16,0.000114482463698387
2022-04-01,9.367286310519626e-05
2022-04-16,4.846896860777163e-05
2022-05-01,0.00010605087239775392
2022-05-16,8.442228411105715e-05
2022-06-01,0.00012613197471661032
2022-06-16,4.916016674560204e-05
2022-07-01,-2.2151413703638355e-06
2022-07-16,-0.00017445667981427128
2022-08-01,-7.317287171582616e-06
2022-08-16,-7.836923419468683e-06
2022-09-01,7.844100580165427e-05
2022-09-16,4.535822248494468e-05
2022-10-01,-6.46671017029151e-05
2022-10-16,4.083322806754768e-05
2022-11-01,-4.161870215904598e-05
2022-11-16,9.616627647111648e-05
2022-12-01,4.1583064515537096e-05
2022-12-16,0.00014152315732195002
2023-01-01,8.654199038100935e-05
2023-01-16,8.219019841633452e-06
2023-02-01,9.313592384625066e-05
2023-02-16,0.00014900000428367326
2023-03-01,0.0001022696808367258
2023-03-16,7.352114856990194e-05
2023-04-01,0.00010425787329336398
2023-04-16,4.073098773638418e-05
2023-05-01,0.00013009564435499665
2023-05-16,0.00011399977333426154
2023-06-01,7.873186348248875e-05
2023-06-16,8.645058096137236e-07
2023-07-01,-0.0001168808794475149
2023-07-16,-1.0610467549463286e-05
