date,mean_concentration
2020-01-01,9.10320092025783e-05
2020-01-16,8.460020068393451e-05
2020-02-01,8.076351527211088e-05
2020-02-16,7.92189736888382e-05
2020-03-01,7.64000296097678e-05
2020-03-16,7.227303720122317e-05
2020-04-01,6.962309103129191e-05
2020-04-16,8.420117028919337e-05
2020-05-01,9.74556293637594e-05
2020-05-16,0.000121136121032935
2020-06-01,0.00010469153598577276
2020-06-16,0.00011062607161043178
2020-07-01,9.07890749523844e-05
2020-07-16,8.246789077290438e-05
2020-08-01,8.468094639846662e-05
2020-08-16,7.386692493657956e-05
2020-09-01,8.1549127189414e-05
2020-09-16,8.310662707805802e-05
2020-10-01,8.453362681783872e-05
2020-10-16,9.170814563639236e-05
2020-11-01,0.00010432670118209404
2020-11-16,0.00010404521900874476
2020-12-01,0.00011304035579695912
2020-12-16,0.00010261666025739294
2021-01-01,0.00011184731626653428
2021-01-16,9.845642340189572e-05
2021-02-01,0.00010400928672097011
2021-02-16,8.972181503507612e-05
2021-03-01,8.279093333446886e-05
2021-03-16,8.653127014123168e-05
2021-04-01,9.242219260487757e-05
2021-04-16,0.0001062832883236925
2021-05-01,0.00012633517226565353
2021-05-16,0.00011574329971114218
2021-06-01,0.000115997290707198
2021-06-16,0.00011316236246842305
2021-07-01,0.0001149099907819167
2021-07-16,0.00010082394045174874
2021-08-01,9.42868848274228e-05
2021-08-16,9.024092923932992e-05
2021-09-01,0.00010122059830392378
2021-09-16,8.253355811878599e-05
2021-10-01,9.37679287637855e-05
2021-10-16,0.0001029083075155933
2021-11-01,0.00013992769625119792
2021-11-16,0.00010511094903914104
2021-12-01,9.595049910053103e-05
2021-12-16,0.00011299023577725694
2022-01-01,0.00010158705823731233
2022-01-16,8.811080403303549e-05
2022-02-01,0.00010700992456704724
2022-02-16,9.364117817028403e-05
2022-03-01,8.663981534182668e-05
2022-03-16,9.118214062828802e-05
2022-04-01,0.0001040596186440721
2022-04-16,0.00011032833866367962
2022-05-01,0.0001322348275057299
2022-05-16,0.00012020996964502164
2022-06-01,0.0001142075971226868
2022-06-16,0.00011974680095055636
2022-07-01,0.00010017155967655577
2022-07-16,8.56796403354469e-05
2022-08-01,8.491138619458419e-05
2022-08-16,7.693219048356161e-05
2022-09-01,8.141551722870666e-05
2022-09-16,7.917003000177753e-05
2022-10-01,8.768612030863691e-05
2022-10-16,0.00010095459387903942
2022-11-01,0.0001252176567996903
2022-11-16,0.00011374609898124978
2022-12-01,0.00010251153666408
2022-12-16,0.000121164544203981
2023-01-01,0.00012533962082618595
2023-01-16,9.888749331217569e-05
2023-02-01,9.411968729873328e-05
2023-02-16,9.671417709867768e-05
2023-03-01,9.04823205487674e-05
2023-03-16,9.371909180124964e-05
2023-04-01,0.00010407706682690536
2023-04-16,0.00011979769902226922
2023-05-01,0.00012869657532436977
2023-05-16,0.0001389630239459243
2023-06-01,0.0001193929306982978
2023-06-16,0.0001226115151424062
2023-07-01,0.0001026219823494127
2023-07-16,8.830376053779954e-05
