date,mean_concentration
2019-01-01,5.783869233880484e-05
2019-01-16,5.479708644987102e-05
2019-02-01,5.083324713246434e-05
2019-02-16,5.767596771254368e-05
2019-03-01,5.88180230358583e-05
2019-03-16,6.322720761766474e-05
2019-04-01,6.494724302808083e-05
2019-04-16,6.904380988284427e-05
2019-05-01,7.13946208579934e-05
2019-05-16,7.048215266927483e-05
2019-06-01,6.967195696583542e-05
2019-06-16,6.574536218957158e-05
2019-07-01,6.431700257162048e-05
2019-07-16,6.048103724586399e-05
2019-08-01,5.581459887661848e-05
2019-08-16,5.552448836996543e-05
2019-09-01,5.479253610059581e-05
2019-09-16,5.4426426937058125e-05
2019-10-01,5.165623280915001e-05
2019-10-16,4.956575363555363e-05
2019-11-01,4.951923185829757e-05
2019-11-16,4.516860605243727e-05
2019-12-01,4.560147342173949e-05
2019-12-16,4.337305243626108e-05
2020-01-01,4.4762417864748624e-05
2020-01-16,4.7789791160181536e-05
2020-02-01,4.621551024094885e-05
2020-02-16,4.8594540505982544e-05
2020-03-01,5.193983680056257e-05
2020-03-16,5.137301243368981e-05
2020-04-01,5.168603742388343e-05
2020-04-16,6.049005194889416e-05
2020-05-01,5.7546480794484095e-05
2020-05-16,6.396091492229536e-05
2020-06-01,5.788393796652243e-05
2020-06-16,5.763133240672451e-05
2020-07-01,5.655276994735154e-05
2020-07-16,5.508959966042529e-05
2020-08-01,5.5422734849819096e-05
2020-08-16,5.9399413776283424e-05
2020-09-01,5.113174541179459e-05
2020-09-16,5.310824157195791e-05
2020-10-01,5.6622725316537857e-05
2020-10-16,5.578328303928804e-05
2020-11-01,5.689401399672993e-05
2020-11-16,5.489119526337666e-05
2020-12-01,5.0172277346456456e-05
2020-12-16,5.463189782492972e-05
2021-01-01,4.530432867095068e-05
2021-01-16,5.113567394653409e-05
2021-02-01,5.244544625943163e-05
2021-02-16,5.5081476896441096e-05
2021-03-01,5.412626277338419e-05
2021-03-16,5.465651703806798e-05
2021-04-01,7.037503363388066e-05
2021-04-16,7.169333666815588e-05
2021-05-01,5.950537395526668e-05
2021-05-16,5.615333421712765e-05
2021-06-01,5.863974310879975e-05
2021-06-16,6.169441767077745e-05
2021-07-01,6.579749933520173e-05
2021-07-16,5.9066219800725465e-05
2021-08-01,6.107438156780873e-05
2021-08-16,6.296104687150201e-05
2021-09-01,5.868526487306103e-05
2021-09-16,6.429326607510936e-05
2021-10-01,5.850699117395161e-05
2021-10-16,6.149093175199923e-05
2021-11-01,5.66152288987204e-05
2021-11-16,5.764617729508846e-05
2021-12-01,5.6104469587040175e-05
2021-12-16,5.739922995294993e-05
2022-01-01,5.588940746661974e-05
2022-01-16,6.45776588085574e-05
2022-02-01,5.688190151290484e-05
2022-02-16,5.732317468543237e-05
2022-03-01,6.137610719630582e-05
2022-03-16,6.872426505512836e-05
2022-04-01,6.405441541785328e-05
2022-04-16,6.366450928799099e-05
2022-05-01,7.000595051573698e-05
2022-05-16,6.501306915213604e-05
2022-06-01,6.237213956318663e-05
2022-06-16,6.26679138824326e-05
2022-07-01,5.880214315010722e-05
2022-07-16,6.224377347989861e-05
2022-08-01,5.694005654884333e-05
2022-08-16,6.323638793956542e-05
2022-09-01,5.776541734257008e-05
2022-09-16,6.115521277435999e-05
2022-10-01,6.403969686483053e-05
2022-10-16,6.031624537275082e-05
2022-11-01,4.921498017837384e-05
2022-11-16,6.151739930024233e-05
2022-12-01,6.51048785585407e-05
2022-12-16,5.6699062177069856e-05
2023-01-01,5.8210476200418894e-05
2023-01-16,5.394771056812048e-05
2023-02-01,5.355017275127005e-05
2023-02-16,5.5760403279667935e-05
2023-03-01,5.533521676571783e-05
2023-03-16,6.815352847149798e-05
2023-04-01,6.554617087967936e-05
2023-04-16,7.348765861819485e-05
2023-05-01,7.00878137936687e-05
2023-05-16,7.111878389061777e-05
2023-06-01,7.290524398466028e-05
2023-06-16,6.927723471601493e-05
2023-07-01,6.857064651538664e-05
2023-07-16,6.41745908173919e-05
2023-08-01,6.343077505723961e-05
2023-08-16,6.45354334314093e-05
2023-09-01,6.119679795963365e-05
2023-09-16,6.0781066249599285e-05
2023-10-01,6.072015672771676e-05
2023-10-16,5.536281304741132e-05
2023-11-01,5.156411293809388e-05
2023-11-16,5.006011189569768e-05
2023-12-01,4.982564329091089e-05
2023-12-16,4.726003185804881e-05
