date,mean_concentration
2020-01-01,5.6859312884351056e-05
2020-01-16,5.310975357752002e-05
2020-02-01,5.542106790047253e-05
2020-02-16,6.0682101057461816e-05
2020-03-01,6.368151931921471e-05
2020-03-16,7.397880487934524e-05
2020-04-01,7.197614502577236e-05
2020-04-16,7.506797077318561e-05
2020-05-01,6.788275979027899e-05
2020-05-16,6.651191984852098e-05
2020-06-01,7.382446857242065e-05
2020-06-16,6.344213759528818e-05
2020-07-01,6.964641773715528e-05
2020-07-16,6.113935454770439e-05
2020-08-01,6.497434069309784e-05
2020-08-16,6.262619509719744e-05
2020-09-01,6.019002611097673e-05
2020-09-16,6.497151324435745e-05
2020-10-01,6.16460021318842e-05
2020-10-16,5.7049707053901656e-05
2020-11-01,5.161855048214789e-05
2020-11-16,5.5798943798880936e-05
2020-12-01,5.5469371077026766e-05
2020-12-16,5.4825723750279696e-05
2021-01-01,6.129276054226329e-05
2021-01-16,5.623391163909877e-05
2021-02-01,6.046153817426747e-05
2021-02-16,7.069630498238248e-05
2021-03-01,7.612745537370975e-05
2021-03-16,9.827651892921108e-05
2021-04-01,7.762667358355238e-05
2021-04-16,7.837552728681139e-05
2021-05-01,8.417838924304846e-05
2021-05-16,7.707737074208113e-05
2021-06-01,8.554015163596602e-05
2021-06-16,7.267044911191375e-05
2021-07-01,7.524990165087471e-05
2021-07-16,7.179599467347698e-05
2021-08-01,7.314355919747591e-05
2021-08-16,7.14509976525137e-05
2021-09-01,6.883330789611663e-05
2021-09-16,6.770758373104975e-05
2021-10-01,7.28421197051346e-05
2021-10-16,6.217688606671686e-05
2021-11-01,5.800782875812422e-05
2021-11-16,5.266848367017974e-05
2021-12-01,5.480761335321527e-05
2021-12-16,5.518164891365939e-05
2022-01-01,5.601792302696911e-05
2022-01-16,5.4698815469137146e-05
2022-02-01,5.54621871384964e-05
2022-02-16,6.400938341074416e-05
2022-03-01,7.464631467607121e-05
2022-03-16,8.450898541031082e-05
2022-04-01,5.774110920069645e-05
2022-04-16,6.864441553252504e-05
2022-05-01,6.691027259395356e-05
2022-05-16,6.985783685189962e-05
2022-06-01,6.663476591446661e-05
2022-06-16,6.962682913972582e-05
2022-07-01,7.687754627788965e-05
2022-07-16,7.005990006550219e-05
2022-08-01,6.82125935876276e-05
2022-08-16,6.611743727302197e-05
2022-09-01,6.512279340943883e-05
2022-09-16,6.422332767142297e-05
2022-10-01,6.61152831186467e-05
2022-10-16,6.231723385687446e-05
2022-11-01,5.913080118393788e-05
2022-11-16,6.002762889401773e-05
2022-12-01,6.194798468803765e-05
2022-12-16,6.63119064882828e-05
2023-01-01,6.282738410198099e-05
2023-01-16,6.801182525106517e-05
2023-02-01,7.08086163766916e-05
2023-02-16,7.042432811858635e-05
2023-03-01,8.379904820748103e-05
2023-03-16,8.071836205097028e-05
2023-04-01,7.997768283052781e-05
2023-04-16,8.630553455082126e-05
2023-05-01,8.687892908737071e-05
2023-05-16,8.3737212363025e-05
2023-06-01,8.890222197433912e-05
2023-06-16,7.972416987016775e-05
2023-07-01,7.454024750248736e-05
2023-07-16,7.468871955109278e-05
