date,mean_concentration
2020-01-01,5.621810953849706e-05
2020-01-16,5.419370912900404e-05
2020-02-01,5.580888967314269e-05
2020-02-16,6.256898546805204e-05
2020-03-01,6.581685537981751e-05
2020-03-16,7.173389371234787e-05
2020-04-01,7.04703381863968e-05
2020-04-16,7.126652255684004e-05
2020-05-01,6.674714333098634e-05
2020-05-16,6.409055249833684e-05
2020-06-01,8.17023664975951e-05
2020-06-16,6.779728032300364e-05
2020-07-01,7.077342973812923e-05
2020-07-16,6.851944811573255e-05
2020-08-01,6.331732707333425e-05
2020-08-16,6.367123502205989e-05
2020-09-01,6.474933000840896e-05
2020-09-16,6.462921610912888e-05
2020-10-01,6.337598066788504e-05
2020-10-16,5.552536933213007e-05
2020-11-01,5.1387037776849006e-05
2020-11-16,5.854697330438488e-05
2020-12-01,5.582563438391292e-05
2020-12-16,5.6540125735148405e-05
2021-01-01,5.832214897023199e-05
2021-01-16,5.550879010823548e-05
2021-02-01,6.055721050116746e-05
2021-02-16,7.043494970933335e-05
2021-03-01,7.056074991700744e-05
2021-03-16,8.727146601247997e-05
2021-04-01,7.563073117064009e-05
2021-04-16,7.657985749637779e-05
2021-05-01,7.723954727986853e-05
2021-05-16,8.076363974687596e-05
2021-06-01,7.251341700331647e-05
2021-06-16,7.688467274691509e-05
2021-07-01,8.239792476956614e-05
2021-07-16,7.266939461954501e-05
2021-08-01,7.238874821861032e-05
2021-08-16,6.734222973892361e-05
2021-09-01,6.930601297336365e-05
2021-09-16,6.927626480287626e-05
2021-10-01,6.966422226013582e-05
2021-10-16,6.501946797491416e-05
2021-11-01,5.982359690146224e-05
2021-11-16,5.425713946931757e-05
2021-12-01,5.785589068866573e-05
2021-12-16,5.585766102250813e-05
2022-01-01,5.288993775453634e-05
2022-01-16,5.3165078751649296e-05
2022-02-01,5.479537074458597e-05
2022-02-16,6.568384410728858e-05
2022-03-01,7.180830227467995e-05
2022-03-16,7.805428076247824e-05
2022-04-01,6.373254167517678e-05
2022-04-16,7.349672937096704e-05
2022-05-01,6.499859002674096e-05
2022-05-16,7.52517175011623e-05
2022-06-01,7.377556742150951e-05
2022-06-16,7.012811663707419e-05
2022-07-01,7.337414867296079e-05
2022-07-16,6.811333724623374e-05
2022-08-01,7.086719723095047e-05
2022-08-16,6.773854364124952e-05
2022-09-01,6.667582750690142e-05
2022-09-16,6.851612566849092e-05
2022-10-01,6.174655131909885e-05
2022-10-16,6.192430898701622e-05
2022-11-01,6.028576486681278e-05
2022-11-16,6.0633276859234005e-05
2022-12-01,6.839268345389723e-05
2022-12-16,6.72243820888635e-05
2023-01-01,6.348413960496559e-05
2023-01-16,6.82065732062347e-05
2023-02-01,6.978748967638142e-05
2023-02-16,7.222695335169798e-05
2023-03-01,8.226092403631781e-05
2023-03-16,7.904649568390026e-05
2023-04-01,8.067180875087295e-05
2023-04-16,8.410627893926342e-05
2023-05-01,8.354790099620313e-05
2023-05-16,8.19409747465556e-05
2023-06-01,8.728104207244573e-05
2023-06-16,7.925421657872925e-05
2023-07-01,7.599696050986223e-05
2023-07-16,7.277051504696732e-05
