date,mean_concentration
2019-01-01,6.384166880135182e-05
2019-01-16,6.103863720328052e-05
2019-02-01,5.73368264407369e-05
2019-02-16,6.474067698964901e-05
2019-03-01,6.500363295290598e-05
2019-03-16,6.85048338211497e-05
2019-04-01,7.511842310024052e-05
2019-04-16,7.876935757188605e-05
2019-05-01,8.499495718656075e-05
2019-05-16,9.141774558729024e-05
2019-06-01,9.37038859571122e-05
2019-06-16,7.556874242014899e-05
2019-07-01,6.270094292212138e-05
2019-07-16,6.540408971761378e-05
2019-08-01,
2019-08-16,6.300387357375615e-05
2019-09-01,
2019-09-16,5.294710118038468e-05
2019-10-01,5.6776858385018366e-05
2019-10-16,4.919164903747154e-05
2019-11-01,5.560604000485682e-05
2019-11-16,5.281936518701448e-05
2019-12-01,5.6295557092093575e-05
2019-12-16,5.927045198981079e-05
2020-01-01,5.4060595477245856e-05
2020-01-16,5.184393546072247e-05
2020-02-01,4.716202983788427e-05
2020-02-16,5.504472217913591e-05
2020-03-01,5.355646647588383e-05
2020-03-16,6.090644184717121e-05
2020-04-01,5.7004338866132025e-05
2020-04-16,6.705572051520268e-05
2020-05-01,7.493215673648477e-05
2020-05-16,8.378053825381585e-05
2020-06-01,7.546660147833419e-05
2020-06-16,6.269939339918214e-05
2020-07-01,5.296853222587947e-05
2020-07-16,6.022715301432714e-05
2020-08-01,5.929573782286712e-05
2020-08-16,5.2845453375067394e-05
2020-09-01,5.565005326680419e-05
2020-09-16,5.539255928319544e-05
2020-10-01,5.888082204155847e-05
2020-10-16,5.8008832182764814e-05
2020-11-01,6.45980735007396e-05
2020-11-16,6.282427835527753e-05
2020-12-01,6.724983123632946e-05
2020-12-16,6.690330364490882e-05
2021-01-01,6.019159302007093e-05
2021-01-16,5.843645086678929e-05
2021-02-01,6.173156954503972e-05
2021-02-16,6.226636177353602e-05
2021-03-01,6.694587616101629e-05
2021-03-16,7.074928980145273e-05
2021-04-01,7.220068315864889e-05
2021-04-16,7.712264153624909e-05
2021-05-01,6.90527979582017e-05
2021-05-16,8.055890997089547e-05
2021-06-01,7.427069619074659e-05
2021-06-16,7.149145684453708e-05
2021-07-01,6.999502303610937e-05
2021-07-16,6.682111485096805e-05
2021-08-01,6.727379923820221e-05
2021-08-16,6.889135149268954e-05
2021-09-01,5.6905576639474985e-05
2021-09-16,6.214202306668843e-05
2021-10-01,5.975532836656786e-05
2021-10-16,6.305829813195522e-05
2021-11-01,6.36895763584894e-05
2021-11-16,5.793813721493517e-05
2021-12-01,6.247608346779114e-05
2021-12-16,6.68920884014801e-05
2022-01-01,6.016444081374905e-05
2022-01-16,6.309304007060258e-05
2022-02-01,5.68499301248097e-05
2022-02-16,5.398467812346828e-05
2022-03-01,6.065740599370392e-05
2022-03-16,7.165071950000991e-05
2022-04-01,5.953867331462823e-05
2022-04-16,6.855789333433957e-05
2022-05-01,8.036356503824885e-05
2022-05-16,8.037872161240442e-05
2022-06-01,8.327102414081236e-05
2022-06-16,7.365590403212584e-05
2022-07-01,7.53005669863053e-05
2022-07-16,6.458116365625529e-05
2022-08-01,5.849923056944633e-05
2022-08-16,6.035960882991855e-05
2022-09-01,5.944966085404667e-05
2022-09-16,6.483874987709536e-05
2022-10-01,5.903205392588959e-05
2022-10-16,6.477938067276313e-05
2022-11-01,7.126770813341002e-05
2022-11-16,7.890483896831817e-05
2022-12-01,6.546923714051014e-05
2022-12-16,7.6293779641885e-05
2023-01-01,6.650305253984114e-05
2023-01-16,6.230068078235826e-05
2023-02-01,7.064167655789569e-05
2023-02-16,6.990919479534187e-05
2023-03-01,6.999178180503784e-05
2023-03-16,7.703884163603643e-05
2023-04-01,7.346622165570362e-05
2023-04-16,8.400811390717888e-05
2023-05-01,9.152017076401684e-05
2023-05-16,8.823966377407464e-05
2023-06-01,9.415121829937364e-05
2023-06-16,8.161473613674498e-05
2023-07-01,7.212259369933801e-05
2023-07-16,
2023-08-01,6.570433743455224e-05
2023-08-16,6.895623557986735e-05
2023-09-01,5.7638639327104e-05
2023-09-16,6.593636164554927e-05
2023-10-01,6.679034524245533e-05
2023-10-16,6.764603258601919e-05
2023-11-01,8.054549857368643e-05
2023-11-16,7.178924161582846e-05
2023-12-01,6.69680450283141e-05
2023-12-16,5.9043370055111625e-05
