date,mean_concentration
2020-01-01,-8.411373533254959e-06
2020-01-16,-7.458103242226833e-05
2020-02-01,7.847513355377559e-05
2020-02-16,0.00012946718229747865
2020-03-01,0.00010831954166869474
2020-03-16,0.00011774949212624454
2020-04-01,7.796991692122867e-05
2020-04-16,7.759346954532714e-05
2020-05-01,9.313698210009252e-05
2020-05-16,0.00011443115047376928
2020-06-01,7.535587745862168e-05
2020-06-16,-3.9393265089855564e-06
2020-07-01,6.359938266524843e-06
2020-07-16,-0.00011285266938583876
2020-08-01,-5.35597607818562e-05
2020-08-16,-9.302134960371996e-05
2020-09-01,-2.2084838932836917e-05
2020-09-16,-1.9304066038366345e-05
2020-10-01,0.00011069049715701542
2020-10-16,8.225548804244163e-05
2020-11-01,3.966779715540338e-06
2020-11-16,-9.715482105358704e-05
2020-12-01,-4.428396122963654e-06
2020-12-16,-4.5549701473678135e-05
2021-01-01,4.598943321962595e-05
2021-01-16,0.00010369925912259436
2021-02-01,9.62023760752146e-05
2021-02-16,0.0001679789018252443
2021-03-01,0.0001828501326310764
2021-03-16,3.222154206380933e-05
2021-04-01,0.0002087007720535704
2021-04-16,0.0003324230425993279
2021-05-01,9.973555243128384e-05
2021-05-16,6.028302793111683e-05
2021-06-01,4.405738861186815e-05
2021-06-16,2.309878401741801e-05
2021-07-01,-1.6595159250672775e-05
2021-07-16,-1.0989930839384113e-06
2021-08-01,1.4289435067364002e-05
2021-08-16,9.019278220943264e-05
2021-09-01,-9.68428235995936e-08
2021-09-16,0.0001071998661698518
2021-10-01,3.801066042683312e-05
2021-10-16,3.982956795346398e-05
2021-11-01,-1.728141064191314e-05
2021-11-16,-2.529701034170229e-05
2021-12-01,0.00013434400066588884
2021-12-16,0.00011064078757248692
2022-01-01,0.0001664569624672226
2022-01-16,5.199977494632566e-06
2022-02-01,0.00010205805147953977
2022-02-16,0.00013271734049262544
2022-03-01,0.00010821154159105318
2022-03-16,0.0001745195529188356
2022-04-01,0.0001536628986843169
2022-04-16,0.0001279794884946237
2022-05-01,0.00016268456069081506
2022-05-16,-1.5379606394336013e-05
2022-06-01,5.091695607322195e-05
2022-06-16,1.9158491879827696e-05
2022-07-01,-0.0001197430808614132
2022-07-16,2.323988915970792e-06
2022-08-01,-4.354733490941475e-05
2022-08-16,2.8233818629193156e-05
2022-09-01,7.830875663889365e-05
2022-09-16,0.0001610487929701149
2022-10-01,2.2669800437251825e-05
2022-10-16,9.146401115326113e-05
2022-11-01,2.0162578889423265e-06
2022-11-16,-1.2751785727820993e-05
2022-12-01,4.852229496842763e-05
2022-12-16,-2.1685200828318717e-05
2023-01-01,6.236364901231798e-05
2023-02-01,0.00012510572415685989
2023-03-01,0.00023552972356950572
2023-03-16,0.00015962562285798713
2023-04-01,4.722064208882508e-05
2023-04-16,0.00013666912119226747
2023-05-01,0.00017543137641278
2023-05-16,6.36352697420194e-05
2023-06-01,6.80204223514675e-05
2023-06-16,-3.9525374692718935e-05
2023-07-01,3.444244558208897e-06
2023-07-16,
2023-08-01,-1.0427318141581078e-05
2023-08-16,-0.0001354000818716176
