date,mean_concentration
2020-01-01,0.000564175088026751
2020-01-16,0.0005477800863415054
2020-02-01,0.000230882915470774
2020-02-16,6.315254017143508e-05
2020-03-01,-5.71617953156939e-05
2020-03-16,2.7367454191221245e-05
2020-04-01,8.575390712081326e-05
2020-04-16,9.35790817722872e-05
2020-05-01,8.644666911504125e-05
2020-05-16,0.00013359919849457145
2020-06-01,4.3516245225493e-05
2020-06-16,5.345331100700776e-05
2020-07-01,-0.00019796488433534144
2020-07-16,-3.509831303602946e-05
2020-08-01,-0.0002102935773781052
2020-08-16,4.726536961229053e-05
2020-09-01,-5.357784282110776e-05
2020-09-16,-2.183995542198417e-05
2020-10-01,7.098921728254422e-05
2020-10-16,8.755459796305899e-05
2020-11-01,0.00021630132972620051
2020-11-16,0.0003686447201972456
2020-12-01,0.0004737618160625359
2020-12-16,0.0004772988985744523
2021-01-01,0.001057171543918
2021-01-16,0.0004857756743220325
2021-02-01,0.00025802909792304874
2021-02-16,-4.863368117631568e-05
2021-03-01,6.161715924211634e-05
2021-03-16,-0.00010271057769656503
2021-04-01,0.00011678571413979296
2021-04-16,0.00011200064710060616
2021-05-01,1.4889142004629527e-05
2021-05-16,3.03254864027801e-05
2021-06-01,9.970391513668292e-05
2021-06-16,0.0001366543575664682
2021-07-01,9.879003498292284e-05
2021-07-16,-1.1759773124933996e-06
2021-08-01,-3.260157809423728e-05
2021-08-16,6.837691029905468e-05
2021-09-01,-4.023802222476268e-05
2021-09-16,-2.2962074272194455e-05
2021-10-01,7.590667733862574e-05
2021-10-16,0.0001748123208200521
2021-11-01,0.0001408280878319852
2021-11-16,0.0005793051736911593
2021-12-01,0.0005524987938650194
2021-12-16,0.00038451210166431455
2022-01-01,0.0007322734869235637
2022-01-16,0.000649960827780598
2022-02-01,0.0002574966779124764
2022-02-16,0.00012768432505160443
2022-03-01,0.0001165267774134064
2022-03-16,2.849536161676412e-05
2022-04-01,4.234465951615721e-06
2022-04-16,5.5705307215686805e-05
2022-05-01,8.500458013202974e-05
2022-05-16,7.880815519530493e-05
2022-06-01,9.497131235485544e-05
2022-06-16,6.802805075253602e-05
2022-07-01,-2.7859498375700943e-05
2022-07-16,-4.120552808096247e-05
2022-08-01,9.354348382304782e-05
2022-08-16,2.0490080474829964e-05
2022-09-01,2.208475659526381e-05
2022-09-16,-4.869297050792559e-05
2022-10-01,-8.229472300982e-05
2022-10-16,0.0002048155480739025
2022-11-01,0.0006570706237682191
2022-11-16,0.0005342434888965348
2022-12-01,0.0005400803823737517
2022-12-16,0.0004659196692393783
2023-01-01,0.0006697558440124511
2023-01-16,0.00033956065404340183
2023-02-01,0.000262636187850822
2023-02-16,0.00011246788021860504
2023-03-01,7.926004906017539e-05
2023-03-16,5.378470394396436e-05
2023-04-01,2.3750602137957552e-05
2023-04-16,0.00022935883429887392
2023-05-01,0.00012446188933408898
2023-05-16,9.821375593589472e-05
2023-06-01,7.286946750296597e-05
2023-06-16,3.1778435660690994e-05
2023-07-01,5.309871883392952e-05
2023-07-16,7.7409173092418e-06
