date,mean_concentration
2019-01-01,7.581505392212556e-05
2019-01-16,6.054731058553933e-05
2019-02-01,6.449106283375232e-05
2019-02-16,6.451462430753067e-05
2019-03-01,6.399344649326691e-05
2019-03-16,6.83125217217396e-05
2019-04-01,7.107469948111895e-05
2019-04-16,7.500461065808209e-05
2019-05-01,8.036504798105157e-05
2019-05-16,8.067138944897028e-05
2019-06-01,0.00010015392362283493
2019-06-16,7.99414543243223e-05
2019-07-01,7.289610881136584e-05
2019-07-16,7.106238166841213e-05
2019-08-01,4.920411282832415e-05
2019-08-16,6.190212796931488e-05
2019-09-01,5.607112198455549e-05
2019-09-16,5.550502887992168e-05
2019-10-01,5.5267460182131175e-05
2019-10-16,5.267910215705155e-05
2019-11-01,5.758051312557103e-05
2019-11-16,5.610409390402447e-05
2019-12-01,5.740123900609025e-05
2019-12-16,5.771699925221554e-05
2020-01-01,6.313361625200444e-05
2020-01-16,5.6362373467661385e-05
2020-02-01,5.370210745699908e-05
2020-02-16,5.716043894168762e-05
2020-03-01,5.368026856934778e-05
2020-03-16,6.104458209856894e-05
2020-04-01,5.743620203445459e-05
2020-04-16,6.257570085539725e-05
2020-05-01,6.986043356382171e-05
2020-05-16,8.134369869608926e-05
2020-06-01,7.909456771930981e-05
2020-06-16,6.51685297307597e-05
2020-07-01,6.198550145187034e-05
2020-07-16,6.126501203494627e-05
2020-08-01,5.553832054451624e-05
2020-08-16,5.68039331339608e-05
2020-09-01,5.784311878328765e-05
2020-09-16,5.67567851698897e-05
2020-10-01,5.878434618108055e-05
2020-10-16,6.052218515272929e-05
2020-11-01,6.341855442841416e-05
2020-11-16,6.368825620038334e-05
2020-12-01,6.963849773665163e-05
2020-12-16,7.542834369052662e-05
2021-01-01,6.691770675892462e-05
2021-01-16,7.015120639487753e-05
2021-02-01,7.112434206908797e-05
2021-02-16,7.065457011490696e-05
2021-03-01,7.083283451884934e-05
2021-03-16,7.855485037761267e-05
2021-04-01,7.601362939206895e-05
2021-04-16,8.038056074021801e-05
2021-05-01,7.220419115654685e-05
2021-05-16,7.902493427104073e-05
2021-06-01,7.964571186205968e-05
2021-06-16,7.768330046838786e-05
2021-07-01,7.854828781939957e-05
2021-07-16,6.572266861426956e-05
2021-08-01,6.658040761250972e-05
2021-08-16,6.430297852212826e-05
2021-09-01,6.438146698222892e-05
2021-09-16,6.588741941748005e-05
2021-10-01,6.193050453041404e-05
2021-10-16,6.444970648058006e-05
2021-11-01,5.642658684175167e-05
2021-11-16,5.588815800044352e-05
2021-12-01,6.064507604814413e-05
2021-12-16,6.992538090190352e-05
2022-01-01,7.225835780244666e-05
2022-01-16,7.241428706350913e-05
2022-02-01,6.471624967270814e-05
2022-02-16,6.208605625094134e-05
2022-03-01,6.629152614024654e-05
2022-03-16,7.000364821900709e-05
2022-04-01,6.326844425746867e-05
2022-04-16,6.754499492004952e-05
2022-05-01,7.626421910326469e-05
2022-05-16,9.10382151453633e-05
2022-06-01,9.172142902286964e-05
2022-06-16,6.92518151779646e-05
2022-07-01,4.718346428244559e-05
2022-07-16,6.416856855176547e-05
2022-08-01,5.7587457534791456e-05
2022-08-16,6.27937630950575e-05
2022-09-01,6.30611265675875e-05
2022-09-16,6.487930119907687e-05
2022-10-01,5.7375798863179775e-05
2022-10-16,6.306994717935452e-05
2022-11-01,6.90887714541615e-05
2022-11-16,7.135106489397858e-05
2022-12-01,6.975697990983879e-05
2022-12-16,7.710035901277275e-05
2023-01-01,7.212417851543517e-05
2023-01-16,6.781042887207341e-05
2023-02-01,7.474329436956769e-05
2023-02-16,7.070979848710661e-05
2023-03-01,7.66384084026095e-05
2023-03-16,7.209085251741984e-05
2023-04-01,7.298120208200923e-05
2023-04-16,8.07061253425216e-05
2023-05-01,7.992598882370203e-05
2023-05-16,8.768030536000983e-05
2023-06-01,9.697736842037724e-05
2023-06-16,8.777745460706801e-05
2023-07-01,7.12939389097619e-05
2023-07-16,
2023-08-01,7.073420404858297e-05
2023-08-16,6.792443143005086e-05
2023-09-01,6.986212716040282e-05
2023-09-16,6.93752266388008e-05
2023-10-01,6.748491407776694e-05
2023-10-16,6.379571906399119e-05
2023-11-01,7.694769191829868e-05
2023-11-16,6.86496811238421e-05
2023-12-01,6.273222734495663e-05
2023-12-16,6.020667219847451e-05
