date,mean_concentration
2020-01-01,7.441917413259286e-05
2020-01-16,7.21174953063771e-05
2020-02-01,6.972439873500671e-05
2020-02-16,7.960091677176157e-05
2020-03-01,6.996246657128422e-05
2020-03-16,7.86421204741441e-05
2020-04-01,7.247651192550325e-05
2020-04-16,6.745124705888316e-05
2020-05-01,6.8457968881052e-05
2020-05-16,6.929750150855926e-05
2020-06-01,7.613138429277198e-05
2020-06-16,7.080830871419973e-05
2020-07-01,6.445660387239418e-05
2020-07-16,6.176595343320873e-05
2020-08-01,6.304377215650071e-05
2020-08-16,5.654628390526983e-05
2020-09-01,6.408563248265507e-05
2020-09-16,5.959578346617557e-05
2020-10-01,7.515422854265699e-05
2020-10-16,7.917014616918513e-05
2020-11-01,7.954140674464152e-05
2020-11-16,8.397577528847099e-05
2020-12-01,8.894279461660231e-05
2020-12-16,8.948848933966155e-05
2021-01-01,8.101406434618836e-05
2021-01-16,8.347353203994261e-05
2021-02-01,8.338678651711145e-05
2021-02-16,8.071349212956559e-05
2021-03-01,7.867009886358025e-05
2021-03-16,8.613972407893564e-05
2021-04-01,8.554935234892248e-05
2021-04-16,7.852921076310232e-05
2021-05-01,7.409105852333527e-05
2021-05-16,7.685932623091192e-05
2021-06-01,7.465405768660496e-05
2021-06-16,7.360891070850326e-05
2021-07-01,7.370313798200203e-05
2021-07-16,7.563171093051836e-05
2021-08-01,7.045841408763447e-05
2021-08-16,7.054484651119466e-05
2021-09-01,6.863049426100273e-05
2021-09-16,6.368904536183378e-05
2021-10-01,7.45645054438933e-05
2021-10-16,7.697138748412618e-05
2021-11-01,8.309674575010503e-05
2021-11-16,8.169566035329065e-05
2021-12-01,8.138169336751442e-05
2021-12-16,7.756331160515649e-05
2022-01-01,7.55295801884316e-05
2022-01-16,7.426238959046831e-05
2022-02-01,7.630024188206998e-05
2022-02-16,8.127177085059623e-05
2022-03-01,7.724368935846704e-05
2022-03-16,7.266730487766847e-05
2022-04-01,7.746002956319555e-05
2022-04-16,7.445995163002562e-05
2022-05-01,6.960265514764389e-05
2022-05-16,6.331966220739413e-05
2022-06-01,7.254896242757582e-05
2022-06-16,8.172420972891129e-05
2022-07-01,7.260995407638863e-05
2022-07-16,6.363624300809567e-05
2022-08-01,6.329497099321394e-05
2022-08-16,6.23634717262846e-05
2022-09-01,7.925031199281784e-05
2022-09-16,6.830036583103236e-05
2022-10-01,7.185345045769277e-05
2022-10-16,8.577537540552501e-05
2022-11-01,8.948479132648494e-05
2022-11-16,9.68246293490622e-05
2022-12-01,9.439276484458566e-05
2022-12-16,0.00010576589855277446
2023-01-01,9.235565984232572e-05
2023-01-16,9.049676909821046e-05
2023-02-01,9.36261953295276e-05
2023-02-16,8.795259204938925e-05
2023-03-01,9.263913316788897e-05
2023-03-16,9.186300592685337e-05
2023-04-01,8.458917420331428e-05
2023-04-16,8.636154574339047e-05
2023-05-01,8.763808979316535e-05
2023-05-16,7.460937743866126e-05
2023-06-01,8.0741666390929e-05
2023-06-16,8.100864117741321e-05
2023-07-01,8.09962956780763e-05
2023-07-16,6.991918710719228e-05
