date,mean_concentration
2019-01-01,6.451330889398753e-05
2019-01-16,6.775225526541503e-05
2019-02-01,7.831994571726567e-05
2019-02-16,6.649442846865818e-05
2019-03-01,6.641559727901632e-05
2019-03-16,7.773914600747516e-05
2019-04-01,8.430187627280703e-05
2019-04-16,8.537425913896402e-05
2019-05-01,9.137271542478008e-05
2019-05-16,9.856483775800942e-05
2019-06-01,9.743448485192962e-05
2019-06-16,0.00010031163169387669
2019-07-01,8.850861138540202e-05
2019-07-16,7.456051616986403e-05
2019-08-01,6.836199420402704e-05
2019-08-16,6.909885023183231e-05
2019-09-01,6.536482684152958e-05
2019-09-16,6.136329002003854e-05
2019-10-01,7.442824614222372e-05
2019-10-16,6.715984163810007e-05
2019-11-01,6.910604623422379e-05
2019-11-16,6.130809533871823e-05
2019-12-01,6.028019823054611e-05
2019-12-16,6.71418147103473e-05
2020-01-01,6.753787933637637e-05
2020-01-16,6.740924647230454e-05
2020-02-01,7.302235958249356e-05
2020-02-16,6.483479916883047e-05
2020-03-01,6.698132068157047e-05
2020-03-16,6.84981933762067e-05
2020-04-01,6.763479451920162e-05
2020-04-16,7.682724951203945e-05
2020-05-01,7.607307744707345e-05
2020-05-16,8.433648765756736e-05
2020-06-01,8.280443009065779e-05
2020-06-16,8.084584447929395e-05
2020-07-01,7.92952945207818e-05
2020-07-16,6.654222341888139e-05
2020-08-01,7.234201298413228e-05
2020-08-16,6.130324420572628e-05
2020-09-01,6.819265648398578e-05
2020-09-16,6.987531302097773e-05
2020-10-01,7.27522240782727e-05
2020-10-16,7.067593965795806e-05
2020-11-01,6.570639456786289e-05
2020-11-16,6.227652494667364e-05
2020-12-01,7.060837355066295e-05
2020-12-16,7.36276355631215e-05
2021-01-01,6.806293100078192e-05
2021-01-16,7.326662406150958e-05
2021-02-01,7.55203694508543e-05
2021-02-16,7.59195130302794e-05
2021-03-01,7.501585776634153e-05
2021-03-16,7.825285136474514e-05
2021-04-01,8.933598242768601e-05
2021-04-16,8.837639011685666e-05
2021-05-01,8.958870050596351e-05
2021-05-16,8.970711866060539e-05
2021-06-01,9.522420586371135e-05
2021-06-16,9.007640121237675e-05
2021-07-01,9.147914849020892e-05
2021-07-16,7.576752442685473e-05
2021-08-01,6.984553453992493e-05
2021-08-16,7.59842661230786e-05
2021-09-01,7.141769342593665e-05
2021-09-16,6.935578126245743e-05
2021-10-01,8.119275278101976e-05
2021-10-16,7.868606093410334e-05
2021-11-01,7.130514678617548e-05
2021-11-16,6.643617033383928e-05
2021-12-01,6.039674255456887e-05
2021-12-16,6.708363462214267e-05
2022-01-01,7.241819500220224e-05
2022-01-16,6.31065842333087e-05
2022-02-01,7.371699505932466e-05
2022-02-16,7.743763363448518e-05
2022-03-01,7.54216962686497e-05
2022-03-16,8.436484555893118e-05
2022-04-01,8.877176734731128e-05
2022-04-16,9.592628068164765e-05
2022-05-01,8.656774156994168e-05
2022-05-16,8.35487166568747e-05
2022-06-01,9.862268057028943e-05
2022-06-16,9.879899784119888e-05
2022-07-01,7.749547896531836e-05
2022-07-16,7.538363351743521e-05
2022-08-01,7.538712103569954e-05
2022-08-16,7.086809793637354e-05
2022-09-01,7.529897436555113e-05
2022-09-16,7.100111464740113e-05
2022-10-01,6.78236120880197e-05
2022-10-16,7.450975553362616e-05
2022-11-01,7.181484528688065e-05
2022-11-16,7.440640191924752e-05
2022-12-01,7.381748462044501e-05
2022-12-16,8.368515890880641e-05
2023-01-01,7.732835339237227e-05
2023-01-16,7.512330068377808e-05
2023-02-01,8.091757963635275e-05
2023-02-16,7.8728209660132e-05
2023-03-01,7.98024357597825e-05
2023-03-16,8.343848145379847e-05
2023-04-01,8.786175427308802e-05
2023-04-16,9.53167410776392e-05
2023-05-01,9.104782477003415e-05
2023-05-16,9.970149112471196e-05
2023-06-01,9.723055730125434e-05
2023-06-16,9.795942077744808e-05
2023-07-01,8.504966155396529e-05
2023-07-16,7.74829372217094e-05
2023-08-01,8.721141414674259e-05
2023-08-16,8.888073461943691e-05
2023-09-01,8.43674374985833e-05
2023-09-16,7.785867320520794e-05
2023-10-01,8.629493124103159e-05
2023-10-16,7.468381199469536e-05
2023-11-01,7.718503634615177e-05
2023-11-16,6.919879462688812e-05
2023-12-01,6.500296513274344e-05
2023-12-16,6.79623060203559e-05
