date,mean_concentration
2019-01-01,9.155414497619265e+19
2019-01-16,9.756341214210908e+19
2019-02-01,1.0090467289143712e+20
2019-02-16,8.868521216376021e+19
2019-03-01,1.1237527197001218e+20
2019-03-16,1.1901510108314065e+20
2019-04-01,1.132420753886887e+20
2019-04-16,1.1875019085217513e+20
2019-05-01,1.2258831552132365e+20
2019-05-16,1.2375754177087798e+20
2019-06-01,1.213300971075054e+20
2019-06-16,1.4205625609630954e+20
2019-07-01,1.0695349633316305e+20
2019-07-16,1.1709002334154383e+20
2019-08-01,7.239694009437554e+19
2019-08-16,7.824151191886583e+19
2019-09-01,7.84439174567274e+19
2019-09-16,8.674134894112945e+19
2019-10-01,1.1818449334631858e+20
2019-10-16,1.0000836256614115e+20
2019-11-01,1.0824537673064915e+20
2019-11-16,1.1342410273256645e+20
2019-12-01,1.0623384791810309e+20
2019-12-16,6.7723069464170815e+19
2020-01-01,9.81172854307794e+19
2020-01-16,9.58345389361952e+19
2020-02-01,9.519641476389546e+19
2020-02-16,1.1441553617714784e+20
2020-03-01,1.1210380019543148e+20
2020-03-16,1.0062911083670022e+20
2020-04-01,1.1946304569657277e+20
2020-04-16,9.964448804241167e+19
2020-05-01,1.0905273766889082e+20
2020-05-16,1.1352893972920523e+20
2020-06-01,1.3621988696383313e+20
2020-06-16,1.0178262700567383e+20
2020-07-01,1.035890608787822e+20
2020-07-16,8.977426055542194e+19
2020-08-01,1.2136550113393274e+20
2020-08-16,1.0332743047735987e+20
2020-09-01,1.1159407392310136e+20
2020-09-16,1.5477397769022063e+20
2020-10-01,1.3570119304855645e+20
2020-10-16,1.411754519614574e+20
2020-11-01,1.2722680462801337e+20
2020-11-16,1.1259897072354805e+20
2020-12-01,1.1745159548328604e+20
2020-12-16,9.079977138010505e+19
2021-01-01,8.13628979375066e+19
2021-01-16,7.795764162333417e+19
2021-02-01,1.0226362828053216e+20
2021-02-16,1.017078020275625e+20
2021-03-01,1.0379269425267835e+20
2021-03-16,1.2785790355317549e+20
2021-04-01,1.3186510509406778e+20
2021-04-16,1.1842466796888787e+20
2021-05-01,1.2540010364398261e+20
2021-05-16,1.3499489096630118e+20
2021-06-01,1.264629984440898e+20
2021-06-16,1.3653192335839162e+20
2021-07-01,2.8237032805719106e+19
2021-07-16,6.7272739822576796e+19
2021-08-01,8.30571329368464e+19
2021-08-16,1.0211295856889553e+20
2021-09-01,1.0247621876375845e+20
2021-09-16,1.3533856230206184e+20
2021-10-01,1.2455156990377876e+20
2021-10-16,1.3099217684778446e+20
2021-11-01,1.10187925866793e+20
2021-11-16,1.1406343225603013e+20
2021-12-01,1.0092725945815969e+20
2021-12-16,9.227412373066174e+19
2022-01-01,7.321268022647834e+19
2022-01-16,1.0015371794484008e+20
2022-02-01,1.0110490302014928e+20
2022-02-16,1.078515265665678e+20
2022-03-01,1.1482742477061507e+20
2022-03-16,1.1689543721352374e+20
2022-04-01,1.3613559233732043e+20
2022-04-16,1.1481874277795517e+20
2022-05-01,1.2982736547078462e+20
2022-05-16,1.2000678124842246e+20
2022-06-01,1.2205356380835306e+20
2022-06-16,1.6100357031827092e+20
2022-07-01,9.424427097667653e+19
2022-07-16,8.454254889303081e+19
2022-08-01,9.7329028906657e+19
2022-08-16,7.799524477132608e+19
2022-09-01,1.2534767094572098e+20
2022-09-16,1.1776383860739013e+20
2022-10-01,1.1006822525831143e+20
2022-10-16,1.2299335495743105e+20
2022-11-01,1.3993996346364695e+20
2022-11-16,1.1204187336639555e+20
2022-12-01,9.83137731940408e+19
2022-12-16,1.0036233691805377e+20
2023-01-01,9.76969219144497e+19
2023-01-16,9.49824381905563e+19
2023-02-01,9.82718617892865e+19
2023-02-16,1.0983890921869089e+20
2023-03-01,1.2022627263088961e+20
2023-03-16,1.1862045091696506e+20
2023-04-01,1.1704921014848106e+20
2023-04-16,1.2228148506565367e+20
2023-05-01,1.3481493595257702e+20
2023-05-16,1.2358367848458623e+20
2023-06-01,1.2116478204134179e+20
2023-06-16,1.293194128466413e+20
2023-07-01,1.16985957143848e+20
2023-07-16,1.0193600987687037e+20
2023-08-01,9.811377159927289e+19
2023-08-16,8.220476871237581e+19
2023-09-01,9.868380625141673e+19
2023-09-16,1.2062026286065028e+20
2023-10-01,1.2977991320866669e+20
2023-10-16,1.3907705645583743e+20
2023-11-01,1.27138198996092e+20
2023-11-16,1.1749103522304488e+20
2023-12-01,9.61445451444454e+19
2023-12-16,9.8771107358915e+19
