date,mean_concentration
2019-01-01,1.1231222742779114e+20
2019-01-16,8.993437546295666e+19
2019-02-01,1.016539261054285e+20
2019-02-16,1.0695195237862965e+20
2019-03-01,1.043413934731293e+20
2019-03-16,1.2948007694326743e+20
2019-04-01,1.1814834148806248e+20
2019-04-16,1.3150583945488677e+20
2019-05-01,1.0591035827003924e+20
2019-05-16,1.1517330359003711e+20
2019-06-01,1.2381773211791576e+20
2019-06-16,9.184864715517456e+19
2019-07-01,6.915554668624109e+19
2019-07-16,8.189087731978148e+19
2019-08-01,4.915315527423255e+19
2019-08-16,6.838913226747941e+19
2019-09-01,2.7435083652459938e+19
2019-09-16,7.93851419900608e+19
2019-10-01,9.939853465308756e+19
2019-10-16,
2019-11-01,1.2890747136468152e+20
2019-11-16,1.1887147405391808e+20
2019-12-01,1.1666000841839047e+20
2019-12-16,9.411688482796918e+19
2020-01-01,1.0909552061227595e+20
2020-01-16,8.397049399179687e+19
2020-02-01,1.0486618856294847e+20
2020-02-16,9.789937381413808e+19
2020-03-01,9.625307749585186e+19
2020-03-16,1.1945046249308709e+20
2020-04-01,1.4718192514564802e+20
2020-04-16,1.1278565021167532e+20
2020-05-01,1.1919038669280533e+20
2020-05-16,1.2028335683943116e+20
2020-06-01,1.0439267044308476e+20
2020-06-16,9.687443345971834e+19
2020-07-01,7.049418087346125e+19
2020-07-16,7.734558194526854e+19
2020-08-01,7.358230959563709e+19
2020-08-16,6.239188474357189e+19
2020-09-01,6.551079619235127e+19
2020-09-16,1.0761743783944274e+20
2020-10-01,1.1973894614675492e+20
2020-10-16,1.1051673518304569e+20
2020-11-01,1.2772409836649323e+20
2020-11-16,1.1840693482619809e+20
2020-12-01,9.76204743054207e+19
2020-12-16,9.358525093706593e+19
2021-01-01,9.05193070405196e+19
2021-01-16,8.647922814588908e+19
2021-02-01,9.371705947707818e+19
2021-02-16,1.1099762267790441e+20
2021-03-01,1.2382746705077058e+20
2021-03-16,1.2552141094184326e+20
2021-04-01,1.5750806096897278e+20
2021-04-16,1.3141448292724928e+20
2021-05-01,1.1452181333878455e+20
2021-05-16,1.1383810778346881e+20
2021-06-01,1.283942976759743e+20
2021-06-16,7.972307587875974e+19
2021-07-01,1.55106008299244e+19
2021-07-16,6.015936299729192e+19
2021-08-01,7.786370440723921e+19
2021-08-16,7.669877008845e+19
2021-09-01,9.122012656539682e+19
2021-09-16,7.707622421403104e+19
2021-10-01,1.2099076031826646e+20
2021-10-16,1.2024391090088172e+20
2021-11-01,1.3545165500221682e+20
2021-11-16,9.840184193830619e+19
2021-12-01,9.047190899673301e+19
2021-12-16,9.202483274489435e+19
2022-01-01,8.82804447287705e+19
2022-01-16,8.065824535468758e+19
2022-02-01,9.722094212919208e+19
2022-02-16,9.814037701371845e+19
2022-03-01,1.1998497433929903e+20
2022-03-16,1.2496516143396933e+20
2022-04-01,1.469169612119487e+20
2022-04-16,1.1415081590032758e+20
2022-05-01,1.1638967226913838e+20
2022-05-16,1.1213294177269665e+20
2022-06-01,1.1778059097447806e+20
2022-06-16,1.0697234025904926e+20
2022-07-01,
2022-07-16,6.531354608793434e+19
2022-08-01,7.941193810042357e+19
2022-08-16,7.0126241579309244e+19
2022-09-01,8.391773874492405e+19
2022-09-16,9.451673694725689e+19
2022-10-01,1.0144408918534396e+20
2022-10-16,1.2177023734571128e+20
2022-11-01,1.2893798096295317e+20
2022-11-16,1.2010669834591078e+20
2022-12-01,1.0014396655687878e+20
2022-12-16,1.1816010507701777e+20
2023-01-01,9.783406175752312e+19
2023-01-16,1.2645201586708749e+20
2023-02-01,9.551964105702289e+19
2023-02-16,9.302908854566293e+19
2023-03-01,1.2278179192160292e+20
2023-03-16,1.0609520611056742e+20
2023-04-01,1.2450507052059956e+20
2023-04-16,1.2420930830097025e+20
2023-05-01,1.265819635016836e+20
2023-05-16,1.1357982811149263e+20
2023-06-01,1.0955092128765673e+20
2023-06-16,7.937831618526583e+19
2023-07-01,9.398849710909234e+19
2023-07-16,5.36160687737635e+19
2023-08-01,8.409051860150172e+19
2023-08-16,5.632141345302377e+19
2023-09-01,1.2209848187739603e+20
2023-09-16,8.541550828235363e+19
2023-10-01,1.07059706625721e+20
2023-10-16,1.2311149610051104e+20
2023-11-01,1.0806630193855205e+20
2023-11-16,1.2811299082201937e+20
2023-12-01,1.0441517981068336e+20
2023-12-16,9.752283140049884e+19
