date,mean_concentration
2019-01-01,9.83540773983058e+19
2019-01-16,1.025322941010393e+20
2019-02-01,1.0083359228199458e+20
2019-02-16,1.1010657681094625e+20
2019-03-01,1.1545532257048746e+20
2019-03-16,1.3021437397329915e+20
2019-04-01,1.1665810955447475e+20
2019-04-16,1.3392164308551555e+20
2019-05-01,1.067014037567496e+20
2019-05-16,1.1995452194055907e+20
2019-06-01,1.3467092285886102e+20
2019-06-16,1.0542221396226117e+20
2019-07-01,7.179768494086132e+19
2019-07-16,8.692752522437185e+19
2019-08-01,7.103527340119881e+19
2019-08-16,8.837861421216784e+19
2019-09-01,
2019-09-16,6.38265836736324e+19
2019-10-01,1.0478170575453423e+20
2019-10-16,
2019-11-01,1.0242909244645158e+20
2019-11-16,1.2862007142849585e+20
2019-12-01,1.1497495561120121e+20
2019-12-16,5.099477765137213e+19
2020-01-01,9.116543062881346e+19
2020-01-16,1.0085198175191309e+20
2020-02-01,9.757400832125067e+19
2020-02-16,9.263771697029505e+19
2020-03-01,1.076977505767827e+20
2020-03-16,1.2809902086950951e+20
2020-04-01,1.455497651950216e+20
2020-04-16,1.2545151449646457e+20
2020-05-01,1.2427974483819841e+20
2020-05-16,1.2694793566486964e+20
2020-06-01,1.0864669280492965e+20
2020-06-16,9.670604907752496e+19
2020-07-01,7.66214860936297e+19
2020-07-16,7.972210059932667e+19
2020-08-01,6.9036322906185654e+19
2020-08-16,7.953016342689089e+19
2020-09-01,8.192508229931948e+19
2020-09-16,
2020-10-01,1.2504392951467957e+20
2020-10-16,1.2311106943986015e+20
2020-11-01,1.1998056702347798e+20
2020-11-16,1.1090462192212409e+20
2020-12-01,1.1292703422744874e+20
2020-12-16,1.0546049178152783e+20
2021-01-01,1.2780253336859186e+20
2021-01-16,8.721392745670568e+19
2021-02-01,9.062032512373436e+19
2021-02-16,9.662569208475e+19
2021-03-01,1.1551629344627542e+20
2021-03-16,1.2322034380875612e+20
2021-04-01,1.6585490864695955e+20
2021-04-16,1.4377244167857992e+20
2021-05-01,1.2744485653910623e+20
2021-05-16,1.1928759832926138e+20
2021-06-01,1.4377534710188515e+20
2021-06-16,9.412813579812608e+19
2021-07-01,-1.7412936078727387e+19
2021-07-16,
2021-08-01,5.484111463608766e+19
2021-08-16,6.2244744326091325e+19
2021-09-01,6.778561036590418e+19
2021-09-16,7.131317738291957e+19
2021-10-01,1.1694234226561081e+20
2021-10-16,1.0782431621500841e+20
2021-11-01,1.6318018466470494e+20
2021-11-16,1.2235727629342758e+20
2021-12-01,1.0644390672611792e+20
2021-12-16,9.547547729725202e+19
2022-01-01,9.706701449398292e+19
2022-01-16,8.732908983826416e+19
2022-02-01,9.79494696389457e+19
2022-02-16,1.0615953974261064e+20
2022-03-01,1.0878059564614669e+20
2022-03-16,1.3529857667376792e+20
2022-04-01,1.6551349286520413e+20
2022-04-16,1.3627686087413608e+20
2022-05-01,1.1295555018959649e+20
2022-05-16,1.0963303378885791e+20
2022-06-01,1.2240362615414902e+20
2022-06-16,1.1570506506294505e+20
2022-07-01,
2022-07-16,6.5289951041914225e+19
2022-08-01,6.053026761605614e+19
2022-08-16,8.153186823551489e+19
2022-09-01,8.803147087797907e+19
2022-09-16,9.561904480326279e+19
2022-10-01,1.0233030474928968e+20
2022-10-16,1.0946256214555347e+20
2022-11-01,1.1271702305576255e+20
2022-11-16,1.2895466251218505e+20
2022-12-01,7.795696984568717e+19
2022-12-16,1.1276873527197093e+20
2023-01-01,9.607657325989749e+19
2023-01-16,1.252325361463132e+20
2023-02-01,8.451072827967747e+19
2023-02-16,9.248897420671694e+19
2023-03-01,1.374347521585692e+20
2023-03-16,1.1030475805063805e+20
2023-04-01,1.1882726840598636e+20
2023-04-16,1.3600938543050922e+20
2023-05-01,1.28569554452907e+20
2023-05-16,9.780397940215608e+19
2023-06-01,1.0390399908455234e+20
2023-06-16,8.145910966753739e+19
2023-07-01,8.9754018569619e+19
2023-07-16,6.392227044126836e+19
2023-08-01,6.203790204861461e+19
2023-08-16,8.52696791702203e+19
2023-09-01,1.0134847891515897e+20
2023-09-16,9.801544227932129e+19
2023-10-01,1.098982885019043e+20
2023-10-16,1.3074634948354523e+20
2023-11-01,1.2472976572111172e+20
2023-11-16,1.3709734416832099e+20
2023-12-01,1.0024732948632971e+20
2023-12-16,1.0601897287294847e+20
