date,mean_concentration
2019-01-01,1.2131407621915442e+20
2019-01-16,1.0691014962320083e+20
2019-02-01,6.294141997508606e+19
2019-02-16,7.111349944809475e+19
2019-03-01,8.230154663717759e+19
2019-03-16,1.0439594429330163e+20
2019-04-01,1.2948339316371107e+20
2019-04-16,1.2458598440588529e+20
2019-05-01,1.572259587514055e+20
2019-05-16,1.7180220192989816e+20
2019-06-01,1.507763790817809e+20
2019-06-16,1.4906493855284226e+20
2019-07-01,1.654473970340102e+20
2019-07-16,1.1575499431131678e+20
2019-08-01,9.945794739520789e+19
2019-08-16,1.2074272893229341e+20
2019-09-01,1.354691458565649e+20
2019-09-16,1.1930909418594178e+20
2019-10-01,1.3282297050699522e+20
2019-10-16,1.521409418019724e+20
2019-11-01,1.3285131797803398e+20
2019-11-16,1.1498089058151609e+20
2019-12-01,1.3504255474847929e+20
2019-12-16,
2020-01-01,9.383723288479141e+19
2020-01-16,1.047664187272597e+20
2020-02-01,8.30466657827473e+19
2020-02-16,1.2749047527859495e+20
2020-03-01,1.0696794832361079e+20
2020-03-16,1.103888757870689e+20
2020-04-01,9.541227726318236e+19
2020-04-16,1.0267141929207056e+20
2020-05-01,1.5429860278801016e+20
2020-05-16,1.8668687049204282e+20
2020-06-01,1.330403343356853e+20
2020-06-16,1.6290913731550947e+20
2020-07-01,1.528738629063493e+20
2020-07-16,1.4068781300273108e+20
2020-08-01,1.2294299172232847e+20
2020-08-16,1.0299792550789577e+20
2020-09-01,1.3222444069055927e+20
2020-09-16,1.5477552246679336e+20
2020-10-01,1.7757413848926375e+20
2020-10-16,1.571638630139049e+20
2020-11-01,1.6865766073337512e+20
2020-11-16,9.71251152733093e+19
2020-12-01,1.2732575895565586e+20
2020-12-16,1.198032579772182e+20
2021-01-01,
2021-01-16,1.3357243925349599e+20
2021-02-01,1.1127079715655128e+20
2021-02-16,9.743617080928579e+19
2021-03-01,8.092520746405457e+19
2021-03-16,8.151375847039518e+19
2021-04-01,9.640030439956493e+19
2021-04-16,1.2733675219658754e+20
2021-05-01,1.8985485324893402e+20
2021-05-16,1.6439334733789128e+20
2021-06-01,1.5427011353831368e+20
2021-06-16,1.5841885959260003e+20
2021-07-01,2.001083747945004e+20
2021-07-16,9.039961484784827e+19
2021-08-01,1.1861553316801189e+20
2021-08-16,1.2314836163682836e+20
2021-09-01,1.1277550156303247e+20
2021-09-16,1.3071221970098066e+20
2021-10-01,1.4459565879449908e+20
2021-10-16,1.5754748403139097e+20
2021-11-01,1.673879128025122e+20
2021-11-16,1.482508497800369e+20
2021-12-01,1.0378944570668984e+20
2021-12-16,1.1267519705105439e+20
2022-01-01,1.4115039255615953e+20
2022-01-16,9.9717732508447e+19
2022-02-01,8.967897518961112e+19
2022-02-16,7.978490870425585e+19
2022-03-01,1.1317213976817282e+20
2022-03-16,1.2476283706524025e+20
2022-04-01,1.4152108292433091e+20
2022-04-16,1.380253504152796e+20
2022-05-01,2.5175006203688672e+20
2022-05-16,1.74625211065502e+20
2022-06-01,1.567002361691249e+20
2022-06-16,1.5468895093683955e+20
2022-07-01,1.9614337506051346e+20
2022-07-16,1.0938140208387534e+20
2022-08-01,1.084393246060734e+20
2022-08-16,1.1358101742160963e+20
2022-09-01,1.4996345069934513e+20
2022-09-16,1.7222320101532896e+20
2022-10-01,1.6534200082184202e+20
2022-10-16,1.692756995040476e+20
2022-11-01,1.3382439202122781e+20
2022-11-16,1.505805651612504e+20
2022-12-01,1.0656896939036325e+20
2022-12-16,1.4415858977012448e+20
2023-01-01,7.84265142088881e+19
2023-01-16,1.003403455546609e+20
2023-02-01,9.322529879329058e+19
2023-02-16,1.0551919553225133e+20
2023-03-01,1.1488865342636637e+20
2023-03-16,1.116116069131757e+20
2023-04-01,1.2697010242164448e+20
2023-04-16,1.363133227285164e+20
2023-05-01,1.8510275218134126e+20
2023-05-16,1.8039303836844723e+20
2023-06-01,1.5304089120915636e+20
2023-06-16,1.4882466954927073e+20
2023-07-01,1.4222417895042271e+20
2023-07-16,1.3067819732004351e+20
2023-08-01,1.4273809430588829e+20
2023-08-16,1.265745877845826e+20
2023-09-01,1.3890518418239267e+20
2023-09-16,1.1742789611576772e+20
2023-10-01,1.5829616473338793e+20
2023-10-16,1.4257898545543443e+20
2023-11-01,1.4176042891290858e+20
2023-11-16,1.486147571053325e+20
2023-12-01,1.1702963532526898e+20
2023-12-16,1.3523403542724675e+20
