date,mean_concentration
2019-01-01,7.568985762644094e+19
2019-01-16,9.074830349317097e+19
2019-02-01,8.25223772595051e+19
2019-02-16,8.797506066619548e+19
2019-03-01,1.1879807839798233e+20
2019-03-16,1.3492070918713054e+20
2019-04-01,1.1836166111902032e+20
2019-04-16,1.1096868013992618e+20
2019-05-01,1.1492622351508765e+20
2019-05-16,1.2973354262279758e+20
2019-06-01,9.954607355706363e+19
2019-06-16,9.456104617138273e+19
2019-07-01,6.837502264328144e+19
2019-07-16,5.8485209030056845e+19
2019-08-01,4.586735377389641e+19
2019-08-16,3.5832285357606953e+19
2019-09-01,8.128632616433066e+19
2019-09-16,7.479835486294285e+19
2019-10-01,1.2173068068114806e+20
2019-10-16,7.759726689598836e+19
2019-11-01,9.73888787708214e+19
2019-11-16,7.797783649796699e+19
2019-12-01,7.637746042589418e+19
2019-12-16,7.047526166547292e+19
2020-01-01,9.353206644964537e+19
2020-01-16,8.25244173130407e+19
2020-02-01,6.999365400445061e+19
2020-02-16,9.044228079109022e+19
2020-03-01,1.327870194641192e+20
2020-03-16,1.170902415700432e+20
2020-04-01,1.2310856683523906e+20
2020-04-16,1.2566609605134233e+20
2020-05-01,1.3342560498849772e+20
2020-05-16,1.2414057309585652e+20
2020-06-01,8.401096564200264e+19
2020-06-16,8.084387693415182e+19
2020-07-01,5.18922598375083e+19
2020-07-16,6.736915763789551e+19
2020-08-01,1.1365197780033738e+20
2020-08-16,8.113369493316896e+19
2020-09-01,7.897947935317664e+19
2020-09-16,7.358019684082454e+19
2020-10-01,1.2023536263750124e+20
2020-10-16,1.0440951709490804e+20
2020-11-01,9.422303731836364e+19
2020-11-16,7.470918980669977e+19
2020-12-01,6.095616865163567e+19
2020-12-16,7.9285062336155e+19
2021-01-01,6.727208635606672e+19
2021-01-16,9.31065642783986e+19
2021-02-01,8.725503045199698e+19
2021-02-16,1.2146679431350801e+20
2021-03-01,1.0617535301315425e+20
2021-03-16,1.2700163391826947e+20
2021-04-01,1.2975570294653708e+20
2021-04-16,1.3812053987583133e+20
2021-05-01,1.1887455478909655e+20
2021-05-16,9.879999942837725e+19
2021-06-01,1.0189135011944944e+20
2021-06-16,7.218161864494767e+19
2021-07-01,8.879328762520895e+19
2021-07-16,6.156554615863305e+19
2021-08-01,6.447634262718452e+19
2021-08-16,7.34469697729587e+19
2021-09-01,7.452938826947427e+19
2021-09-16,8.416875672392465e+19
2021-10-01,7.936247936917309e+19
2021-10-16,1.2504392872203231e+20
2021-11-01,1.1447317837927891e+20
2021-11-16,5.640578411859545e+19
2021-12-01,9.564016875748968e+19
2021-12-16,9.262124913225248e+19
2022-01-01,9.516568777302902e+19
2022-01-16,1.0503129319341018e+20
2022-02-01,1.0699631323002441e+20
2022-02-16,8.622490248422269e+19
2022-03-01,1.04248737176432e+20
2022-03-16,1.6351632348185094e+20
2022-04-01,1.242119199465303e+20
2022-04-16,1.4569565705295145e+20
2022-05-01,1.407616629960152e+20
2022-05-16,1.0333870716183308e+20
2022-06-01,9.385073663633184e+19
2022-06-16,5.6477010306247385e+19
2022-07-01,1.258322247863121e+20
2022-07-16,9.854559810925648e+19
2022-08-01,
2022-08-16,7.71546953283873e+19
2022-09-01,7.939506966443534e+19
2022-09-16,3.543394918092378e+19
2022-10-01,6.041983680682109e+19
2022-10-16,9.895519658694874e+19
2022-11-01,1.090783936927834e+20
2022-11-16,9.509103264166497e+19
2022-12-01,5.587217924779411e+19
2022-12-16,8.615960204433269e+19
2023-01-01,9.27787639622715e+19
2023-01-16,9.578651668949597e+19
2023-02-01,1.094045995702385e+20
2023-02-16,1.0759271594597558e+20
2023-03-01,1.1994712690003285e+20
2023-03-16,1.2953284219187002e+20
2023-04-01,1.1612629590998893e+20
2023-04-16,1.216204387889638e+20
2023-05-01,1.129367260766758e+20
2023-05-16,1.3406863137504267e+20
2023-06-01,1.107641126846028e+20
2023-06-16,8.614984608950836e+19
2023-07-01,8.777919740035727e+19
2023-07-16,2.9340459424143557e+19
2023-08-01,5.611631539062723e+19
2023-08-16,6.067845517625676e+19
2023-09-01,7.272898953575668e+19
2023-09-16,7.473188562386318e+19
2023-10-01,8.614660344292873e+19
2023-10-16,1.1375810044241696e+20
2023-11-01,9.974363040251568e+19
2023-11-16,9.881747970077598e+19
2023-12-01,9.216199586679913e+19
2023-12-16,6.888889654612595e+19
