date,mean_concentration
2019-01-01,1.1261201878813496e+20
2019-01-16,1.3199236195099558e+20
2019-02-01,8.89502696002571e+19
2019-02-16,9.64313788239788e+19
2019-03-01,9.432480467303032e+19
2019-03-16,1.1224738565157116e+20
2019-04-01,1.534985251836299e+20
2019-04-16,1.4059204546366898e+20
2019-05-01,1.5251121563126215e+20
2019-05-16,1.595726699506054e+20
2019-06-01,1.8087621084661757e+20
2019-06-16,2.0170129504838055e+20
2019-07-01,1.442396652353938e+20
2019-07-16,1.1888791424513843e+20
2019-08-01,9.737756937067009e+19
2019-08-16,8.280722083913807e+19
2019-09-01,8.356805676811246e+19
2019-09-16,7.776798448082887e+19
2019-10-01,1.4613837292367405e+20
2019-10-16,1.7181722562023732e+20
2019-11-01,1.69335995571726e+20
2019-11-16,1.2373813379803185e+20
2019-12-01,1.4298861320198021e+20
2019-12-16,1.0022917235763159e+20
2020-01-01,4.3577395213489545e+19
2020-01-16,8.213986596075887e+19
2020-02-01,9.878256971139932e+19
2020-02-16,
2020-03-01,1.1036072894728705e+20
2020-03-16,1.0457044300969796e+20
2020-04-01,1.0970674796556503e+20
2020-04-16,1.1396886671323449e+20
2020-05-01,1.2782626614871941e+20
2020-05-16,1.578251023432551e+20
2020-06-01,1.6832893207079158e+20
2020-06-16,1.500656493418435e+20
2020-07-01,1.3885403876536192e+20
2020-07-16,
2020-08-01,1.1540818514939344e+20
2020-08-16,8.225622132728345e+19
2020-09-01,1.5982336386788917e+20
2020-09-16,1.496136230088139e+20
2020-10-01,1.7727791258418623e+20
2020-10-16,1.8428997280780632e+20
2020-11-01,1.430131916189891e+20
2020-11-16,1.2719840290261631e+20
2020-12-01,6.942531428124488e+19
2020-12-16,1.114281939078543e+20
2021-01-01,7.146020231311307e+19
2021-01-16,9.6329602438177e+19
2021-02-01,9.328218606139944e+19
2021-02-16,1.3474546121378474e+20
2021-03-01,1.0732766350631195e+20
2021-03-16,1.2743396725384874e+20
2021-04-01,1.325159651972294e+20
2021-04-16,1.3776842386400756e+20
2021-05-01,1.578512282802728e+20
2021-05-16,1.5511002424893175e+20
2021-06-01,1.5543914877071602e+20
2021-06-16,1.6822707971554486e+20
2021-07-01,1.6511562130888576e+20
2021-07-16,1.253238313600901e+20
2021-08-01,1.4259174533273867e+20
2021-08-16,1.2146359414873657e+20
2021-09-01,1.1234434271769294e+20
2021-09-16,1.0386506073807457e+20
2021-10-01,1.6524097970835272e+20
2021-10-16,1.6183228999465668e+20
2021-11-01,1.6358874864123403e+20
2021-11-16,1.5240851308869802e+20
2021-12-01,1.266561913581834e+20
2021-12-16,1.1669304676689327e+20
2022-01-01,1.2576806171535825e+20
2022-01-16,1.113589603316784e+20
2022-02-01,1.0593620662782966e+20
2022-02-16,1.108466328015673e+20
2022-03-01,1.5121236988027955e+20
2022-03-16,1.4147399813669913e+20
2022-04-01,1.8472365755547835e+20
2022-04-16,1.4656728499869904e+20
2022-05-01,2.1088573286552574e+20
2022-05-16,1.490554494715811e+20
2022-06-01,1.821036676061945e+20
2022-06-16,1.8692638922031612e+20
2022-07-01,1.1254651653139759e+20
2022-07-16,1.2196867051808127e+20
2022-08-01,1.0901420029098372e+20
2022-08-16,1.0059425836641305e+20
2022-09-01,1.2796145683354265e+20
2022-09-16,1.0302783416999366e+20
2022-10-01,1.4003489900527537e+20
2022-10-16,1.4846707478774268e+20
2022-11-01,1.3542883171582947e+20
2022-11-16,1.5068293327220785e+20
2022-12-01,1.4954774840215047e+20
2022-12-16,1.1861783458256614e+20
2023-01-01,1.1861379558625352e+20
2023-01-16,1.2647761945108973e+20
2023-02-01,1.0790407449305132e+20
2023-02-16,1.2661409614734937e+20
2023-03-01,1.3813720797509262e+20
2023-03-16,9.32405796606223e+19
2023-04-01,1.2432776181606099e+20
2023-04-16,1.3513985747142184e+20
2023-05-01,1.4095203846478122e+20
2023-05-16,1.5015165598830248e+20
2023-06-01,1.4094188582430058e+20
2023-06-16,1.509666284932275e+20
2023-07-01,1.2969475803612552e+20
2023-07-16,1.2143717397439852e+20
2023-08-01,1.7307885674757774e+20
2023-08-16,1.3471978581287677e+20
2023-09-01,1.329372856313858e+20
2023-09-16,1.40990616616884e+20
2023-10-01,1.8430167082581492e+20
2023-10-16,1.4151941511352107e+20
2023-11-01,1.5808731839700648e+20
2023-11-16,1.6662764742201436e+20
2023-12-01,1.0014510643114056e+20
2023-12-16,1.331356342979853e+20
