date,mean_concentration
2019-01-01,7.421073238848522e+19
2019-01-16,7.410349980890531e+19
2019-02-01,8.162931955065728e+19
2019-02-16,1.0737398791348833e+20
2019-03-01,1.1541654219614801e+20
2019-03-16,1.0465229464092611e+20
2019-04-01,9.83080705947097e+19
2019-04-16,1.0669979394176693e+20
2019-05-01,1.4583536348149873e+20
2019-05-16,1.3301261384020319e+20
2019-06-01,1.2435420332587809e+20
2019-06-16,1.2071718044076584e+20
2019-07-01,1.0112444491786745e+20
2019-07-16,8.39468856755164e+19
2019-08-01,8.684551975048212e+19
2019-08-16,8.816816347595606e+19
2019-09-01,8.750538358193201e+19
2019-09-16,5.50408114086327e+19
2019-10-01,7.207616935956526e+19
2019-10-16,6.904373836798854e+19
2019-11-01,8.346789877743233e+19
2019-11-16,5.561102003810912e+19
2019-12-01,4.516376309765275e+19
2019-12-16,5.900362621364633e+19
2020-01-01,9.251089425718524e+19
2020-01-16,8.461510888511771e+19
2020-02-01,7.670662450962045e+19
2020-02-16,8.539193146453146e+19
2020-03-01,9.705644087813821e+19
2020-03-16,8.78723438939164e+19
2020-04-01,9.086229802543694e+19
2020-04-16,1.0332107113860265e+20
2020-05-01,9.335186698863532e+19
2020-05-16,1.4281751606300636e+20
2020-06-01,1.0950871463580444e+20
2020-06-16,1.1261845111165593e+20
2020-07-01,9.285258466361298e+19
2020-07-16,9.255200368278436e+19
2020-08-01,1.2700304143284265e+20
2020-08-16,1.1439688512355854e+20
2020-09-01,6.732041160068917e+19
2020-09-16,1.0695797982226704e+20
2020-10-01,1.2375437014340703e+20
2020-10-16,1.0234458634212326e+20
2020-11-01,8.080266089270985e+19
2020-11-16,6.150610026669226e+19
2020-12-01,4.7264172226425725e+19
2020-12-16,5.591281955294052e+19
2021-01-01,4.653082934522185e+19
2021-01-16,6.3670964316806e+19
2021-02-01,8.822707281832564e+19
2021-02-16,1.0065276889480839e+20
2021-03-01,9.540301580620372e+19
2021-03-16,1.166081463429517e+20
2021-04-01,1.2847683179774173e+20
2021-04-16,1.1944603862823905e+20
2021-05-01,8.419453600652588e+19
2021-05-16,1.2727275826300184e+20
2021-06-01,1.1219618743506095e+20
2021-06-16,9.571982401828038e+19
2021-07-01,9.93819767800866e+19
2021-07-16,9.562113933796362e+19
2021-08-01,1.0650595190962861e+20
2021-08-16,8.853727470402139e+19
2021-09-01,8.474951203584164e+19
2021-09-16,1.0614258402202583e+20
2021-10-01,6.711885395010527e+19
2021-10-16,9.48326047372209e+19
2021-11-01,1.3996352575682468e+19
2021-11-16,5.5846844445739246e+19
2021-12-01,6.635332682758726e+19
2021-12-16,8.005448635752328e+19
2022-01-01,6.499877122564537e+19
2022-01-16,9.924403258259556e+19
2022-02-01,8.09189093713948e+19
2022-02-16,8.324574728712625e+19
2022-03-01,9.738152160436126e+19
2022-03-16,1.3468885101590793e+20
2022-04-01,8.934491633787617e+19
2022-04-16,1.0642546259521048e+20
2022-05-01,1.4038248883372363e+20
2022-05-16,1.3119715525633257e+20
2022-06-01,1.3344464422376381e+20
2022-06-16,9.839748363587628e+19
2022-07-01,9.248520681969654e+19
2022-07-16,8.775102010809131e+19
2022-08-01,9.481398313777793e+19
2022-08-16,9.712468387061401e+19
2022-09-01,8.532501629801033e+19
2022-09-16,1.1304134415151183e+20
2022-10-01,7.0966300656508035e+19
2022-10-16,9.767554276470702e+19
2022-11-01,5.8333766817509016e+19
2022-11-16,5.219315073020058e+19
2022-12-01,4.1823628441705734e+19
2022-12-16,7.628435385972643e+19
2023-01-01,9.154091376855315e+19
2023-01-16,7.303871778101025e+19
2023-02-01,1.2214389814434528e+20
2023-02-16,9.292667805153875e+19
2023-03-01,7.732585166091667e+19
2023-03-16,1.1950138628997125e+20
2023-04-01,1.0209484408765506e+20
2023-04-16,1.1798979278689613e+20
2023-05-01,1.1643205000411455e+20
2023-05-16,1.6393864149816338e+20
2023-06-01,1.5573083360998454e+20
2023-06-16,1.2150179731081167e+20
2023-07-01,8.577520827705623e+19
2023-07-16,8.413316570061973e+19
2023-08-01,1.124480598752623e+20
2023-08-16,1.1227171237508619e+20
2023-09-01,1.2484252155623522e+20
2023-09-16,9.653431967594252e+19
2023-10-01,1.1097906783975273e+20
2023-10-16,9.647883013378915e+19
2023-11-01,6.5191891411272565e+19
2023-11-16,6.9931922043820196e+19
2023-12-01,4.038703317885486e+19
2023-12-16,6.239932262199976e+19
