date,mean_concentration
2019-01-01,1.1327422839371227e+20
2019-01-16,9.389250250718971e+19
2019-02-01,9.714752164534267e+19
2019-02-16,6.982313429316036e+19
2019-03-01,7.607380705243018e+19
2019-03-16,8.942764788576769e+19
2019-04-01,9.463075483107806e+19
2019-04-16,1.1510883934205247e+20
2019-05-01,1.2480672304222645e+20
2019-05-16,1.510051666549322e+20
2019-06-01,1.7670056269193626e+20
2019-06-16,1.6995963169615417e+20
2019-07-01,1.3140013115189644e+20
2019-07-16,1.2831797658337342e+20
2019-08-01,1.4117158616576518e+20
2019-08-16,9.139011273573515e+19
2019-09-01,1.0618689619755467e+20
2019-09-16,8.902532851471822e+19
2019-10-01,1.2852203644319446e+20
2019-10-16,1.164306219338547e+20
2019-11-01,1.2878070227482608e+20
2019-11-16,8.746123070692126e+19
2019-12-01,9.313835774595659e+19
2019-12-16,8.925904242311265e+19
2020-01-01,5.215533350513029e+19
2020-01-16,8.167714978957861e+19
2020-02-01,8.284398265637467e+19
2020-02-16,8.921443395512856e+19
2020-03-01,7.499460163629931e+19
2020-03-16,6.665091652525222e+19
2020-04-01,6.014705763691501e+19
2020-04-16,7.799863076198893e+19
2020-05-01,1.0271611972238044e+20
2020-05-16,1.4386991601088597e+20
2020-06-01,1.3629976010625835e+20
2020-06-16,9.55897011778539e+19
2020-07-01,1.263393185753202e+20
2020-07-16,6.9706684405690786e+19
2020-08-01,1.311966818315895e+20
2020-08-16,1.1734462818055161e+20
2020-09-01,1.4486862615219221e+20
2020-09-16,1.0780936933796928e+20
2020-10-01,1.3390978812053873e+20
2020-10-16,1.5701703429295394e+20
2020-11-01,1.6796002517591756e+20
2020-11-16,1.1159104036737339e+20
2020-12-01,1.0134742572958473e+20
2020-12-16,9.75689233152027e+19
2021-01-01,1.1390831602954866e+20
2021-01-16,1.461434196691539e+20
2021-02-01,1.0036829756457735e+20
2021-02-16,8.338259137210578e+19
2021-03-01,1.0838354753644795e+20
2021-03-16,1.0520746768723485e+20
2021-04-01,1.3533980362670514e+20
2021-04-16,1.169744906467009e+20
2021-05-01,1.3260353768253373e+20
2021-05-16,1.3034751697767512e+20
2021-06-01,1.2189743622480871e+20
2021-06-16,1.2567975057814754e+20
2021-07-01,1.8935238816844743e+20
2021-07-16,1.053299923586659e+20
2021-08-01,6.4947866810812105e+19
2021-08-16,9.757395030489422e+19
2021-09-01,7.450923393849762e+19
2021-09-16,6.283888490220968e+19
2021-10-01,1.0519696737526594e+20
2021-10-16,1.4317021513465163e+20
2021-11-01,1.3310341928518209e+20
2021-11-16,1.3355255167243092e+20
2021-12-01,7.013897455092001e+19
2021-12-16,1.0020391118818746e+20
2022-01-01,6.946792786696223e+19
2022-01-16,1.0956833933568493e+20
2022-02-01,1.2114976242103088e+20
2022-02-16,7.1399631838680105e+19
2022-03-01,9.829862948904205e+19
2022-03-16,1.2116344450450298e+20
2022-04-01,1.4004768908485783e+20
2022-04-16,1.1606115186750682e+20
2022-05-01,1.4446462552886745e+20
2022-05-16,1.566620783867323e+20
2022-06-01,1.911619064945152e+20
2022-06-16,1.5831985858752332e+20
2022-07-01,1.0457467335481469e+20
2022-07-16,8.96546841471047e+19
2022-08-01,9.921260214491206e+19
2022-08-16,8.544420242964477e+19
2022-09-01,1.2061924473081887e+20
2022-09-16,8.81063265650372e+19
2022-10-01,9.784862591339877e+19
2022-10-16,1.2006018098680021e+20
2022-11-01,1.047438502375252e+20
2022-11-16,1.0393611062394117e+20
2022-12-01,1.0563855951876499e+20
2022-12-16,1.121438503578435e+20
2023-01-01,1.461905974409975e+20
2023-01-16,7.951012659443173e+19
2023-02-01,8.99151938085928e+19
2023-02-16,9.938532542553155e+19
2023-03-01,8.481714135546836e+19
2023-03-16,8.577944119938187e+19
2023-04-01,7.377741922266932e+19
2023-04-16,9.944511693886879e+19
2023-05-01,1.0746737993289699e+20
2023-05-16,1.4035715404810655e+20
2023-06-01,1.483451326810185e+20
2023-06-16,1.469181183071253e+20
2023-07-01,7.659789285217259e+19
2023-07-16,7.798144020467338e+19
2023-08-01,6.210878411203072e+19
2023-08-16,1.2664302169737858e+20
2023-09-01,1.0958823665913695e+20
2023-09-16,1.2553505518857005e+20
2023-10-01,1.3451046733264947e+20
2023-10-16,1.0412713406036224e+20
2023-11-01,1.0769488065310799e+20
2023-11-16,9.486193345972896e+19
2023-12-01,1.0667538855357347e+20
2023-12-16,1.3568898910922742e+20
