date,mean_concentration
2019-01-01,1.2165914290908722e+20
2019-01-16,7.556285962641757e+19
2019-02-01,1.1412972419843872e+20
2019-02-16,1.2781306463116167e+20
2019-03-01,1.1776558185308065e+20
2019-03-16,1.1990215640499934e+20
2019-04-01,1.0410540837277855e+20
2019-04-16,1.1662306497591973e+20
2019-05-01,1.50085631981593e+20
2019-05-16,1.4610166572123236e+20
2019-06-01,1.5802585114481272e+20
2019-06-16,1.230657312570565e+20
2019-07-01,7.90096066817458e+19
2019-07-16,9.037264091809541e+19
2019-08-01,9.08147557530582e+19
2019-08-16,9.106561101071842e+19
2019-09-01,6.205062660769011e+19
2019-09-16,8.648673304465007e+19
2019-10-01,7.874701218381829e+19
2019-10-16,1.0508864297269051e+20
2019-11-01,9.637961070908796e+19
2019-11-16,6.293009482009508e+19
2019-12-01,1.2170413771074914e+20
2019-12-16,8.43775548038307e+19
2020-01-01,1.2676129616962396e+20
2020-01-16,9.74175785812391e+19
2020-02-01,1.0071701151673201e+20
2020-02-16,1.1953738570768931e+20
2020-03-01,1.0024667545744566e+20
2020-03-16,1.2319381313379453e+20
2020-04-01,1.1012844140073414e+20
2020-04-16,1.0675834207052204e+20
2020-05-01,1.2410793583406065e+20
2020-05-16,1.679723341246185e+20
2020-06-01,1.4457556522010988e+20
2020-06-16,7.442807697319646e+19
2020-07-01,8.153640162918954e+19
2020-07-16,7.365145764897045e+19
2020-08-01,
2020-08-16,6.318480437792536e+19
2020-09-01,6.036949844834229e+19
2020-09-16,1.6904362793055122e+20
2020-10-01,1.4068549686636849e+20
2020-10-16,1.1056211860238249e+20
2020-11-01,1.0506017569210848e+20
2020-11-16,9.34901733183495e+19
2020-12-01,1.0369768044508938e+20
2020-12-16,1.4894800693059528e+20
2021-01-01,8.425964160524662e+19
2021-01-16,9.929289753956085e+19
2021-02-01,1.110237335013731e+20
2021-02-16,1.2506393724171231e+20
2021-03-01,1.2490814163298827e+20
2021-03-16,1.4918547406099163e+20
2021-04-01,1.3277238906217782e+20
2021-04-16,1.3683109943841027e+20
2021-05-01,1.073322031746139e+20
2021-05-16,1.591176867118759e+20
2021-06-01,8.705982545344753e+19
2021-06-16,1.24386040769202e+20
2021-07-01,2.5231875399091778e+20
2021-07-16,6.1661166504575975e+19
2021-08-01,8.662003227101679e+19
2021-08-16,9.735740663531227e+19
2021-09-01,6.468700393707268e+19
2021-09-16,9.08039562646952e+19
2021-10-01,7.547998400485461e+19
2021-10-16,1.5587297889621538e+20
2021-11-01,
2021-11-16,8.340125085475907e+19
2021-12-01,9.252588521633287e+19
2021-12-16,1.2285174869042761e+20
2022-01-01,9.7611899663329e+19
2022-01-16,1.4498073078603304e+20
2022-02-01,1.2316271182569472e+20
2022-02-16,1.0001733538824072e+20
2022-03-01,1.2279427512165304e+20
2022-03-16,1.372175180686983e+20
2022-04-01,1.0776362337592218e+20
2022-04-16,1.5357517337312615e+20
2022-05-01,1.5935665918147887e+20
2022-05-16,1.5884653483649447e+20
2022-06-01,1.957820114476175e+20
2022-06-16,9.786853819020732e+19
2022-07-01,
2022-07-16,6.040952121396773e+19
2022-08-01,7.690585375222112e+19
2022-08-16,8.889587199860523e+19
2022-09-01,5.677545895351056e+19
2022-09-16,1.0188469203790022e+20
2022-10-01,5.966470230116792e+19
2022-10-16,1.2121396013148316e+20
2022-11-01,1.2258970577974567e+20
2022-11-16,1.3447322045317497e+20
2022-12-01,3.0695693093989335e+19
2022-12-16,1.0520553551080315e+20
2023-01-01,1.395608099027224e+20
2023-01-16,1.0009254453344595e+20
2023-02-01,1.4834989081767182e+20
2023-02-16,1.2722951580408052e+20
2023-03-01,1.274734566760885e+20
2023-03-16,1.0867056552976682e+20
2023-04-01,1.0691606725411253e+20
2023-04-16,1.0147154893090768e+20
2023-05-01,1.2343323829420838e+20
2023-05-16,1.767824760954915e+20
2023-06-01,2.1703237247193602e+20
2023-06-16,1.3415457271038206e+20
2023-07-01,1.136536845300728e+20
2023-07-16,
2023-08-01,9.107882946884259e+19
2023-08-16,1.0025490889244718e+20
2023-09-01,9.013753754161829e+19
2023-09-16,1.0760219000639418e+20
2023-10-01,1.331543991198402e+20
2023-10-16,1.1785019321015668e+20
2023-11-01,1.2338852687609412e+20
2023-11-16,1.2506302394979634e+20
2023-12-01,1.0803625316856839e+20
2023-12-16,1.1190846439590989e+20
