date,mean_concentration
2019-01-01,1.1538333859147185e+20
2019-01-16,1.0056757344285594e+20
2019-02-01,1.0668327484099305e+20
2019-02-16,8.044283918726178e+19
2019-03-01,1.0318141646513729e+20
2019-03-16,1.1096040539197374e+20
2019-04-01,1.3819774916933899e+20
2019-04-16,1.5144932773375682e+20
2019-05-01,1.497097085365358e+20
2019-05-16,1.5716031758296757e+20
2019-06-01,1.6552053585285795e+20
2019-06-16,1.5755427593060044e+20
2019-07-01,1.0831661166258477e+20
2019-07-16,1.0101780176052525e+20
2019-08-01,9.299530856785807e+19
2019-08-16,9.698931890149915e+19
2019-09-01,7.135488909591746e+19
2019-09-16,9.709406854378465e+19
2019-10-01,1.3597364174834501e+20
2019-10-16,1.3067464356588713e+20
2019-11-01,1.3242179236884401e+20
2019-11-16,1.274848684049377e+20
2019-12-01,1.2656739844584443e+20
2019-12-16,1.918209027741371e+19
2020-01-01,8.542214797492006e+19
2020-01-16,8.525215084297988e+19
2020-02-01,9.273442416588594e+19
2020-02-16,1.2713530860026942e+20
2020-03-01,1.1873150993830461e+20
2020-03-16,1.1099849284175354e+20
2020-04-01,1.1615014090813414e+20
2020-04-16,1.4884240052798344e+20
2020-05-01,1.3604402235817737e+20
2020-05-16,1.7092049322165105e+20
2020-06-01,1.5169524863755033e+20
2020-06-16,1.0483885846623956e+20
2020-07-01,1.2103779979998434e+20
2020-07-16,9.669500090779161e+19
2020-08-01,8.786280328992893e+19
2020-08-16,1.004070205880498e+20
2020-09-01,1.3114293027001134e+20
2020-09-16,7.797586652709488e+19
2020-10-01,9.816065120654575e+19
2020-10-16,1.1539683133946708e+20
2020-11-01,1.3446891700245219e+20
2020-11-16,1.3777767520259981e+20
2020-12-01,1.7231197861076304e+20
2020-12-16,1.0938104276507933e+20
2021-01-01,1.1654982894355825e+20
2021-01-16,6.974678118948947e+19
2021-02-01,1.2323345740485493e+20
2021-02-16,1.1875155295471726e+20
2021-03-01,1.2223334117671598e+20
2021-03-16,1.2168555751247767e+20
2021-04-01,1.2936435790330762e+20
2021-04-16,1.623676106454111e+20
2021-05-01,1.4149296758106377e+20
2021-05-16,1.3785804139619679e+20
2021-06-01,1.534403391977879e+20
2021-06-16,1.1995549793506212e+20
2021-07-01,1.499505062652679e+20
2021-07-16,9.853945256632395e+19
2021-08-01,8.983709303306324e+19
2021-08-16,8.139885841453731e+19
2021-09-01,7.972231052341273e+19
2021-09-16,1.1859997442619767e+20
2021-10-01,1.206736138462553e+20
2021-10-16,1.08514112894287e+20
2021-11-01,1.243271331341282e+20
2021-11-16,1.2980059349495742e+20
2021-12-01,1.4902082012882217e+20
2021-12-16,1.1830660218922063e+20
2022-01-01,9.374289747955145e+19
2022-01-16,1.1657707358693153e+20
2022-02-01,1.0257844654186393e+20
2022-02-16,9.868627419620452e+19
2022-03-01,1.063172447924356e+20
2022-03-16,1.3093959549126748e+20
2022-04-01,1.594965233630804e+20
2022-04-16,1.6812780088059645e+20
2022-05-01,1.81925601719753e+20
2022-05-16,1.6430051236720296e+20
2022-06-01,1.853999358123005e+20
2022-06-16,1.4180656727941274e+20
2022-07-01,1.0207560721877849e+20
2022-07-16,1.2752382237754743e+20
2022-08-01,1.1196951934536226e+20
2022-08-16,8.917406058577378e+19
2022-09-01,1.3158394000879698e+20
2022-09-16,1.0079961050951131e+20
2022-10-01,1.0252015429754456e+20
2022-10-16,1.11515104718903e+20
2022-11-01,1.3610605155888543e+20
2022-11-16,1.517222317869805e+20
2022-12-01,1.2079268791298631e+20
2022-12-16,1.3443184684022438e+20
2023-01-01,1.258513684361835e+20
2023-01-16,1.1094424795934672e+20
2023-02-01,1.0082556872252434e+20
2023-02-16,1.0940285014546565e+20
2023-03-01,1.1775246559219553e+20
2023-03-16,1.1812584051177721e+20
2023-04-01,1.2109341353406582e+20
2023-04-16,1.5426619554971753e+20
2023-05-01,1.3712405065685066e+20
2023-05-16,1.6183207535942694e+20
2023-06-01,1.522483242724232e+20
2023-06-16,1.6574581097547176e+20
2023-07-01,9.300766134850085e+19
2023-07-16,9.144848269880019e+19
2023-08-01,1.0710086222231393e+20
2023-08-16,1.1678559888259128e+20
2023-09-01,1.2772380350189992e+20
2023-09-16,1.071194625765106e+20
2023-10-01,1.2040649964343668e+20
2023-10-16,1.2004003587750968e+20
2023-11-01,1.377182766852498e+20
2023-11-16,1.4057606543505262e+20
2023-12-01,1.1728410439828208e+20
2023-12-16,1.4352567698206427e+20
