date,mean_concentration
2019-01-01,1.0069254326371962e+20
2019-01-16,9.917210073078877e+19
2019-02-01,1.0821370137949386e+20
2019-02-16,1.2191695176819483e+20
2019-03-01,1.3533419196895583e+20
2019-03-16,1.5278752399341073e+20
2019-04-01,1.1862654440238834e+20
2019-04-16,1.2287839181965704e+20
2019-05-01,1.2357300368899749e+20
2019-05-16,1.4267257789069956e+20
2019-06-01,1.2409778332003803e+20
2019-06-16,8.344040490543158e+19
2019-07-01,6.244710090966142e+19
2019-07-16,8.129841367306374e+19
2019-08-01,
2019-08-16,5.018298261978426e+19
2019-09-01,3.54174479135536e+19
2019-09-16,7.49421533806985e+19
2019-10-01,1.111088892103248e+20
2019-10-16,8.834726950408664e+19
2019-11-01,1.3513496822777504e+20
2019-11-16,1.1350458851193692e+20
2019-12-01,1.3594201922679045e+20
2019-12-16,1.1092449597108925e+20
2020-01-01,1.0638932934581395e+20
2020-01-16,1.022289186350975e+20
2020-02-01,1.1801380692414318e+20
2020-02-16,1.1694591894400872e+20
2020-03-01,1.2446190212766435e+20
2020-03-16,1.2856715741451837e+20
2020-04-01,1.4981870720532205e+20
2020-04-16,1.3321815238524219e+20
2020-05-01,1.281925305560569e+20
2020-05-16,1.2280782937895431e+20
2020-06-01,8.720163501604625e+19
2020-06-16,8.679730865710129e+19
2020-07-01,6.525957402257589e+19
2020-07-16,6.023827556698621e+19
2020-08-01,7.910917192036462e+19
2020-08-16,5.811149502244224e+19
2020-09-01,6.959859091597667e+19
2020-09-16,4.2556341347559645e+19
2020-10-01,1.0754549852085219e+20
2020-10-16,1.2223743496542224e+20
2020-11-01,1.1605395994007917e+20
2020-11-16,1.0125160384865052e+20
2020-12-01,1.030156552044682e+20
2020-12-16,1.0662186849460136e+20
2021-01-01,8.042117470909088e+19
2021-01-16,1.1556600772388603e+20
2021-02-01,1.236215495116268e+20
2021-02-16,1.3246537748743838e+20
2021-03-01,1.3552182199320627e+20
2021-03-16,1.5344695007141413e+20
2021-04-01,1.4413890416735484e+20
2021-04-16,1.2890698751960605e+20
2021-05-01,1.0932956160730735e+20
2021-05-16,1.517564113064853e+20
2021-06-01,1.0205800477374582e+20
2021-06-16,6.048446300431305e+19
2021-07-01,-2.2976722958355907e+19
2021-07-16,3.8259475225201705e+19
2021-08-01,5.977422561692167e+19
2021-08-16,4.479698901847544e+19
2021-09-01,4.421637902928293e+19
2021-09-16,5.883732750275514e+19
2021-10-01,9.591291889856748e+19
2021-10-16,1.0230456626441973e+20
2021-11-01,1.174485933784332e+20
2021-11-16,9.187672231368612e+19
2021-12-01,8.56011189172499e+19
2021-12-16,9.557003076548164e+19
2022-01-01,1.0322781854176967e+20
2022-01-16,1.0654549935557373e+20
2022-02-01,1.0780912275098493e+20
2022-02-16,1.1038081924579433e+20
2022-03-01,1.3134799914141776e+20
2022-03-16,1.678810453797202e+20
2022-04-01,1.583368129139889e+20
2022-04-16,1.5284266133069916e+20
2022-05-01,1.4066316584510842e+20
2022-05-16,1.2498053667642928e+20
2022-06-01,1.423915126581835e+20
2022-06-16,7.949753629149197e+19
2022-07-01,
2022-07-16,2.145082365520141e+19
2022-08-01,5.605666446983555e+19
2022-08-16,6.3962266784180535e+19
2022-09-01,8.32424575005236e+19
2022-09-16,5.136918491453794e+19
2022-10-01,8.329551227267106e+19
2022-10-16,1.0296575924421493e+20
2022-11-01,1.2534822955984105e+20
2022-11-16,1.0167907048949164e+20
2022-12-01,1.238099314722043e+20
2022-12-16,1.2138285120723827e+20
2023-01-01,9.665966138534817e+19
2023-01-16,8.419639457724686e+19
2023-02-01,1.343562039211129e+20
2023-02-16,1.3942579881691097e+20
2023-03-01,1.5121364087379562e+20
2023-03-16,1.1585996676697267e+20
2023-04-01,1.2895710463825538e+20
2023-04-16,1.483363145352375e+20
2023-05-01,1.3265303825875237e+20
2023-05-16,1.3269756013298971e+20
2023-06-01,8.42790028801374e+19
2023-06-16,9.005842094138597e+19
2023-07-01,1.3012510405490755e+20
2023-07-16,
2023-08-01,4.785226392807856e+19
2023-08-16,8.258171362338685e+19
2023-09-01,8.838151759377727e+19
2023-09-16,7.486832092893725e+19
2023-10-01,1.0948936456179171e+20
2023-10-16,1.257398935866437e+20
2023-11-01,1.3460904099813863e+20
2023-11-16,1.0683783110231304e+20
2023-12-01,9.478067119350533e+19
2023-12-16,1.1069065493635195e+20
