date,mean_concentration
2019-01-01,1.1431327434548219e+20
2019-01-16,9.04059054080287e+19
2019-02-01,1.1312817073270655e+20
2019-02-16,1.1065057418073245e+20
2019-03-01,1.301482005428045e+20
2019-03-16,1.3611809248635082e+20
2019-04-01,1.0932877991390437e+20
2019-04-16,1.2016963515355179e+20
2019-05-01,1.0851904922190455e+20
2019-05-16,1.23681626312642e+20
2019-06-01,9.091739849036399e+19
2019-06-16,4.804085993143315e+19
2019-07-01,4.140931127455873e+19
2019-07-16,5.50036140895871e+19
2019-08-01,3.961408963712362e+19
2019-08-16,4.295966043892038e+19
2019-09-01,5.3866415459627e+19
2019-09-16,5.711094732381795e+19
2019-10-01,9.102255399039987e+19
2019-10-16,
2019-11-01,1.1005679286267701e+20
2019-11-16,8.762757517328821e+19
2019-12-01,7.5073670314279e+19
2019-12-16,9.141717170897415e+19
2020-01-01,9.779064137825447e+19
2020-01-16,8.651877595853939e+19
2020-02-01,1.0760080103022949e+20
2020-02-16,1.1818582470898213e+20
2020-03-01,1.3045206736183719e+20
2020-03-16,1.3769413092945504e+20
2020-04-01,1.3801034766798132e+20
2020-04-16,1.1180849118044943e+20
2020-05-01,1.2629757180913172e+20
2020-05-16,1.0644631341845656e+20
2020-06-01,5.094960611567372e+19
2020-06-16,4.99207939291602e+19
2020-07-01,4.774534233074512e+19
2020-07-16,5.5020502778677125e+19
2020-08-01,
2020-08-16,2.5308837073734726e+19
2020-09-01,6.886560373663456e+19
2020-09-16,7.192350250691832e+19
2020-10-01,
2020-10-16,
2020-11-01,1.0229539223585907e+20
2020-11-16,7.558119884675549e+19
2020-12-01,8.403996426897092e+19
2020-12-16,9.373530518514482e+19
2021-01-01,7.402342463240566e+19
2021-01-16,1.0231632422868654e+20
2021-02-01,1.1103876272871354e+20
2021-02-16,1.3752704872642639e+20
2021-03-01,1.3571981870732522e+20
2021-03-16,1.6322695351692657e+20
2021-04-01,1.3011927230516634e+20
2021-04-16,1.3338477934145053e+20
2021-05-01,1.307515204315264e+20
2021-05-16,7.204826424272218e+19
2021-06-01,7.031542243298676e+19
2021-06-16,4.5164936938730275e+19
2021-07-01,1.615341010164901e+20
2021-07-16,4.897723111947726e+19
2021-08-01,3.5259364342631342e+19
2021-08-16,2.105187114886381e+19
2021-09-01,1.9519720667673923e+18
2021-09-16,5.235618839470204e+19
2021-10-01,8.848178491016259e+19
2021-10-16,1.2260381575814326e+20
2021-11-01,1.1369414997789386e+20
2021-11-16,6.497885103565736e+19
2021-12-01,9.620127097647682e+19
2021-12-16,9.194446597316066e+19
2022-01-01,5.4694137756562235e+19
2022-01-16,8.477186637476743e+19
2022-02-01,1.1967135707012647e+20
2022-02-16,1.2128982626693382e+20
2022-03-01,1.0926993145708179e+20
2022-03-16,1.4869541841883968e+20
2022-04-01,1.3295866744551457e+20
2022-04-16,1.3251470984961645e+20
2022-05-01,1.0721710885381264e+20
2022-05-16,7.925635874598625e+19
2022-06-01,9.288619903252901e+19
2022-06-16,
2022-07-01,
2022-07-16,7.14701735082413e+19
2022-08-01,3.0854837705147904e+19
2022-08-16,3.560562714788065e+19
2022-09-01,9.201983740621885e+19
2022-09-16,6.084565713981424e+19
2022-10-01,7.125487132480663e+19
2022-10-16,9.311570263656497e+19
2022-11-01,1.094350640951963e+20
2022-11-16,1.1733396818131635e+20
2022-12-01,8.571314588048554e+19
2022-12-16,9.023824157560671e+19
2023-01-01,9.657964236213061e+19
2023-01-16,1.075152053823164e+20
2023-02-01,1.2877284949673627e+20
2023-02-16,1.1922382482130035e+20
2023-03-01,1.4216960557562995e+20
2023-03-16,1.1647959080372388e+20
2023-04-01,1.2147822083132593e+20
2023-04-16,1.2668530831736345e+20
2023-05-01,1.0621764725264292e+20
2023-05-16,1.0312227486226384e+20
2023-06-01,8.353569523010686e+19
2023-06-16,7.570877297922602e+19
2023-07-01,6.905316754895033e+19
2023-07-16,1.7899546019495897e+19
2023-08-01,3.720791636568656e+19
2023-08-16,6.092889924841096e+19
2023-09-01,7.2227724627669115e+19
2023-09-16,4.4522876198369124e+19
2023-10-01,6.077735126606565e+19
2023-10-16,1.0786410127416631e+20
2023-11-01,1.288968800189294e+20
2023-11-16,1.0232472492079664e+20
2023-12-01,9.636106916662328e+19
2023-12-16,9.100971356229448e+19
