date,mean_concentration
2019-01-01,1.1253002118862973e+20
2019-01-16,8.926864962793036e+19
2019-02-01,1.013306241712544e+20
2019-02-16,8.307305887959556e+19
2019-03-01,9.73071610906127e+19
2019-03-16,9.441440929810881e+19
2019-04-01,1.0999192058232173e+20
2019-04-16,1.020042821772185e+20
2019-05-01,1.005608664792593e+20
2019-05-16,1.1075580828419346e+20
2019-06-01,1.1391022524223719e+20
2019-06-16,1.1364953519201613e+20
2019-07-01,1.0030504290514793e+20
2019-07-16,1.033051828660224e+20
2019-08-01,9.856146334021702e+19
2019-08-16,9.117436629192124e+19
2019-09-01,1.0614179831301513e+20
2019-09-16,1.0559132040479362e+20
2019-10-01,1.1243918349685601e+20
2019-10-16,1.2849011436422516e+20
2019-11-01,1.1035794529201023e+20
2019-11-16,8.226175635856617e+19
2019-12-01,1.1547103281600728e+20
2019-12-16,9.171400348923367e+19
2020-01-01,1.0989454949764968e+20
2020-01-16,7.214445531373383e+19
2020-02-01,7.696345880656634e+19
2020-02-16,1.0576405929281585e+20
2020-03-01,9.459685372598955e+19
2020-03-16,9.561554120074505e+19
2020-04-01,8.46178356598671e+19
2020-04-16,8.578292856007544e+19
2020-05-01,1.028884958307098e+20
2020-05-16,1.0096674189421902e+20
2020-06-01,1.1552393848520447e+20
2020-06-16,1.0133683528624438e+20
2020-07-01,1.0669326456081046e+20
2020-07-16,1.1282902737137703e+20
2020-08-01,1.2346344358824917e+20
2020-08-16,7.570954932811974e+19
2020-09-01,9.617379865052807e+19
2020-09-16,1.1754210681999319e+20
2020-10-01,1.1983644758732792e+20
2020-10-16,1.3843315606914307e+20
2020-11-01,1.175078702609831e+20
2020-11-16,9.127137683251035e+19
2020-12-01,9.605973720565737e+19
2020-12-16,8.480175188887994e+19
2021-01-01,9.410551829652342e+19
2021-01-16,7.351727161332655e+19
2021-02-01,8.279541126002411e+19
2021-02-16,8.553655825853627e+19
2021-03-01,8.663595383458295e+19
2021-03-16,1.0033879697399996e+20
2021-04-01,9.678985809079514e+19
2021-04-16,9.158229302726443e+19
2021-05-01,1.165419979800914e+20
2021-05-16,1.1472869190748874e+20
2021-06-01,1.1980722965086565e+20
2021-06-16,1.1396352832692014e+20
2021-07-01,4.6444833868712075e+19
2021-07-16,8.362299185894878e+19
2021-08-01,1.0157640950961281e+20
2021-08-16,1.0584665396623984e+20
2021-09-01,7.648438733092728e+19
2021-09-16,9.213576975404335e+19
2021-10-01,1.1915153421065391e+20
2021-10-16,1.1656454185198812e+20
2021-11-01,1.2493396676753678e+20
2021-11-16,1.1371704060643631e+20
2021-12-01,1.086005125077932e+20
2021-12-16,8.194737596276749e+19
2022-01-01,9.482229818075632e+19
2022-01-16,7.139424148790153e+19
2022-02-01,8.573549905213646e+19
2022-02-16,8.852616694903172e+19
2022-03-01,1.0906877331800978e+20
2022-03-16,1.0557102386573777e+20
2022-04-01,9.546463854168262e+19
2022-04-16,1.0157659077629959e+20
2022-05-01,1.0690299211930524e+20
2022-05-16,1.020040461236784e+20
2022-06-01,1.0165322571742668e+20
2022-06-16,1.1273236459019392e+20
2022-07-01,9.437885428074211e+19
2022-07-16,8.062191064658e+19
2022-08-01,9.157489176258247e+19
2022-08-16,9.244396009386616e+19
2022-09-01,1.0668739318728707e+20
2022-09-16,1.0697438255126408e+20
2022-10-01,1.0603903053723535e+20
2022-10-16,1.1603212195730145e+20
2022-11-01,1.215046356490965e+20
2022-11-16,1.0049531229183212e+20
2022-12-01,9.093857499327947e+19
2022-12-16,8.88224127631038e+19
2023-01-01,8.646965558122214e+19
2023-01-16,9.687197352473305e+19
2023-02-01,7.181546307649751e+19
2023-02-16,1.1310551225139865e+20
2023-03-01,1.1193904946795223e+20
2023-03-16,1.0335924011029583e+20
2023-04-01,9.21261105913529e+19
2023-04-16,9.726175245336895e+19
2023-05-01,1.0578889338098057e+20
2023-05-16,1.0031197656244062e+20
2023-06-01,9.93224278935819e+19
2023-06-16,1.2353892786618781e+20
2023-07-01,1.0127593485367384e+20
2023-07-16,8.910092094078493e+19
2023-08-01,9.752420921669981e+19
2023-08-16,1.1384736732788282e+20
2023-09-01,1.1488697784199256e+20
2023-09-16,1.040103702142555e+20
2023-10-01,1.03479995631663e+20
2023-10-16,1.2714638288211517e+20
2023-11-01,1.3797149587683408e+20
2023-11-16,1.3374440231253723e+20
2023-12-01,9.619734606346384e+19
2023-12-16,1.0018334083226332e+20
