date,mean_concentration
2019-01-01,1.0570494604530536e+20
2019-01-16,1.062244084901751e+20
2019-02-01,1.2555177637077552e+20
2019-02-16,9.448129708254342e+19
2019-03-01,1.1283005801693002e+20
2019-03-16,1.1740420784641285e+20
2019-04-01,1.1529663668876332e+20
2019-04-16,1.1472792151346661e+20
2019-05-01,9.636589939667121e+19
2019-05-16,1.1273741979288837e+20
2019-06-01,1.1525561967719462e+20
2019-06-16,1.0852483621581773e+20
2019-07-01,3.340200791468527e+19
2019-07-16,8.14469376766197e+19
2019-08-01,5.27962952611317e+19
2019-08-16,6.851719531383718e+19
2019-09-01,1.043764643818313e+20
2019-09-16,7.308587892142005e+19
2019-10-01,1.2880726120265741e+20
2019-10-16,9.59213044820276e+19
2019-11-01,9.094838839001276e+19
2019-11-16,9.656206666625234e+19
2019-12-01,9.71298396744265e+19
2019-12-16,6.229163728918494e+19
2020-01-01,5.969263181782234e+19
2020-01-16,1.0953933091793632e+20
2020-02-01,9.18583412212271e+19
2020-02-16,9.665659007260544e+19
2020-03-01,9.348912893557306e+19
2020-03-16,1.1406780182205895e+20
2020-04-01,1.2738126216994093e+20
2020-04-16,1.1342235860664228e+20
2020-05-01,1.227257442793276e+20
2020-05-16,1.2269710338512716e+20
2020-06-01,1.106820388480759e+20
2020-06-16,6.970172292863838e+19
2020-07-01,7.761022466246903e+19
2020-07-16,7.26716748460162e+19
2020-08-01,6.014115325866898e+19
2020-08-16,-5.669379510458807e+18
2020-09-01,1.0251337864834544e+20
2020-09-16,8.28015022892167e+19
2020-10-01,1.260408942816658e+20
2020-10-16,1.3305693445691302e+20
2020-11-01,1.2232805052003376e+20
2020-11-16,1.1611048275448845e+20
2020-12-01,1.076765015133157e+20
2020-12-16,9.955381221541156e+19
2021-01-01,8.862647559365871e+19
2021-01-16,1.0084724321529915e+20
2021-02-01,1.0712967165422726e+20
2021-02-16,9.442246001817246e+19
2021-03-01,1.1350047389049474e+20
2021-03-16,1.3261765251614953e+20
2021-04-01,1.5225029370675472e+20
2021-04-16,1.338513876669464e+20
2021-05-01,1.1408468697482682e+20
2021-05-16,1.2472797239888788e+20
2021-06-01,1.2422602065052988e+20
2021-06-16,8.79122799203238e+19
2021-07-01,-5.848100961622387e+18
2021-07-16,
2021-08-01,5.5096188064555835e+19
2021-08-16,8.045182691660444e+19
2021-09-01,8.52375855695459e+19
2021-09-16,1.0219685201132827e+20
2021-10-01,1.1748742463616777e+20
2021-10-16,1.043960865022761e+20
2021-11-01,1.2161297259884503e+20
2021-11-16,1.1351893622216291e+20
2021-12-01,1.1612830681934157e+20
2021-12-16,1.3502754216909654e+20
2022-01-01,5.544644420305514e+19
2022-01-16,8.773168544143737e+19
2022-02-01,1.047954545082277e+20
2022-02-16,1.1035343809920868e+20
2022-03-01,1.1202983241527129e+20
2022-03-16,1.2077017473164093e+20
2022-04-01,1.4331328076617882e+20
2022-04-16,1.3348080338004029e+20
2022-05-01,1.2040216005693799e+20
2022-05-16,1.0821800729284349e+20
2022-06-01,1.0591759235222736e+20
2022-06-16,7.594882741389417e+19
2022-07-01,7.560825584750117e+19
2022-07-16,7.809143355864508e+19
2022-08-01,8.047319472681186e+19
2022-08-16,8.310326466447262e+19
2022-09-01,7.852044117655501e+19
2022-09-16,8.916508318076068e+19
2022-10-01,9.730701789047649e+19
2022-10-16,1.1819648259394201e+20
2022-11-01,1.0538115025481023e+20
2022-11-16,1.1195926405504647e+20
2022-12-01,9.322418271609836e+19
2022-12-16,1.3285388532104007e+20
2023-01-01,8.93173396302555e+19
2023-01-16,1.410317810784244e+20
2023-02-01,1.0682312602228813e+20
2023-02-16,1.0634477486637205e+20
2023-03-01,1.1161864170812904e+20
2023-03-16,1.0729074005406255e+20
2023-04-01,1.295634962634272e+20
2023-04-16,1.4024354973631896e+20
2023-05-01,1.4261571627695138e+20
2023-05-16,1.151011266255258e+20
2023-06-01,1.1379583402638162e+20
2023-06-16,7.820273525754903e+19
2023-07-01,7.178424936765668e+19
2023-07-16,3.23857233140465e+19
2023-08-01,4.695641752828842e+19
2023-08-16,6.396536469403341e+19
2023-09-01,1.1902155277299548e+20
2023-09-16,9.492471410301421e+19
2023-10-01,1.0953038061169725e+20
2023-10-16,1.3170241965691452e+20
2023-11-01,1.082761497669942e+20
2023-11-16,1.0362214821555465e+20
2023-12-01,9.657095178942203e+19
2023-12-16,1.0230982967748615e+20
