date,mean_concentration
2019-01-01,7.778736083934475e+19
2019-01-16,7.920805797505658e+19
2019-02-01,9.578422785322151e+19
2019-02-16,7.938465079565669e+19
2019-03-01,8.34387879269153e+19
2019-03-16,8.829751229358304e+19
2019-04-01,1.0758193324049826e+20
2019-04-16,1.1049497247731964e+20
2019-05-01,1.2055933877919054e+20
2019-05-16,1.4593485977842121e+20
2019-06-01,1.3942588545632621e+20
2019-06-16,1.2351929943231924e+20
2019-07-01,1.0580038387727738e+20
2019-07-16,1.0066607937312937e+20
2019-08-01,6.7272321878790185e+19
2019-08-16,7.092323037592697e+19
2019-09-01,8.098765587524711e+19
2019-09-16,9.039466809352258e+19
2019-10-01,9.567170403323303e+19
2019-10-16,1.4139915729405865e+20
2019-11-01,1.1056614742530995e+20
2019-11-16,7.536277821174532e+19
2019-12-01,9.708244437682081e+19
2019-12-16,8.626154345357931e+19
2020-01-01,7.089391835917205e+19
2020-01-16,5.7227054127319106e+19
2020-02-01,7.757651009629297e+19
2020-02-16,9.863276951194393e+19
2020-03-01,9.030508717961359e+19
2020-03-16,9.15001766199169e+19
2020-04-01,8.784617461471086e+19
2020-04-16,1.094388371738609e+20
2020-05-01,1.3491821046071204e+20
2020-05-16,1.2177573764923143e+20
2020-06-01,1.2409681845326612e+20
2020-06-16,1.2822224651948561e+20
2020-07-01,1.0069754434975757e+20
2020-07-16,9.399444171035114e+19
2020-08-01,9.340094664724234e+19
2020-08-16,8.200810789396744e+19
2020-09-01,1.1591102945188007e+20
2020-09-16,1.2300200782213454e+20
2020-10-01,1.2695516188398494e+20
2020-10-16,1.4556663704405426e+20
2020-11-01,1.1565471272616447e+20
2020-11-16,9.49360954884287e+19
2020-12-01,1.1075532557985287e+20
2020-12-16,8.797769547160853e+19
2021-01-01,8.844387060930635e+19
2021-01-16,7.11688189820256e+19
2021-02-01,8.749709483050472e+19
2021-02-16,7.732044373140326e+19
2021-03-01,9.128102718908616e+19
2021-03-16,8.51553696170384e+19
2021-04-01,9.515387387615048e+19
2021-04-16,1.389469618373552e+20
2021-05-01,1.3495820881750616e+20
2021-05-16,1.4972393449245655e+20
2021-06-01,1.1247632690232232e+20
2021-06-16,1.2683721031065985e+20
2021-07-01,4.796953277616606e+19
2021-07-16,8.914504549198022e+19
2021-08-01,7.527635816436985e+19
2021-08-16,8.789759436022523e+19
2021-09-01,9.030244637543422e+19
2021-09-16,8.346683515592153e+19
2021-10-01,1.126250014567571e+20
2021-10-16,1.0629606637648837e+20
2021-11-01,1.1105736512438352e+20
2021-11-16,1.0509816618823102e+20
2021-12-01,9.885605251332057e+19
2021-12-16,9.498638902837641e+19
2022-01-01,6.858633351007778e+19
2022-01-16,6.499023487801517e+19
2022-02-01,6.267874503343618e+19
2022-02-16,9.597986007341323e+19
2022-03-01,1.0371828321547123e+20
2022-03-16,1.0088855814887462e+20
2022-04-01,1.0178564242534484e+20
2022-04-16,1.1632091133458956e+20
2022-05-01,1.4364742699157298e+20
2022-05-16,1.3372165103015453e+20
2022-06-01,1.269315198655273e+20
2022-06-16,1.4363905948895763e+20
2022-07-01,9.255098192673725e+19
2022-07-16,1.057642619590063e+20
2022-08-01,1.0751104126561632e+20
2022-08-16,9.191725854652291e+19
2022-09-01,1.0386313964986399e+20
2022-09-16,1.2111711143981579e+20
2022-10-01,1.0395097681622893e+20
2022-10-16,1.0403257546760643e+20
2022-11-01,1.142761688322829e+20
2022-11-16,1.1564880235015732e+20
2022-12-01,1.0316635515641366e+20
2022-12-16,9.497936967825012e+19
2023-01-01,7.921479503677796e+19
2023-01-16,8.505496758933873e+19
2023-02-01,6.1354135014623126e+19
2023-02-16,9.327482970492096e+19
2023-03-01,1.1792085470391112e+20
2023-03-16,1.0834998276535301e+20
2023-04-01,9.58009793714834e+19
2023-04-16,1.218369692390174e+20
2023-05-01,1.3298827606283715e+20
2023-05-16,1.2711328294940492e+20
2023-06-01,1.112906539389298e+20
2023-06-16,9.231399896019422e+19
2023-07-01,1.0678561370969581e+20
2023-07-16,8.058005305533081e+19
2023-08-01,7.945066764999652e+19
2023-08-16,9.34677260824937e+19
2023-09-01,1.106744621255774e+20
2023-09-16,1.0727647558861318e+20
2023-10-01,1.2266280808996055e+20
2023-10-16,1.2443036555830729e+20
2023-11-01,1.405022930494864e+20
2023-11-16,1.2536042105451343e+20
2023-12-01,8.285519994705733e+19
2023-12-16,8.288256658416148e+19
