date,mean_concentration
2019-01-01,7.524290584778716e+19
2019-01-16,7.59135988024076e+19
2019-02-01,9.44296646877348e+19
2019-02-16,1.0743476210370929e+20
2019-03-01,1.2422828628029297e+20
2019-03-16,1.1843831946152886e+20
2019-04-01,1.196932327807311e+20
2019-04-16,1.0487325665387492e+20
2019-05-01,1.3311908649407973e+20
2019-05-16,1.3177444004237341e+20
2019-06-01,9.797800602369471e+19
2019-06-16,9.450714614205057e+19
2019-07-01,8.089021845874621e+19
2019-07-16,1.082855167400146e+19
2019-08-01,
2019-08-16,6.071335371540413e+19
2019-09-01,7.439350992549786e+19
2019-09-16,6.79292210694367e+19
2019-10-01,9.076614445259011e+19
2019-10-16,7.458218393438034e+19
2019-11-01,6.888948516468797e+19
2019-11-16,5.271237491770597e+19
2019-12-01,6.158256193585609e+19
2019-12-16,6.2185744512436945e+19
2020-01-01,8.365211836905379e+19
2020-01-16,8.834592635856742e+19
2020-02-01,7.442413742980245e+19
2020-02-16,7.465598981701945e+19
2020-03-01,1.1866050681509462e+20
2020-03-16,1.0072955639328673e+20
2020-04-01,1.1667455138089478e+20
2020-04-16,1.1092259590202107e+20
2020-05-01,1.088138101277026e+20
2020-05-16,1.2283580117183767e+20
2020-06-01,7.903744965168682e+19
2020-06-16,5.675257785147773e+19
2020-07-01,5.190224434249292e+19
2020-07-16,7.725161665078873e+19
2020-08-01,
2020-08-16,7.0996016438675415e+19
2020-09-01,6.1891750874556424e+19
2020-09-16,
2020-10-01,1.153568349022731e+20
2020-10-16,6.0829777862841524e+19
2020-11-01,8.30789160240988e+19
2020-11-16,5.509591615521451e+19
2020-12-01,4.401634788342617e+19
2020-12-16,5.373399606011508e+19
2021-01-01,4.827750125453546e+19
2021-01-16,6.186798707353727e+19
2021-02-01,7.772066883902412e+19
2021-02-16,1.0031394637826153e+20
2021-03-01,1.129098846545199e+20
2021-03-16,1.3787782798650837e+20
2021-04-01,1.2611649883227745e+20
2021-04-16,1.244021659085531e+20
2021-05-01,1.0651607367294791e+20
2021-05-16,1.0386724776549807e+20
2021-06-01,9.047858119872363e+19
2021-06-16,6.2298792497015144e+19
2021-07-01,-5.495572239308174e+19
2021-07-16,4.800781464786954e+19
2021-08-01,5.824937732895528e+19
2021-08-16,7.69947290915496e+19
2021-09-01,5.340582472723828e+19
2021-09-16,7.133200597926861e+19
2021-10-01,6.351019173462043e+19
2021-10-16,7.438906753599301e+19
2021-11-01,
2021-11-16,6.700750829654504e+19
2021-12-01,7.856359679434691e+19
2021-12-16,8.502734798292872e+19
2022-01-01,8.390686355646536e+19
2022-01-16,8.980464507348153e+19
2022-02-01,9.001765026950506e+19
2022-02-16,7.277539789392384e+19
2022-03-01,1.0702710513264819e+20
2022-03-16,1.4902924585500865e+20
2022-04-01,1.202307115958127e+20
2022-04-16,1.4073903506329621e+20
2022-05-01,1.5266611811533147e+20
2022-05-16,1.014676020276395e+20
2022-06-01,1.0712058389214726e+20
2022-06-16,1.2457109397575829e+20
2022-07-01,
2022-07-16,8.929028033686743e+19
2022-08-01,5.714879866983047e+19
2022-08-16,7.882569837552838e+19
2022-09-01,5.977183299829081e+19
2022-09-16,7.196131298468058e+19
2022-10-01,7.789572479122519e+19
2022-10-16,9.664616545714687e+19
2022-11-01,6.522149676907708e+19
2022-11-16,6.504413671101327e+19
2022-12-01,6.3213845236835434e+19
2022-12-16,6.111250913169407e+19
2023-01-01,8.029075249720056e+19
2023-01-16,6.233166935392859e+19
2023-02-01,1.3802885390051369e+20
2023-02-16,1.1140797253136507e+20
2023-03-01,9.458526609499323e+19
2023-03-16,1.2998255294367601e+20
2023-04-01,1.3031696301112779e+20
2023-04-16,1.3627951031131798e+20
2023-05-01,1.1782292962744685e+20
2023-05-16,1.3904991811398414e+20
2023-06-01,1.0648632890160036e+20
2023-06-16,1.1495354964366447e+20
2023-07-01,
2023-07-16,
2023-08-01,6.255818296033838e+19
2023-08-16,7.2917693944149434e+19
2023-09-01,7.428744321472294e+19
2023-09-16,6.729515766179906e+19
2023-10-01,1.0021764102199293e+20
2023-10-16,9.331815075632905e+19
2023-11-01,6.732746110384685e+19
2023-11-16,9.224070711074862e+19
2023-12-01,6.078993585949873e+19
2023-12-16,7.786812495328295e+19
