date,mean_concentration
2019-01-01,1.321065608381257e+20
2019-01-16,1.2844109106704335e+20
2019-02-01,1.1847852350613712e+20
2019-02-16,1.1835849524247414e+20
2019-03-01,8.953722501828202e+19
2019-03-16,1.1062646499032634e+20
2019-04-01,1.0729162434960505e+20
2019-04-16,9.839511062519764e+19
2019-05-01,1.1544762506511639e+20
2019-05-16,1.51084766377738e+20
2019-06-01,1.6805808329744043e+20
2019-06-16,1.77038619045821e+20
2019-07-01,1.902763899800686e+20
2019-07-16,9.55145006386215e+19
2019-08-01,1.2711163476787464e+20
2019-08-16,7.957229608147108e+19
2019-09-01,1.3590680031492191e+20
2019-09-16,8.388947606532239e+19
2019-10-01,1.5053471664881274e+20
2019-10-16,1.3436110189227024e+20
2019-11-01,1.2288918917856685e+20
2019-11-16,1.1322376621902371e+20
2019-12-01,1.2226291737746665e+20
2019-12-16,8.592609807829885e+19
2020-01-01,1.1748407640717589e+20
2020-01-16,6.763992541162006e+19
2020-02-01,9.953208071108554e+19
2020-02-16,1.0036837527589198e+20
2020-03-01,1.0114445253813441e+20
2020-03-16,8.810404827591775e+19
2020-04-01,8.78808328854363e+19
2020-04-16,8.910499100350099e+19
2020-05-01,1.3203060086866675e+20
2020-05-16,1.3930662455697385e+20
2020-06-01,1.650041508391257e+20
2020-06-16,1.684279449682624e+20
2020-07-01,1.1860305951082894e+20
2020-07-16,1.2123414262540657e+20
2020-08-01,7.556271892713172e+19
2020-08-16,1.0533405107657123e+20
2020-09-01,9.944156582399707e+19
2020-09-16,1.224963110530957e+20
2020-10-01,1.5753763795845972e+20
2020-10-16,1.540084414807303e+20
2020-11-01,1.635770885261322e+20
2020-11-16,1.0305711280344626e+20
2020-12-01,1.1556120155218158e+20
2020-12-16,1.1259878338423208e+20
2021-01-01,6.089229562804882e+19
2021-01-16,1.689508833264179e+20
2021-02-01,9.907960817030657e+19
2021-02-16,8.622746116629961e+19
2021-03-01,8.942338357731711e+19
2021-03-16,8.510123453842165e+19
2021-04-01,1.0124066633916552e+20
2021-04-16,1.250489068465457e+20
2021-05-01,1.4537204850463878e+20
2021-05-16,1.5816037938812803e+20
2021-06-01,1.9210609659440978e+20
2021-06-16,1.6817711275243294e+20
2021-07-01,1.523370669501863e+20
2021-07-16,9.797051613767913e+19
2021-08-01,1.0311791058213806e+20
2021-08-16,1.4931114132246338e+20
2021-09-01,9.409706448017811e+19
2021-09-16,8.776256705877485e+19
2021-10-01,1.350566203649162e+20
2021-10-16,1.4858281307892967e+20
2021-11-01,1.6553966027382374e+20
2021-11-16,1.39981110070386e+20
2021-12-01,1.1047123016072292e+20
2021-12-16,1.0739439252790965e+20
2022-01-01,1.4573154275531832e+20
2022-01-16,1.3648221938197925e+20
2022-02-01,1.1351959261623e+20
2022-02-16,8.000951003698758e+19
2022-03-01,1.2911673138614203e+20
2022-03-16,1.1155215748106582e+20
2022-04-01,1.3582700226935775e+20
2022-04-16,1.2640623687428235e+20
2022-05-01,2.1424490826686376e+20
2022-05-16,1.8382691263995052e+20
2022-06-01,1.8789148459615925e+20
2022-06-16,1.7147652467497517e+20
2022-07-01,1.157670410937587e+20
2022-07-16,1.198385904779472e+20
2022-08-01,1.2706330498958062e+20
2022-08-16,1.1019527698611328e+20
2022-09-01,1.1702452682776474e+20
2022-09-16,1.2769252855771919e+20
2022-10-01,1.416454549252694e+20
2022-10-16,1.5314897217412786e+20
2022-11-01,1.0526990912823034e+20
2022-11-16,1.2434116723207709e+20
2022-12-01,1.2276600509028614e+20
2022-12-16,1.2808863192288816e+20
2023-01-01,1.4222052427203697e+20
2023-01-16,9.971180149077328e+19
2023-02-01,1.0794269534519088e+20
2023-02-16,1.0684169578580699e+20
2023-03-01,1.1457003851044974e+20
2023-03-16,1.0171916882772047e+20
2023-04-01,9.322445376537744e+19
2023-04-16,1.0916958762990353e+20
2023-05-01,1.1905706789196834e+20
2023-05-16,1.3378750359437518e+20
2023-06-01,1.2955895059229966e+20
2023-06-16,1.733384892757801e+20
2023-07-01,9.559579033237873e+19
2023-07-16,1.0760549185896568e+20
2023-08-01,1.5655818958039535e+20
2023-08-16,1.2297608662836686e+20
2023-09-01,1.5488754181522407e+20
2023-09-16,1.4624673857912732e+20
2023-10-01,1.3356268953673713e+20
2023-10-16,1.2890096460506217e+20
2023-11-01,1.303774914945724e+20
2023-11-16,1.2656372546164328e+20
2023-12-01,1.0863180977259676e+20
2023-12-16,1.630926280858221e+20
