date,mean_concentration
2019-01-01,1.2934034197351145e+20
2019-01-16,1.1004124948668454e+20
2019-02-01,1.0889183098262204e+20
2019-02-16,1.0438990748904474e+20
2019-03-01,1.2505994618353536e+20
2019-03-16,1.257893951944897e+20
2019-04-01,1.3752499439957616e+20
2019-04-16,1.6306729714508068e+20
2019-05-01,1.629384064880816e+20
2019-05-16,1.694115296844356e+20
2019-06-01,1.798879500916275e+20
2019-06-16,1.688880908418511e+20
2019-07-01,1.3879129214921469e+20
2019-07-16,1.4030916215246052e+20
2019-08-01,1.0668224993443116e+20
2019-08-16,1.2735537644156051e+20
2019-09-01,1.1291489742418331e+20
2019-09-16,9.256962508336326e+19
2019-10-01,1.1004305423093745e+20
2019-10-16,2.0104928964960797e+20
2019-11-01,1.2988082606908074e+20
2019-11-16,1.3099696752164119e+20
2019-12-01,1.6503224588430875e+20
2019-12-16,1.1566448678937389e+20
2020-01-01,7.978516969254106e+19
2020-01-16,7.964089030907773e+19
2020-02-01,1.160753552027687e+20
2020-02-16,1.3647133183381751e+20
2020-03-01,1.1752155600356706e+20
2020-03-16,1.1513634677922043e+20
2020-04-01,1.1912781470000964e+20
2020-04-16,1.2491573984981644e+20
2020-05-01,1.4115108494095833e+20
2020-05-16,1.6618620972669947e+20
2020-06-01,1.6832059699350605e+20
2020-06-16,1.5243345442579753e+20
2020-07-01,1.4142795379684993e+20
2020-07-16,1.2276542164138775e+20
2020-08-01,1.2376142728345523e+20
2020-08-16,8.875444886692589e+19
2020-09-01,1.553080819201546e+20
2020-09-16,1.8060745140093836e+20
2020-10-01,1.900030041425792e+20
2020-10-16,1.84678813137836e+20
2020-11-01,1.686388433202993e+20
2020-11-16,1.0174689727730912e+20
2020-12-01,1.3430441362283568e+20
2020-12-16,1.2752927123126007e+20
2021-01-01,1.1605217032456554e+20
2021-01-16,1.0053828672732758e+20
2021-02-01,1.4299507348928288e+20
2021-02-16,1.185069772992577e+20
2021-03-01,1.1954397746776325e+20
2021-03-16,1.2344055283287414e+20
2021-04-01,1.5033018962082264e+20
2021-04-16,1.6736096872815395e+20
2021-05-01,1.5356909243165858e+20
2021-05-16,1.5314352432877535e+20
2021-06-01,1.5513119625591125e+20
2021-06-16,1.8385300959372073e+20
2021-07-01,1.6373793969993295e+20
2021-07-16,9.243315173974103e+19
2021-08-01,1.2545445758772481e+20
2021-08-16,1.3615376063196104e+20
2021-09-01,9.460492022156902e+19
2021-09-16,9.580198505517192e+19
2021-10-01,1.6709755463821155e+20
2021-10-16,1.7644957236856553e+20
2021-11-01,2.092629665788436e+20
2021-11-16,1.618349525307851e+20
2021-12-01,1.2896594294138025e+20
2021-12-16,1.2716413981021874e+20
2022-01-01,1.2313264366764153e+20
2022-01-16,1.1428732720130366e+20
2022-02-01,1.3290141264548053e+20
2022-02-16,1.2176328177118932e+20
2022-03-01,1.4539770856335865e+20
2022-03-16,1.4243210230715748e+20
2022-04-01,1.7355993988946408e+20
2022-04-16,1.537137053137919e+20
2022-05-01,1.7899839358264168e+20
2022-05-16,1.5270082646157092e+20
2022-06-01,1.5294193612361777e+20
2022-06-16,1.3777245453822743e+20
2022-07-01,1.1876825148797521e+20
2022-07-16,1.2668814962164343e+20
2022-08-01,1.090914977246569e+20
2022-08-16,1.0404713875710552e+20
2022-09-01,1.4599680146833082e+20
2022-09-16,1.6719105633113322e+20
2022-10-01,1.7512248328404877e+20
2022-10-16,2.025044808419107e+20
2022-11-01,1.7847981214096048e+20
2022-11-16,1.6384762558711726e+20
2022-12-01,1.3575775914273941e+20
2022-12-16,1.1596121093914775e+20
2023-01-01,1.1094134650917796e+20
2023-01-16,1.2832029940537994e+20
2023-02-01,1.1603065964543576e+20
2023-02-16,1.4773055970645253e+20
2023-03-01,1.311559563688551e+20
2023-03-16,1.2975610929579468e+20
2023-04-01,1.539065545328876e+20
2023-04-16,1.648267718390974e+20
2023-05-01,1.501154584289486e+20
2023-05-16,1.4056832664486055e+20
2023-06-01,1.5924510687837304e+20
2023-06-16,1.5353789294131544e+20
2023-07-01,1.453266685068428e+20
2023-07-16,1.290148960517159e+20
2023-08-01,1.4498660192783352e+20
2023-08-16,1.4940860701323828e+20
2023-09-01,1.3545602552008702e+20
2023-09-16,1.3797867075815473e+20
2023-10-01,1.660512720079551e+20
2023-10-16,1.9712523920253095e+20
2023-11-01,1.7652732893182676e+20
2023-11-16,1.7780389230995735e+20
2023-12-01,1.4019099063964251e+20
2023-12-16,1.4037025380283112e+20
