date,mean_concentration
2019-01-01,9.123033657233639e+19
2019-01-16,8.761883439537057e+19
2019-02-01,9.29578900424489e+19
2019-02-16,1.2329143604244274e+20
2019-03-01,1.2495509541178258e+20
2019-03-16,1.449231289077648e+20
2019-04-01,1.569875129897483e+20
2019-04-16,1.6635302927776452e+20
2019-05-01,1.4551258516757912e+20
2019-05-16,1.609823100991145e+20
2019-06-01,1.8181866483397522e+20
2019-06-16,1.4399700343885667e+20
2019-07-01,8.993071173530275e+19
2019-07-16,1.123052258227515e+20
2019-08-01,8.83085689608502e+19
2019-08-16,8.365724894859805e+19
2019-09-01,6.974239362604063e+19
2019-09-16,5.947076039394613e+19
2019-10-01,8.956880762827101e+19
2019-10-16,8.271114698546543e+19
2019-11-01,1.0082447607549359e+20
2019-11-16,1.1041281736305641e+20
2019-12-01,7.961139912265695e+19
2019-12-16,1.0077596619166399e+20
2020-01-01,7.573000570036247e+19
2020-01-16,7.702755482249955e+19
2020-02-01,8.860819659896629e+19
2020-02-16,9.986863633669698e+19
2020-03-01,1.3155596188565532e+20
2020-03-16,1.2640583468436259e+20
2020-04-01,1.5585839444586316e+20
2020-04-16,1.5035793404309045e+20
2020-05-01,1.533157682212206e+20
2020-05-16,1.7925430141321422e+20
2020-06-01,1.4548069291823643e+20
2020-06-16,1.2813624728945608e+20
2020-07-01,9.362016863788984e+19
2020-07-16,1.1465822077499693e+20
2020-08-01,9.552920811669974e+19
2020-08-16,5.673916046185143e+19
2020-09-01,9.033063801901226e+19
2020-09-16,7.783637831491102e+19
2020-10-01,8.702084314623987e+19
2020-10-16,1.0898460145403216e+20
2020-11-01,9.268753054066713e+19
2020-11-16,8.797995415944908e+19
2020-12-01,1.0629033899309623e+20
2020-12-16,8.317006817565208e+19
2021-01-01,7.829043534923127e+19
2021-01-16,6.046646256034479e+19
2021-02-01,9.61048227536117e+19
2021-02-16,9.792586638363773e+19
2021-03-01,1.3055160852991533e+20
2021-03-16,1.6206551342123676e+20
2021-04-01,2.1168920828499598e+20
2021-04-16,1.6341666804680707e+20
2021-05-01,1.518058702373446e+20
2021-05-16,1.597806124788992e+20
2021-06-01,1.5909249817254324e+20
2021-06-16,9.162607901404142e+19
2021-07-01,-1.7789474461879448e+19
2021-07-16,5.033370485780598e+19
2021-08-01,7.413409298066499e+19
2021-08-16,7.85432987249509e+19
2021-09-01,8.179377221977848e+19
2021-09-16,9.917821077669315e+19
2021-10-01,1.1703970599471974e+20
2021-10-16,9.185354462093761e+19
2021-11-01,8.036881143404896e+19
2021-11-16,9.067444819473952e+19
2021-12-01,1.0110263436839218e+20
2021-12-16,9.664858670439542e+19
2022-01-01,8.927453472202185e+19
2022-01-16,8.743953484453518e+19
2022-02-01,5.994649374029432e+19
2022-02-16,1.137876046046668e+20
2022-03-01,1.1225217554629771e+20
2022-03-16,1.6037173707176293e+20
2022-04-01,1.7841780616422818e+20
2022-04-16,1.6785183249394834e+20
2022-05-01,1.581959456007223e+20
2022-05-16,1.6845685876326544e+20
2022-06-01,1.7873733519433708e+20
2022-06-16,1.4639890632667726e+20
2022-07-01,3.857111941192866e+19
2022-07-16,9.442377756833096e+19
2022-08-01,6.640900100158809e+19
2022-08-16,9.1858085179092e+19
2022-09-01,7.887027654141121e+19
2022-09-16,9.711069070101515e+19
2022-10-01,1.0674751634015103e+20
2022-10-16,8.999865363264602e+19
2022-11-01,9.60991219801927e+19
2022-11-16,1.0256464514939891e+20
2022-12-01,7.684602878427011e+19
2022-12-16,8.298513412267475e+19
2023-01-01,1.1091921820563818e+20
2023-01-16,1.2150347469815634e+20
2023-02-01,9.271133629819799e+19
2023-02-16,1.1516262395992415e+20
2023-03-01,1.690432574730557e+20
2023-03-16,1.4506188001120225e+20
2023-04-01,1.6259734916220587e+20
2023-04-16,1.5698572708611618e+20
2023-05-01,1.3835002339867325e+20
2023-05-16,1.5805605617681052e+20
2023-06-01,1.6521868518519597e+20
2023-06-16,1.5249174985708015e+20
2023-07-01,9.049613914174051e+19
2023-07-16,7.2424998891302035e+19
2023-08-01,7.199918015193621e+19
2023-08-16,7.798642767901519e+19
2023-09-01,1.1719748387397968e+20
2023-09-16,8.833397196524854e+19
2023-10-01,1.0630235187791145e+20
2023-10-16,1.032340830577878e+20
2023-11-01,9.99761930570806e+19
2023-11-16,9.139033708323714e+19
2023-12-01,8.945862606455438e+19
2023-12-16,9.783339008402627e+19
