date,mean_concentration
2019-01-01,6.788843540075355e+19
2019-01-16,6.1926173636761625e+19
2019-02-01,7.762026089949636e+19
2019-02-16,7.952217154741561e+19
2019-03-01,8.697665422238124e+19
2019-03-16,9.640040736282113e+19
2019-04-01,1.0098477682590595e+20
2019-04-16,9.83341681917039e+19
2019-05-01,1.1707355339479492e+20
2019-05-16,1.1592991089387332e+20
2019-06-01,1.1668480685075425e+20
2019-06-16,1.1797727114260583e+20
2019-07-01,1.0217519853878891e+20
2019-07-16,8.342788296102149e+19
2019-08-01,2.8502661204358914e+19
2019-08-16,8.114732241613642e+19
2019-09-01,1.1224039501871571e+20
2019-09-16,1.0029400649371428e+20
2019-10-01,9.772531159897796e+19
2019-10-16,1.224249270505744e+20
2019-11-01,9.270561488355346e+19
2019-11-16,8.581912953696831e+19
2019-12-01,1.0380280950875467e+20
2019-12-16,7.168002998685578e+19
2020-01-01,7.995739808552152e+19
2020-01-16,5.825806462687748e+19
2020-02-01,7.053525837213264e+19
2020-02-16,1.006865576962168e+20
2020-03-01,8.407379065193839e+19
2020-03-16,9.936120827922406e+19
2020-04-01,8.459613932295173e+19
2020-04-16,9.94841552615708e+19
2020-05-01,1.0518527578912642e+20
2020-05-16,1.0094221738975368e+20
2020-06-01,1.2193198975951035e+20
2020-06-16,1.1196873210654515e+20
2020-07-01,1.076262108405358e+20
2020-07-16,7.401915105368575e+19
2020-08-01,9.8737963458389e+19
2020-08-16,8.694163901220292e+19
2020-09-01,9.869387337045831e+19
2020-09-16,1.1362992945306388e+20
2020-10-01,1.1150968326553502e+20
2020-10-16,1.4351684616252275e+20
2020-11-01,1.1746828069323627e+20
2020-11-16,9.880614796238112e+19
2020-12-01,1.0399864022244596e+20
2020-12-16,6.6019420671560516e+19
2021-01-01,5.9998819277120094e+19
2021-01-16,6.993012169157594e+19
2021-02-01,8.252558912013643e+19
2021-02-16,8.431196048348624e+19
2021-03-01,7.821208181854064e+19
2021-03-16,9.760126403226868e+19
2021-04-01,1.0287844721384792e+20
2021-04-16,1.1870821605402649e+20
2021-05-01,1.1941555643883563e+20
2021-05-16,1.1172694741875715e+20
2021-06-01,1.3125349250604814e+20
2021-06-16,1.0835602914976355e+20
2021-07-01,1.0691496790222488e+20
2021-07-16,1.0804249220468803e+20
2021-08-01,7.8472273866657e+19
2021-08-16,1.022433786058211e+20
2021-09-01,9.905067237721504e+19
2021-09-16,1.1371967715641759e+20
2021-10-01,1.0834707435323407e+20
2021-10-16,1.1400824221453573e+20
2021-11-01,9.456654108297322e+19
2021-11-16,9.854251680530232e+19
2021-12-01,7.909716004199762e+19
2021-12-16,7.0933395464299454e+19
2022-01-01,9.041637705659202e+19
2022-01-16,7.536713371105614e+19
2022-02-01,7.746981231859014e+19
2022-02-16,8.090723317121142e+19
2022-03-01,9.683906167526674e+19
2022-03-16,8.0527137279196e+19
2022-04-01,1.0256759389793142e+20
2022-04-16,9.703980000546805e+19
2022-05-01,1.136683419373e+20
2022-05-16,1.1384237551433884e+20
2022-06-01,1.1360495260392376e+20
2022-06-16,1.2445302320166615e+20
2022-07-01,8.658991117406724e+19
2022-07-16,8.13661134530189e+19
2022-08-01,1.0189381254563116e+20
2022-08-16,8.93831305629355e+19
2022-09-01,8.941904403506851e+19
2022-09-16,1.0852376782781845e+20
2022-10-01,1.0768610979682664e+20
2022-10-16,1.1576737759752849e+20
2022-11-01,1.118920665026864e+20
2022-11-16,7.930470361027674e+19
2022-12-01,8.40595597050739e+19
2022-12-16,8.011571732947426e+19
2023-01-01,7.46413363981208e+19
2023-01-16,8.001116771299161e+19
2023-02-01,7.336273490012171e+19
2023-02-16,9.424432507351722e+19
2023-03-01,1.0059155102851542e+20
2023-03-16,1.1201767035156164e+20
2023-04-01,9.770182826371773e+19
2023-04-16,1.051244882908207e+20
2023-05-01,1.201701629144319e+20
2023-05-16,1.0153024139049805e+20
2023-06-01,1.0385423663169516e+20
2023-06-16,1.2979101540355156e+20
2023-07-01,1.029797074482083e+20
2023-07-16,8.922444667148714e+19
2023-08-01,1.1459320037020878e+20
2023-08-16,1.1135511754080792e+20
2023-09-01,1.0030673906963163e+20
2023-09-16,1.1087899916570857e+20
2023-10-01,1.010634889905057e+20
2023-10-16,1.2996711341964316e+20
2023-11-01,1.1742622643108995e+20
2023-11-16,1.149352063473601e+20
2023-12-01,7.021970547510599e+19
2023-12-16,7.677214636899187e+19
