date,mean_concentration
2019-01-01,1.0635512956235978e+20
2019-01-16,1.0910779308924477e+20
2019-02-01,7.272553889730897e+19
2019-02-16,1.1981742071125121e+20
2019-03-01,1.184121988395451e+20
2019-03-16,1.4484501289200085e+20
2019-04-01,1.082837813201265e+20
2019-04-16,1.2526622647901984e+20
2019-05-01,1.1360665070020031e+20
2019-05-16,1.2993769670661438e+20
2019-06-01,1.1017749438210508e+20
2019-06-16,8.606306191114718e+19
2019-07-01,6.407893295487538e+19
2019-07-16,7.192649852880796e+19
2019-08-01,1.6974231774863428e+19
2019-08-16,6.903132507717966e+19
2019-09-01,8.945152345404495e+19
2019-09-16,6.067664818718058e+19
2019-10-01,-2.4522163143487283e+19
2019-10-16,9.794136115232375e+19
2019-11-01,9.017051226833274e+19
2019-11-16,1.0079362711076913e+20
2019-12-01,1.0856866639557712e+20
2019-12-16,7.785495465416655e+19
2020-01-01,1.2685497523848836e+20
2020-01-16,6.786213987502343e+19
2020-02-01,8.281466301278146e+19
2020-02-16,1.2034452366092401e+20
2020-03-01,1.1294207459546643e+20
2020-03-16,1.074083845367672e+20
2020-04-01,1.2614462692751439e+20
2020-04-16,1.2954822930200843e+20
2020-05-01,1.1664192909966459e+20
2020-05-16,1.2193092767749054e+20
2020-06-01,8.42068596440199e+19
2020-06-16,8.326590110077497e+19
2020-07-01,7.23635534524311e+19
2020-07-16,7.031529382172914e+19
2020-08-01,5.265794571872731e+19
2020-08-16,5.199380642559121e+19
2020-09-01,6.377113701711988e+19
2020-09-16,-4.31676101642138e+19
2020-10-01,1.1436474768422094e+20
2020-10-16,1.2811141380912872e+20
2020-11-01,1.0203877373426282e+20
2020-11-16,8.638770686124712e+19
2020-12-01,8.941693167442256e+19
2020-12-16,9.356310937830464e+19
2021-01-01,7.551160120337087e+19
2021-01-16,1.2773198564844624e+20
2021-02-01,1.0156967809094099e+20
2021-02-16,1.2594423426327398e+20
2021-03-01,1.1949512689763046e+20
2021-03-16,1.2832835532873862e+20
2021-04-01,1.3748133730643427e+20
2021-04-16,1.3046473287607119e+20
2021-05-01,1.2532622692981377e+20
2021-05-16,1.2416023722173846e+20
2021-06-01,8.870743687154477e+19
2021-06-16,6.19443766176452e+19
2021-07-01,2.6130167734092366e+19
2021-07-16,5.602961691916897e+19
2021-08-01,4.9914697762418794e+19
2021-08-16,5.18289668043519e+19
2021-09-01,-2.051357856340009e+17
2021-09-16,7.678700153757434e+19
2021-10-01,8.212970415016988e+19
2021-10-16,1.0201960282437973e+20
2021-11-01,8.86329550539613e+19
2021-11-16,6.840782912758873e+19
2021-12-01,7.276628035667639e+19
2021-12-16,1.031937545719181e+20
2022-01-01,1.0021468784105156e+20
2022-01-16,8.104437529361374e+19
2022-02-01,9.636813454209946e+19
2022-02-16,1.0752660722871496e+20
2022-03-01,1.0510746490591103e+20
2022-03-16,1.242285355133158e+20
2022-04-01,1.3617410142864065e+20
2022-04-16,1.2216381709700625e+20
2022-05-01,1.2726175629120863e+20
2022-05-16,1.2978321906347855e+20
2022-06-01,1.188274873781029e+20
2022-06-16,7.89480207560534e+19
2022-07-01,3.4811566789595197e+19
2022-07-16,7.245860021929983e+19
2022-08-01,6.945429653882527e+19
2022-08-16,5.6341766006865764e+19
2022-09-01,6.985073209298549e+19
2022-09-16,8.844927247477e+19
2022-10-01,7.537035502135789e+19
2022-10-16,9.005843077401105e+19
2022-11-01,1.0603683947012365e+20
2022-11-16,9.751979936903676e+19
2022-12-01,8.797776906430335e+19
2022-12-16,8.576510561549283e+19
2023-01-01,1.127997672509423e+20
2023-01-16,8.650092867208628e+19
2023-02-01,1.168276322438824e+20
2023-02-16,1.1293678323573834e+20
2023-03-01,1.4784193313592187e+20
2023-03-16,1.0528024494274028e+20
2023-04-01,1.1125047338331949e+20
2023-04-16,1.2905043027790638e+20
2023-05-01,1.1960878887003775e+20
2023-05-16,1.1118069108946233e+20
2023-06-01,8.97162598230908e+19
2023-06-16,7.87093409966813e+19
2023-07-01,3.2836304944992133e+19
2023-07-16,
2023-08-01,6.964211743385513e+19
2023-08-16,7.923813899709429e+19
2023-09-01,7.390399732946572e+19
2023-09-16,7.637071485603442e+19
2023-10-01,9.957697002308128e+19
2023-10-16,1.0372303179270182e+20
2023-11-01,1.1960968011492958e+20
2023-11-16,8.095984659662016e+19
2023-12-01,8.906225522727526e+19
2023-12-16,1.0327988224165495e+20
