date,mean_concentration
2019-01-01,1.366811829296607e+20
2019-01-16,1.2117858966290796e+20
2019-02-01,1.0591430505359152e+20
2019-02-16,8.358284711224641e+19
2019-03-01,1.0519672626801441e+20
2019-03-16,1.1087852589403621e+20
2019-04-01,1.4227442257712144e+20
2019-04-16,1.4325417109633488e+20
2019-05-01,1.4610747254083017e+20
2019-05-16,1.678182100430215e+20
2019-06-01,1.750170546632934e+20
2019-06-16,1.7650841660493332e+20
2019-07-01,1.2860839704253972e+20
2019-07-16,1.3055073540525598e+20
2019-08-01,1.0161550258392126e+20
2019-08-16,8.71043754932512e+19
2019-09-01,1.0342147545593722e+20
2019-09-16,1.065979042708453e+20
2019-10-01,1.4940558603570387e+20
2019-10-16,1.6724163258460052e+20
2019-11-01,1.296953812374991e+20
2019-11-16,1.3101619937496608e+20
2019-12-01,1.24712221004792e+20
2019-12-16,1.183879698493402e+20
2020-01-01,6.1027254568434156e+19
2020-01-16,7.061331076330834e+19
2020-02-01,1.1072698541398909e+20
2020-02-16,1.6520013341638777e+20
2020-03-01,1.1449079585164665e+20
2020-03-16,1.0568997762755209e+20
2020-04-01,1.1458500115367015e+20
2020-04-16,1.2641770444826562e+20
2020-05-01,1.3351522897200526e+20
2020-05-16,1.684009196508418e+20
2020-06-01,1.5725550330055036e+20
2020-06-16,1.3629581911487246e+20
2020-07-01,1.4650583039332958e+20
2020-07-16,1.1829741013503495e+20
2020-08-01,9.859132119983831e+19
2020-08-16,7.724305672581128e+19
2020-09-01,1.3368841852475923e+20
2020-09-16,1.4108572398906107e+20
2020-10-01,1.454796070203749e+20
2020-10-16,1.4849426968060894e+20
2020-11-01,1.5015881788647755e+20
2020-11-16,1.1691597641962195e+20
2020-12-01,1.2342747662266147e+20
2020-12-16,1.0779695306880185e+20
2021-01-01,1.013130134316635e+20
2021-01-16,1.0859453284586206e+20
2021-02-01,1.2116369908842922e+20
2021-02-16,1.1161593480666474e+20
2021-03-01,1.2525770231830594e+20
2021-03-16,1.1646834048904384e+20
2021-04-01,1.2334952836631804e+20
2021-04-16,1.3906018469598762e+20
2021-05-01,1.5695313066448277e+20
2021-05-16,1.4093971094517216e+20
2021-06-01,1.5912903528269464e+20
2021-06-16,1.2643283065182577e+20
2021-07-01,1.1411121567525872e+20
2021-07-16,9.63996463542364e+19
2021-08-01,1.1102989426678345e+20
2021-08-16,9.406355897645621e+19
2021-09-01,1.071292743915717e+20
2021-09-16,1.1323614796997755e+20
2021-10-01,1.5597336136864652e+20
2021-10-16,1.333933725455803e+20
2021-11-01,1.7249178079938032e+20
2021-11-16,1.3076527363758021e+20
2021-12-01,1.162987218525407e+20
2021-12-16,1.009404734629744e+20
2022-01-01,8.160493257228568e+19
2022-01-16,9.865802602127163e+19
2022-02-01,1.1241686183655252e+20
2022-02-16,1.1278228525862737e+20
2022-03-01,1.244863527934725e+20
2022-03-16,1.2943781293501902e+20
2022-04-01,1.6907982670087304e+20
2022-04-16,1.4732524295227182e+20
2022-05-01,1.922718997686943e+20
2022-05-16,1.7421297402829724e+20
2022-06-01,1.8006638069073173e+20
2022-06-16,1.6410498767951115e+20
2022-07-01,1.2273315297513051e+20
2022-07-16,1.1569385039735805e+20
2022-08-01,1.011362121295864e+20
2022-08-16,1.0482350071881979e+20
2022-09-01,1.3231628935067715e+20
2022-09-16,1.3924362554769578e+20
2022-10-01,1.3076028491214406e+20
2022-10-16,1.4340049448962712e+20
2022-11-01,1.5674604704314098e+20
2022-11-16,1.4946686628956976e+20
2022-12-01,1.2273171664447876e+20
2022-12-16,1.1246655887246182e+20
2023-01-01,1.0707663413570254e+20
2023-01-16,1.2631872570256821e+20
2023-02-01,1.1587832957325882e+20
2023-02-16,1.3693291413484354e+20
2023-03-01,1.2933588158386943e+20
2023-03-16,1.0559607645268271e+20
2023-04-01,1.148725921938279e+20
2023-04-16,1.445225159167398e+20
2023-05-01,1.672909563031585e+20
2023-05-16,1.49940427253033e+20
2023-06-01,1.556246910250017e+20
2023-06-16,1.4069008825416055e+20
2023-07-01,1.2068949707630399e+20
2023-07-16,1.1737237383180047e+20
2023-08-01,9.817925592130994e+19
2023-08-16,1.2793482943367946e+20
2023-09-01,1.4172868697494987e+20
2023-09-16,1.3350679548291539e+20
2023-10-01,1.5936179882984725e+20
2023-10-16,1.4342092018691432e+20
2023-11-01,1.6688000892241743e+20
2023-11-16,1.6339593467522197e+20
2023-12-01,1.0894379306671009e+20
2023-12-16,1.1407567375100864e+20
