date,mean_concentration
2019-01-01,1.3697273677945468e+20
2019-01-16,9.815045915577047e+19
2019-02-01,1.0393334909604487e+20
2019-02-16,1.1461509164774959e+20
2019-03-01,1.0007968487043183e+20
2019-03-16,9.612409158586738e+19
2019-04-01,1.3783404974046031e+20
2019-04-16,1.2846717984051395e+20
2019-05-01,1.4494212167427103e+20
2019-05-16,1.4999353964347805e+20
2019-06-01,1.7822386148231148e+20
2019-06-16,1.899485711267679e+20
2019-07-01,1.4408823697542008e+20
2019-07-16,1.2190527577409959e+20
2019-08-01,9.337392743859015e+19
2019-08-16,1.0347440572217806e+20
2019-09-01,1.1894494306671457e+20
2019-09-16,8.205772373522045e+19
2019-10-01,1.078139829269955e+20
2019-10-16,1.099370723669309e+20
2019-11-01,1.5392917892485834e+20
2019-11-16,1.1796608889956652e+20
2019-12-01,1.365530022246409e+20
2019-12-16,1.0335427689911186e+20
2020-01-01,7.232909662673416e+19
2020-01-16,8.988866822684002e+19
2020-02-01,1.1423514665425504e+20
2020-02-16,
2020-03-01,1.0682599357148465e+20
2020-03-16,1.0420152986462301e+20
2020-04-01,1.0104919095536637e+20
2020-04-16,9.920399844688455e+19
2020-05-01,1.4349858532031919e+20
2020-05-16,1.5484868378029808e+20
2020-06-01,1.6613824018607217e+20
2020-06-16,1.7128835133856154e+20
2020-07-01,1.4441137495596256e+20
2020-07-16,1.0439107229378154e+20
2020-08-01,9.322457581710575e+19
2020-08-16,1.0586317273341023e+20
2020-09-01,1.3278256605304655e+20
2020-09-16,1.4664939900605853e+20
2020-10-01,1.9116713948163637e+20
2020-10-16,1.5640391646662862e+20
2020-11-01,1.5781153190655495e+20
2020-11-16,1.3195663579682901e+20
2020-12-01,1.2536170650257537e+20
2020-12-16,1.2789983553362038e+20
2021-01-01,9.784192018971196e+19
2021-01-16,1.3912493611384439e+20
2021-02-01,1.1442234891441103e+20
2021-02-16,1.3299597687421549e+20
2021-03-01,1.1686356348350285e+20
2021-03-16,1.1031491616191683e+20
2021-04-01,1.3729576581288559e+20
2021-04-16,1.315081784888396e+20
2021-05-01,1.717084507976659e+20
2021-05-16,1.4305845977416332e+20
2021-06-01,1.6749516812698478e+20
2021-06-16,1.7291525097126897e+20
2021-07-01,1.4667167113363415e+20
2021-07-16,1.0704240007887679e+20
2021-08-01,1.070898329653899e+20
2021-08-16,1.2430237229133906e+20
2021-09-01,1.1235862221020842e+20
2021-09-16,1.1496121134437432e+20
2021-10-01,1.4975195328922626e+20
2021-10-16,1.7070658965315165e+20
2021-11-01,1.789222745068712e+20
2021-11-16,1.5878285690252843e+20
2021-12-01,1.2736555423740417e+20
2021-12-16,1.0980921957790828e+20
2022-01-01,9.532172990526528e+19
2022-01-16,1.0276057518869999e+20
2022-02-01,1.2896160639109495e+20
2022-02-16,1.162197123858648e+20
2022-03-01,1.333344806730758e+20
2022-03-16,1.2989565455702372e+20
2022-04-01,1.658945875299567e+20
2022-04-16,1.4215984408720933e+20
2022-05-01,2.077790105863427e+20
2022-05-16,1.661344741946984e+20
2022-06-01,1.7211708937303746e+20
2022-06-16,1.6320979811714856e+20
2022-07-01,1.3447471373840885e+20
2022-07-16,1.3817008176188575e+20
2022-08-01,9.57101090209303e+19
2022-08-16,1.0023862330308515e+20
2022-09-01,1.4418317972361965e+20
2022-09-16,1.0815666380393721e+20
2022-10-01,1.662681587621023e+20
2022-10-16,1.740266893040406e+20
2022-11-01,1.3072277254146017e+20
2022-11-16,1.645056740340834e+20
2022-12-01,1.4676058777101628e+20
2022-12-16,1.2195548193929783e+20
2023-01-01,1.1553193198264594e+20
2023-01-16,1.241681874349206e+20
2023-02-01,1.1848223039311099e+20
2023-02-16,1.1513984636657866e+20
2023-03-01,1.4908290575236186e+20
2023-03-16,8.429945484489027e+19
2023-04-01,1.1697085682555927e+20
2023-04-16,1.2633337385257568e+20
2023-05-01,1.3037085979781497e+20
2023-05-16,1.4915661785694926e+20
2023-06-01,1.3388768180100746e+20
2023-06-16,1.3528269492404101e+20
2023-07-01,1.2807426327866748e+20
2023-07-16,1.2320195347828218e+20
2023-08-01,
2023-08-16,1.6026162820750282e+20
2023-09-01,1.3984011784429832e+20
2023-09-16,1.455160233954445e+20
2023-10-01,1.819746303865653e+20
2023-10-16,1.4001608312075307e+20
2023-11-01,1.677014635172772e+20
2023-11-16,1.6601299315221676e+20
2023-12-01,1.1632056466744089e+20
2023-12-16,1.369529333091492e+20
