date,mean_concentration
2019-01-01,1.1249937597112363e+20
2019-01-16,1.1107202498691337e+20
2019-02-01,1.1451604152639996e+20
2019-02-16,1.199763094642935e+20
2019-03-01,1.1995218448354963e+20
2019-03-16,1.2603867775066168e+20
2019-04-01,1.0446554648521856e+20
2019-04-16,1.2562818521963561e+20
2019-05-01,1.570463550922755e+20
2019-05-16,1.4796444117497302e+20
2019-06-01,1.305266423764007e+20
2019-06-16,1.2883994570540045e+20
2019-07-01,1.3757616486988184e+20
2019-07-16,1.1562933669478873e+20
2019-08-01,1.103702648345049e+20
2019-08-16,1.0655636158180791e+20
2019-09-01,1.2844986895177386e+20
2019-09-16,1.124757720049818e+20
2019-10-01,1.256857662774689e+20
2019-10-16,9.098154766742227e+19
2019-11-01,9.85387248356641e+19
2019-11-16,1.089137203531497e+20
2019-12-01,9.710131473186647e+19
2019-12-16,7.920309826119513e+19
2020-01-01,8.445595286963244e+19
2020-01-16,1.303918546516618e+20
2020-02-01,1.0455153039494998e+20
2020-02-16,1.4964253860582746e+20
2020-03-01,1.300946796439175e+20
2020-03-16,1.5469390044306113e+20
2020-04-01,1.5424762460068286e+20
2020-04-16,1.0218240985655067e+20
2020-05-01,1.208973408444563e+20
2020-05-16,1.3127278867302162e+20
2020-06-01,1.4917607523078567e+20
2020-06-16,1.2503081804266004e+20
2020-07-01,9.163675323278744e+19
2020-07-16,1.064110901779993e+20
2020-08-01,1.0993349865424427e+20
2020-08-16,1.0148985594720679e+20
2020-09-01,1.0895130145215932e+20
2020-09-16,1.403107794314352e+20
2020-10-01,1.1347957545504293e+20
2020-10-16,1.3147579556878085e+20
2020-11-01,1.0914591103797061e+20
2020-11-16,9.170102618849649e+19
2020-12-01,9.665642558495234e+19
2020-12-16,1.0682052759146403e+20
2021-01-01,1.1124680382553021e+20
2021-01-16,9.930793830078703e+19
2021-02-01,1.066776509014161e+20
2021-02-16,1.4519170458553082e+20
2021-03-01,1.3326741555828697e+20
2021-03-16,1.807456400930456e+20
2021-04-01,1.5305853977654267e+20
2021-04-16,1.509704866199976e+20
2021-05-01,1.2002539683843192e+20
2021-05-16,1.3085865336535176e+20
2021-06-01,7.3427512549840716e+19
2021-06-16,7.56410861805112e+19
2021-07-01,2.41878069088276e+20
2021-07-16,1.1234109869172697e+20
2021-08-01,1.5506841674039833e+20
2021-08-16,7.1435335954053054e+19
2021-09-01,1.3175767447915651e+20
2021-09-16,1.3825073874443859e+20
2021-10-01,1.4542123403676759e+20
2021-10-16,1.1072929018525055e+20
2021-11-01,1.2053370122125907e+20
2021-11-16,1.3423665553435854e+20
2021-12-01,9.312448289267733e+19
2021-12-16,1.1473987399431296e+20
2022-01-01,1.2760016577567159e+20
2022-01-16,7.16585797677924e+19
2022-02-01,9.887932990827633e+19
2022-02-16,1.285863442989469e+20
2022-03-01,1.427828590636124e+20
2022-03-16,1.7658176509281613e+20
2022-04-01,1.3264839789408256e+20
2022-04-16,1.5920558471946414e+20
2022-05-01,1.4016953307162822e+20
2022-05-16,1.4189591761715623e+20
2022-06-01,
2022-06-16,9.684602298467126e+19
2022-07-01,1.1777888353289922e+20
2022-07-16,1.4406129818406173e+20
2022-08-01,1.3032952953204507e+20
2022-08-16,1.4297673562946639e+20
2022-09-01,1.0602377420237385e+20
2022-09-16,1.36947238578201e+20
2022-10-01,1.1725430224261484e+20
2022-10-16,1.1070760680865982e+20
2022-11-01,1.178943107685704e+20
2022-11-16,1.1193620167989261e+20
2022-12-01,1.0682836718824709e+20
2022-12-16,1.1557502779142588e+20
2023-01-01,1.1768684793500793e+20
2023-01-16,1.1248087771435691e+20
2023-02-01,1.643070370295076e+20
2023-02-16,1.4496502142133916e+20
2023-03-01,1.6234733600618142e+20
2023-03-16,1.2373125072690351e+20
2023-04-01,1.2484929209525212e+20
2023-04-16,1.6376184496620624e+20
2023-05-01,1.52282355815336e+20
2023-05-16,1.3718079617982441e+20
2023-06-01,1.8481502534467617e+20
2023-06-16,1.267895751335914e+20
2023-07-01,1.1855889238213155e+20
2023-07-16,1.2464678526129719e+20
2023-08-01,1.2079460768806073e+20
2023-08-16,1.2687435176180027e+20
2023-09-01,1.598622193516467e+20
2023-09-16,1.3488799550772668e+20
2023-10-01,1.2179707662719014e+20
2023-10-16,1.1375436918727272e+20
2023-11-01,1.2238639612291944e+20
2023-11-16,1.0813210782487262e+20
2023-12-01,1.2365914367483547e+20
2023-12-16,1.1365470261334163e+20
