date,mean_concentration
2019-01-01,1.1929154136862926e+20
2019-01-16,1.2752801316140104e+20
2019-02-01,9.861589868162248e+19
2019-02-16,8.383495777787865e+19
2019-03-01,8.483583445027614e+19
2019-03-16,8.534908071212351e+19
2019-04-01,9.919077576487782e+19
2019-04-16,9.610323580399e+19
2019-05-01,1.2544056935626762e+20
2019-05-16,1.5578809706447687e+20
2019-06-01,1.5180765721346523e+20
2019-06-16,1.6321609286329903e+20
2019-07-01,1.591172079932177e+20
2019-07-16,1.2715690545406024e+20
2019-08-01,6.80684237465193e+19
2019-08-16,7.762827870572454e+19
2019-09-01,1.4541690879046848e+20
2019-09-16,6.270695607920357e+19
2019-10-01,1.2402507801192658e+20
2019-10-16,1.4365581159401654e+20
2019-11-01,1.4733578180470063e+20
2019-11-16,1.1320525138123204e+20
2019-12-01,1.3589117850570036e+20
2019-12-16,1.1681370192169717e+20
2020-01-01,8.656002736472266e+19
2020-01-16,9.77381993145257e+19
2020-02-01,9.421032634498672e+19
2020-02-16,8.053589725958919e+19
2020-03-01,9.667715144805954e+19
2020-03-16,7.559330668881745e+19
2020-04-01,6.4503015234833875e+19
2020-04-16,9.306255151556089e+19
2020-05-01,1.2312756311101363e+20
2020-05-16,1.4599041825419705e+20
2020-06-01,1.4568757232730202e+20
2020-06-16,1.5156623344550396e+20
2020-07-01,1.2370964755491506e+20
2020-07-16,1.2871160933657108e+20
2020-08-01,1.147179755490112e+20
2020-08-16,7.393276605589114e+19
2020-09-01,1.0292299145570863e+20
2020-09-16,1.1340972493554083e+20
2020-10-01,1.3606579936301516e+20
2020-10-16,1.5067196875722965e+20
2020-11-01,1.7124948811096487e+20
2020-11-16,1.223929891365188e+20
2020-12-01,9.040255929206696e+19
2020-12-16,1.2758456610697929e+20
2021-01-01,1.3231765879790389e+20
2021-01-16,9.623716746810198e+19
2021-02-01,1.098586246153402e+20
2021-02-16,9.944707504479497e+19
2021-03-01,7.965697028064254e+19
2021-03-16,1.0411902783348703e+20
2021-04-01,1.0019427518835628e+20
2021-04-16,1.1613503223137154e+20
2021-05-01,1.4710912973529571e+20
2021-05-16,1.6753366303738937e+20
2021-06-01,2.0269341888680077e+20
2021-06-16,1.7318574668739386e+20
2021-07-01,1.547940572204569e+20
2021-07-16,1.0132417701571579e+20
2021-08-01,1.4725006754082929e+20
2021-08-16,1.2946526509711996e+20
2021-09-01,1.2052463880831489e+20
2021-09-16,1.2617078244198587e+20
2021-10-01,1.1445899077122046e+20
2021-10-16,1.3522054859151627e+20
2021-11-01,1.3970797777178121e+20
2021-11-16,1.4565695468441603e+20
2021-12-01,1.2852728194760829e+20
2021-12-16,1.2931788333050754e+20
2022-01-01,8.244733319419011e+19
2022-01-16,1.0524092311322732e+20
2022-02-01,1.0332673667864142e+20
2022-02-16,1.113581388350327e+20
2022-03-01,1.0336358536700663e+20
2022-03-16,8.639529856412333e+19
2022-04-01,1.22069273170186e+20
2022-04-16,1.0672714386579566e+20
2022-05-01,1.7158834739067254e+20
2022-05-16,1.628388244350491e+20
2022-06-01,1.8837940289693162e+20
2022-06-16,1.5449686602578965e+20
2022-07-01,1.3923511195852813e+20
2022-07-16,1.421947858342705e+20
2022-08-01,1.0696898841677688e+20
2022-08-16,1.2204154755003608e+20
2022-09-01,1.2626834001897996e+20
2022-09-16,1.2056584668319644e+20
2022-10-01,1.1321928590251614e+20
2022-10-16,1.3715192001538795e+20
2022-11-01,1.326055883332504e+20
2022-11-16,1.2559543795099782e+20
2022-12-01,1.3579242248530828e+20
2022-12-16,1.180864237552204e+20
2023-01-01,1.2035618780458361e+20
2023-01-16,1.0037051428230308e+20
2023-02-01,8.950870129090898e+19
2023-02-16,1.0307782947079312e+20
2023-03-01,1.0605322313706758e+20
2023-03-16,8.311728852583883e+19
2023-04-01,9.680126542640705e+19
2023-04-16,1.0361843755154332e+20
2023-05-01,1.122176372889475e+20
2023-05-16,1.4258654199522017e+20
2023-06-01,1.3151652520422472e+20
2023-06-16,1.5212863084611794e+20
2023-07-01,7.168796964920311e+19
2023-07-16,1.130197629425423e+20
2023-08-01,1.406855055102518e+20
2023-08-16,1.1739958384672819e+20
2023-09-01,1.3033139992766974e+20
2023-09-16,1.220466102179592e+20
2023-10-01,1.4157323377314837e+20
2023-10-16,1.2831007049707028e+20
2023-11-01,1.2128121041342654e+20
2023-11-16,1.612852163420379e+20
2023-12-01,1.0177840551880656e+20
2023-12-16,1.4201992055937935e+20
