date,mean_concentration
2019-01-01,5.473359095157079e+19
2019-01-16,8.928337364392886e+19
2019-02-01,7.502402255336564e+19
2019-02-16,8.376111368225319e+19
2019-03-01,1.216983378166407e+20
2019-03-16,9.716614176906043e+19
2019-04-01,1.0276201382889403e+20
2019-04-16,1.0480883421057516e+20
2019-05-01,1.3425685148030665e+20
2019-05-16,1.3041061733582452e+20
2019-06-01,1.125229775547516e+20
2019-06-16,8.85401009104498e+19
2019-07-01,8.543423733896592e+19
2019-07-16,6.778208824316802e+19
2019-08-01,8.833257578569712e+19
2019-08-16,8.067808138038333e+19
2019-09-01,8.968486380296724e+19
2019-09-16,5.583743403805076e+19
2019-10-01,7.666890760810881e+19
2019-10-16,6.175569005073714e+19
2019-11-01,8.253172822598643e+19
2019-11-16,5.364014359078549e+19
2019-12-01,
2019-12-16,3.830546143923129e+19
2020-01-01,7.052822725446035e+19
2020-01-16,6.0945719767251575e+19
2020-02-01,3.2294647928316568e+19
2020-02-16,7.302732742083592e+19
2020-03-01,9.239534658226461e+19
2020-03-16,8.426891177372579e+19
2020-04-01,1.0015137023028498e+20
2020-04-16,9.51521861490116e+19
2020-05-01,1.0225958526610642e+20
2020-05-16,1.3979102466873698e+20
2020-06-01,9.805090731459351e+19
2020-06-16,7.44628247893813e+19
2020-07-01,7.032401400597178e+19
2020-07-16,8.047859779499765e+19
2020-08-01,7.54848885923249e+19
2020-08-16,9.304538052925019e+19
2020-09-01,6.6181536754019385e+19
2020-09-16,7.859163892552304e+19
2020-10-01,1.1410924998703027e+20
2020-10-16,6.738561537354335e+19
2020-11-01,1.035178802977325e+20
2020-11-16,1.7737856554164462e+19
2020-12-01,5.465036757561105e+19
2020-12-16,3.1550619944139563e+19
2021-01-01,1.0526952121427557e+18
2021-01-16,6.3864679618869e+19
2021-02-01,6.840549968535483e+19
2021-02-16,8.99655785607802e+19
2021-03-01,8.280437412967666e+19
2021-03-16,9.697369616370316e+19
2021-04-01,1.0039062981448473e+20
2021-04-16,1.253668075537758e+20
2021-05-01,8.963734159437695e+19
2021-05-16,1.1223943858724712e+20
2021-06-01,1.168576177570649e+20
2021-06-16,8.013399894589268e+19
2021-07-01,-1.131260736509915e+18
2021-07-16,6.835310051610138e+19
2021-08-01,8.309362763854673e+19
2021-08-16,9.720420488280362e+19
2021-09-01,8.216880013963993e+19
2021-09-16,8.62054300984833e+19
2021-10-01,7.478586236075481e+19
2021-10-16,8.202377983739308e+19
2021-11-01,
2021-11-16,4.213595305029976e+19
2021-12-01,8.299863070270675e+19
2021-12-16,8.524346783642131e+19
2022-01-01,8.351865951749872e+19
2022-01-16,9.14659519182126e+19
2022-02-01,7.450429995772733e+19
2022-02-16,7.790101693097196e+19
2022-03-01,8.86730933445619e+19
2022-03-16,1.4170338837338422e+20
2022-04-01,9.037510661973513e+19
2022-04-16,1.1236667655201427e+20
2022-05-01,1.3950836969694105e+20
2022-05-16,1.0904020947716393e+20
2022-06-01,1.2294067451682447e+20
2022-06-16,8.024552068236068e+19
2022-07-01,9.94914083445946e+19
2022-07-16,6.5331940793612214e+19
2022-08-01,6.80021693306149e+19
2022-08-16,7.39773338607905e+19
2022-09-01,6.023118693251031e+19
2022-09-16,1.1211623815462771e+20
2022-10-01,9.272621562559296e+19
2022-10-16,1.0277681430294518e+20
2022-11-01,6.547332702387289e+19
2022-11-16,5.926275961156019e+19
2022-12-01,3.8646412505697526e+19
2022-12-16,6.9296694867078275e+19
2023-01-01,7.240635980153309e+19
2023-01-16,5.9949519913508045e+19
2023-02-01,1.1484467377042447e+20
2023-02-16,8.435594019525121e+19
2023-03-01,8.0884940058558e+19
2023-03-16,1.2300831852268544e+20
2023-04-01,1.0490425496967741e+20
2023-04-16,1.0397182703382213e+20
2023-05-01,1.016955236079072e+20
2023-05-16,1.503135095060309e+20
2023-06-01,1.2844136630755615e+20
2023-06-16,7.649332309195234e+19
2023-07-01,7.067682963670179e+19
2023-07-16,8.16465098933507e+19
2023-08-01,8.13088127482014e+19
2023-08-16,9.915616510516671e+19
2023-09-01,7.557798286774963e+19
2023-09-16,1.0106112436495616e+20
2023-10-01,1.036847115825791e+20
2023-10-16,8.396081163423698e+19
2023-11-01,7.81081273546013e+19
2023-11-16,6.922254914100119e+19
2023-12-01,1.4371863925771587e+20
2023-12-16,4.5090935284220985e+19
