date,mean_concentration
2019-01-01,8.261028347285789e+19
2019-01-16,5.709995063642226e+19
2019-02-01,9.914374876928062e+19
2019-02-16,1.0319374093375875e+20
2019-03-01,1.1628026876207361e+20
2019-03-16,9.793883936753125e+19
2019-04-01,9.204553021998663e+19
2019-04-16,9.686983115716744e+19
2019-05-01,1.420196126977638e+20
2019-05-16,1.3093636159133188e+20
2019-06-01,1.0348363550879839e+20
2019-06-16,8.853220428192396e+19
2019-07-01,6.186759883639585e+19
2019-07-16,8.50212210463292e+19
2019-08-01,6.492310585680514e+19
2019-08-16,7.317653219840029e+19
2019-09-01,8.11388807557106e+19
2019-09-16,5.563712586099644e+19
2019-10-01,7.305366831297834e+19
2019-10-16,5.093671806172181e+19
2019-11-01,7.210995951967529e+19
2019-11-16,6.6173670296107475e+19
2019-12-01,6.415297289538062e+19
2019-12-16,4.870416644676349e+19
2020-01-01,8.12814676776518e+19
2020-01-16,8.528564201083563e+19
2020-02-01,5.392403060377948e+19
2020-02-16,6.968673206678113e+19
2020-03-01,9.736246935457083e+19
2020-03-16,8.310445596191913e+19
2020-04-01,9.538870933533898e+19
2020-04-16,1.01288043171745e+20
2020-05-01,9.611050840653385e+19
2020-05-16,1.4664762483851415e+20
2020-06-01,9.342009626478336e+19
2020-06-16,6.000369020997872e+19
2020-07-01,6.409614490242252e+19
2020-07-16,7.44211322458002e+19
2020-08-01,
2020-08-16,5.885453249290973e+19
2020-09-01,4.9007156871274545e+19
2020-09-16,3.884754008103317e+19
2020-10-01,1.0472222455393406e+20
2020-10-16,1.0435507341639621e+20
2020-11-01,8.91382393946807e+19
2020-11-16,5.310428873821632e+19
2020-12-01,5.555737548226724e+19
2020-12-16,7.3414076722665e+19
2021-01-01,5.634511409486585e+19
2021-01-16,6.945437799195019e+19
2021-02-01,8.077480296685973e+19
2021-02-16,1.0644917669952841e+20
2021-03-01,8.76522002534036e+19
2021-03-16,1.0540361101848037e+20
2021-04-01,1.100921919592526e+20
2021-04-16,1.138550107535981e+20
2021-05-01,7.896492913545336e+19
2021-05-16,1.2393862577894906e+20
2021-06-01,8.271596619804362e+19
2021-06-16,9.217274483723603e+19
2021-07-01,-3.1899943483872906e+18
2021-07-16,5.788837982196571e+19
2021-08-01,9.346542517199412e+19
2021-08-16,7.343166422647655e+19
2021-09-01,7.222188233374505e+19
2021-09-16,7.987886898053872e+19
2021-10-01,5.0249369168262414e+19
2021-10-16,6.438634314843195e+19
2021-11-01,-7.2153358449308e+19
2021-11-16,3.883073417883165e+19
2021-12-01,6.85367927553498e+19
2021-12-16,8.225578665548172e+19
2022-01-01,8.129546005052015e+19
2022-01-16,9.782878316362301e+19
2022-02-01,9.175822717221786e+19
2022-02-16,7.410351382991482e+19
2022-03-01,9.666625896962354e+19
2022-03-16,1.3779353236872803e+20
2022-04-01,7.646445517666758e+19
2022-04-16,1.2410078063377054e+20
2022-05-01,1.4725234290659262e+20
2022-05-16,1.1020394653856704e+20
2022-06-01,1.3832720013097381e+20
2022-06-16,9.204986485700357e+19
2022-07-01,1.1582098508157908e+20
2022-07-16,7.52260805256033e+19
2022-08-01,2.4489761364659524e+19
2022-08-16,7.935663727948484e+19
2022-09-01,3.786074106711881e+19
2022-09-16,9.69183656571022e+19
2022-10-01,5.703424524087149e+19
2022-10-16,8.0343400590706e+19
2022-11-01,6.8898812459292385e+19
2022-11-16,8.134129162108704e+19
2022-12-01,3.4849019243670675e+19
2022-12-16,6.809746286479391e+19
2023-01-01,9.035776789787697e+19
2023-01-16,6.371182587417534e+19
2023-02-01,1.2053142576567809e+20
2023-02-16,1.087715368981022e+20
2023-03-01,9.21626719502438e+19
2023-03-16,1.041947267631013e+20
2023-04-01,8.683625800195998e+19
2023-04-16,9.176949439383016e+19
2023-05-01,9.240140210425627e+19
2023-05-16,1.5285303124509793e+20
2023-06-01,1.605388087461464e+20
2023-06-16,9.950186589206795e+19
2023-07-01,6.546344707076694e+19
2023-07-16,6.59808888918316e+19
2023-08-01,7.189622963513622e+19
2023-08-16,8.163992086184187e+19
2023-09-01,9.587422127169513e+19
2023-09-16,8.527691383750341e+19
2023-10-01,1.0279066035823223e+20
2023-10-16,1.1122490938162266e+20
2023-11-01,9.10427111027616e+19
2023-11-16,8.787909106489862e+19
2023-12-01,8.208520675678983e+19
2023-12-16,9.224332588286385e+19
