date,mean_concentration
2019-01-01,1.0950325952728585e+20
2019-01-16,1.3071600506453495e+20
2019-02-01,9.875041744587127e+19
2019-02-16,1.0335868381767873e+20
2019-03-01,1.0196935198075385e+20
2019-03-16,1.0003135304771464e+20
2019-04-01,1.2719418970673526e+20
2019-04-16,1.4160337888574092e+20
2019-05-01,1.3990574517848988e+20
2019-05-16,1.6633377608839447e+20
2019-06-01,1.8216482216472163e+20
2019-06-16,1.7009799535564885e+20
2019-07-01,1.5488371536943094e+20
2019-07-16,1.3339799099420552e+20
2019-08-01,1.0825963072508744e+20
2019-08-16,9.17751052118747e+19
2019-09-01,1.2255057971041306e+20
2019-09-16,1.1935269776245567e+20
2019-10-01,1.2309092773150638e+20
2019-10-16,1.7097943934259246e+20
2019-11-01,8.554052626707168e+19
2019-11-16,1.2830643409245436e+20
2019-12-01,1.2310617727143318e+20
2019-12-16,1.0102379710630027e+20
2020-01-01,5.732015284857982e+19
2020-01-16,8.043755353768526e+19
2020-02-01,9.903710065585267e+19
2020-02-16,1.3267704275707919e+20
2020-03-01,1.2056863992231263e+20
2020-03-16,9.212106920331611e+19
2020-04-01,1.1032372981097549e+20
2020-04-16,1.4182554593195298e+20
2020-05-01,1.4467498646389447e+20
2020-05-16,1.669002792096842e+20
2020-06-01,1.612073604855759e+20
2020-06-16,1.361996781140102e+20
2020-07-01,1.1928749409664582e+20
2020-07-16,1.1586550096056443e+20
2020-08-01,9.308036656287469e+19
2020-08-16,8.125218356152544e+19
2020-09-01,1.1713941255368018e+20
2020-09-16,1.3955494493833426e+20
2020-10-01,1.3759442931765831e+20
2020-10-16,1.4535598041366651e+20
2020-11-01,1.3543027374564611e+20
2020-11-16,1.1722774606897943e+20
2020-12-01,1.3449704303628413e+20
2020-12-16,1.0752109667681763e+20
2021-01-01,1.0545182160445153e+20
2021-01-16,8.849697024067741e+19
2021-02-01,1.0346776450748604e+20
2021-02-16,1.0269338683484922e+20
2021-03-01,1.0148143625501413e+20
2021-03-16,1.0521370588737469e+20
2021-04-01,1.114027238720689e+20
2021-04-16,1.4506913650865163e+20
2021-05-01,1.6842006192491935e+20
2021-05-16,1.5162501647387532e+20
2021-06-01,1.6251627788319772e+20
2021-06-16,1.3971720200429365e+20
2021-07-01,1.4421385452353067e+20
2021-07-16,1.1413465210253305e+20
2021-08-01,9.47236361717717e+19
2021-08-16,9.713964308969695e+19
2021-09-01,9.566626516698674e+19
2021-09-16,8.850412354047554e+19
2021-10-01,1.3422287861728554e+20
2021-10-16,1.352572788401807e+20
2021-11-01,1.529625733299614e+20
2021-11-16,1.323783733926315e+20
2021-12-01,1.0207992757463917e+20
2021-12-16,1.1773569033208226e+20
2022-01-01,1.0009594958814773e+20
2022-01-16,9.069156734878083e+19
2022-02-01,9.859158990748189e+19
2022-02-16,1.061806935436745e+20
2022-03-01,9.345161546403896e+19
2022-03-16,1.0931913508211132e+20
2022-04-01,1.6111798523994472e+20
2022-04-16,1.2543113527565654e+20
2022-05-01,1.917500294370905e+20
2022-05-16,1.7949693246582355e+20
2022-06-01,1.797123920407455e+20
2022-06-16,1.6155758143303936e+20
2022-07-01,1.2393631331992196e+20
2022-07-16,1.202991783580711e+20
2022-08-01,1.1519622635490773e+20
2022-08-16,1.0034080639669854e+20
2022-09-01,1.2814985539284882e+20
2022-09-16,1.1915200487043334e+20
2022-10-01,1.130345012298966e+20
2022-10-16,1.2604510004142064e+20
2022-11-01,1.5288070855856407e+20
2022-11-16,1.4172549895690214e+20
2022-12-01,1.1316962787576018e+20
2022-12-16,1.0572246578682084e+20
2023-01-01,9.682868270181425e+19
2023-01-16,1.1177357530718277e+20
2023-02-01,9.77019390893917e+19
2023-02-16,1.141872711773199e+20
2023-03-01,1.2176543176805643e+20
2023-03-16,1.0316851768083086e+20
2023-04-01,1.0483695588153118e+20
2023-04-16,1.2948510460073162e+20
2023-05-01,1.6045055321053544e+20
2023-05-16,1.5654506462606718e+20
2023-06-01,1.5546100442280745e+20
2023-06-16,1.4117948962849913e+20
2023-07-01,1.1248354998835428e+20
2023-07-16,1.1938110256322724e+20
2023-08-01,1.2770964260491688e+20
2023-08-16,1.1680916224566465e+20
2023-09-01,1.4074517155262043e+20
2023-09-16,1.0506654256950349e+20
2023-10-01,1.4150323057466184e+20
2023-10-16,1.2853752620309429e+20
2023-11-01,1.5018784121766193e+20
2023-11-16,1.577751105197449e+20
2023-12-01,9.811460409113302e+19
2023-12-16,1.0977483429325894e+20
