date,mean_concentration
2019-01-01,1.1601141964501711e+20
2019-01-16,1.2266462233993996e+20
2019-02-01,1.1143663279921363e+20
2019-02-16,9.016068221268214e+19
2019-03-01,8.937297471137058e+19
2019-03-16,9.890008105459214e+19
2019-04-01,1.0325333764428856e+20
2019-04-16,1.2957200895608668e+20
2019-05-01,1.3278975628673253e+20
2019-05-16,1.7174229194749736e+20
2019-06-01,1.648553470131426e+20
2019-06-16,1.907960595371399e+20
2019-07-01,1.5871654400490383e+20
2019-07-16,1.216778158092061e+20
2019-08-01,1.0164377069212878e+20
2019-08-16,8.425184413339809e+19
2019-09-01,9.413028236939392e+19
2019-09-16,8.680640324114024e+19
2019-10-01,1.3663499499746977e+20
2019-10-16,1.2053151888880837e+20
2019-11-01,1.5441053443328954e+20
2019-11-16,8.351209051742449e+19
2019-12-01,8.646334194361588e+19
2019-12-16,6.9555871993940705e+19
2020-01-01,9.475199756665876e+19
2020-01-16,6.896834478277461e+19
2020-02-01,8.211661708749047e+19
2020-02-16,8.80245858858099e+19
2020-03-01,7.846860547873597e+19
2020-03-16,7.438685406214996e+19
2020-04-01,7.550507023942322e+19
2020-04-16,9.133665835417693e+19
2020-05-01,1.1171405167998417e+20
2020-05-16,1.4593586204157569e+20
2020-06-01,1.5084803617487982e+20
2020-06-16,1.1999688210040545e+20
2020-07-01,1.284408986644173e+20
2020-07-16,1.65515909054615e+20
2020-08-01,1.4281009581388513e+20
2020-08-16,7.684133409744077e+19
2020-09-01,1.2057459201121085e+20
2020-09-16,1.145608030605787e+20
2020-10-01,1.3545202103623616e+20
2020-10-16,1.4126453860970709e+20
2020-11-01,1.3704974611471136e+20
2020-11-16,9.071202358517455e+19
2020-12-01,1.079707793097778e+20
2020-12-16,1.0842514364233702e+20
2021-01-01,7.661267985613362e+19
2021-01-16,1.1696582527920221e+20
2021-02-01,1.0538164023721448e+20
2021-02-16,8.989859592681185e+19
2021-03-01,1.1429616545028027e+20
2021-03-16,1.1178947914743136e+20
2021-04-01,1.3752143663984278e+20
2021-04-16,1.1891311539643004e+20
2021-05-01,1.4394647226988588e+20
2021-05-16,1.547793660958208e+20
2021-06-01,1.562998184265292e+20
2021-06-16,1.2430669631312588e+20
2021-07-01,2.353306375820993e+20
2021-07-16,7.520440266989765e+19
2021-08-01,1.020636054984135e+20
2021-08-16,1.3792809083265989e+20
2021-09-01,9.98736147292514e+19
2021-09-16,8.820377586286004e+19
2021-10-01,1.1158550810548835e+20
2021-10-16,1.2048091665491149e+20
2021-11-01,1.431893557463112e+20
2021-11-16,1.2992958986554117e+20
2021-12-01,1.1467490597414897e+20
2021-12-16,9.279647700664263e+19
2022-01-01,9.441860222248598e+19
2022-01-16,1.0822442755922333e+20
2022-02-01,1.1530198463121072e+20
2022-02-16,8.841468111653885e+19
2022-03-01,1.0108822140651436e+20
2022-03-16,1.0726179415345722e+20
2022-04-01,1.5464022147321102e+20
2022-04-16,1.2753492376968207e+20
2022-05-01,1.98277710599218e+20
2022-05-16,1.678991395944585e+20
2022-06-01,1.835189866601699e+20
2022-06-16,1.7633929574423934e+20
2022-07-01,1.059886876277636e+20
2022-07-16,1.0903291933990278e+20
2022-08-01,1.0654806011738744e+20
2022-08-16,9.336899981330342e+19
2022-09-01,1.208208707905212e+20
2022-09-16,9.928485203552369e+19
2022-10-01,1.2855836012462999e+20
2022-10-16,1.2657731064238154e+20
2022-11-01,9.038258701516299e+19
2022-11-16,1.0835497030737605e+20
2022-12-01,1.017475649514553e+20
2022-12-16,1.1893622798501495e+20
2023-01-01,1.1053531986373637e+20
2023-01-16,9.367731068707799e+19
2023-02-01,8.780403164953587e+19
2023-02-16,9.974359535011196e+19
2023-03-01,1.0064556866285899e+20
2023-03-16,7.554142486041145e+19
2023-04-01,9.047053504996073e+19
2023-04-16,1.0810050055535803e+20
2023-05-01,1.1245117240753458e+20
2023-05-16,1.3069341717660384e+20
2023-06-01,1.4815659369162952e+20
2023-06-16,1.6275859601135007e+20
2023-07-01,9.538757176576048e+19
2023-07-16,1.1475563077129663e+20
2023-08-01,1.622354456935707e+20
2023-08-16,1.367040556293586e+20
2023-09-01,9.797143991760262e+19
2023-09-16,1.0315106587557988e+20
2023-10-01,1.3749226038232542e+20
2023-10-16,1.1486755127884975e+20
2023-11-01,1.2991157987475685e+20
2023-11-16,9.949710664049017e+19
2023-12-01,9.340784126045128e+19
2023-12-16,1.3792965392245614e+20
