date,mean_concentration
2019-01-01,9.269004337890065e+19
2019-01-16,1.0110450919976226e+20
2019-02-01,1.0346630633627714e+20
2019-02-16,1.210807792782516e+20
2019-03-01,1.546638766792319e+20
2019-03-16,1.2998707977017511e+20
2019-04-01,1.596117341133426e+20
2019-04-16,1.3453855427040595e+20
2019-05-01,1.462939757057871e+20
2019-05-16,1.6849912948799327e+20
2019-06-01,1.9147946186091063e+20
2019-06-16,1.534367825586004e+20
2019-07-01,1.3028790874250617e+20
2019-07-16,1.1162597995247491e+20
2019-08-01,1.0769945417151912e+20
2019-08-16,8.03138287184758e+19
2019-09-01,9.351041345254459e+19
2019-09-16,9.034551995262583e+19
2019-10-01,9.283913123423609e+19
2019-10-16,1.1034056797786628e+20
2019-11-01,9.9844777036454e+19
2019-11-16,1.04203687009291e+20
2019-12-01,8.756937926152967e+19
2019-12-16,9.960875279771158e+19
2020-01-01,1.0276452724311992e+20
2020-01-16,8.932074409798779e+19
2020-02-01,9.25871972692149e+19
2020-02-16,1.1499923437410645e+20
2020-03-01,1.3539354737956622e+20
2020-03-16,1.3462561785678109e+20
2020-04-01,1.3700340195551001e+20
2020-04-16,1.3678022448112383e+20
2020-05-01,1.3987371724632465e+20
2020-05-16,1.7676703515524265e+20
2020-06-01,1.606158316994079e+20
2020-06-16,9.851385058501272e+19
2020-07-01,1.1487147659696118e+20
2020-07-16,8.337976264049826e+19
2020-08-01,1.4040913378243315e+20
2020-08-16,5.919735920553718e+19
2020-09-01,1.0155150241967923e+20
2020-09-16,9.217977507949073e+19
2020-10-01,5.394901479084456e+19
2020-10-16,1.0761133946686852e+20
2020-11-01,1.0166701149213508e+20
2020-11-16,1.0453889753381264e+20
2020-12-01,9.084308856492817e+19
2020-12-16,1.23579581633301e+20
2021-01-01,1.0825067365431812e+20
2021-01-16,9.644789114341599e+19
2021-02-01,1.0897372322766956e+20
2021-02-16,9.85921275780228e+19
2021-03-01,1.4108381758182449e+20
2021-03-16,1.4128248377626491e+20
2021-04-01,1.9162412694790537e+20
2021-04-16,1.7838493989431417e+20
2021-05-01,1.584503231805566e+20
2021-05-16,1.593243225598877e+20
2021-06-01,1.578792241713924e+20
2021-06-16,1.172964574192241e+20
2021-07-01,7.341510622395952e+19
2021-07-16,1.0375598958790219e+20
2021-08-01,1.2476252188857698e+20
2021-08-16,4.772173360315303e+19
2021-09-01,9.123925291858307e+19
2021-09-16,1.0047567699768582e+20
2021-10-01,1.3201239065408717e+20
2021-10-16,1.0551930183159623e+20
2021-11-01,1.1111734982985479e+20
2021-11-16,1.0411210100513433e+20
2021-12-01,6.8892263526781e+19
2021-12-16,7.101249498019832e+19
2022-01-01,1.1644734848357633e+20
2022-01-16,1.0201234281058147e+20
2022-02-01,9.510060612125247e+19
2022-02-16,9.221613791914084e+19
2022-03-01,1.0079213113954297e+20
2022-03-16,1.777177348481771e+20
2022-04-01,1.9313335418236997e+20
2022-04-16,1.5502651645676192e+20
2022-05-01,1.4293842840488149e+20
2022-05-16,1.4825974638317774e+20
2022-06-01,1.9112432584474116e+20
2022-06-16,1.4141299292561786e+20
2022-07-01,6.177792462423009e+19
2022-07-16,1.3507888406633706e+20
2022-08-01,9.822294935823568e+19
2022-08-16,8.93522621793085e+19
2022-09-01,1.0688845596750687e+20
2022-09-16,1.1076713375133157e+20
2022-10-01,9.586096991583261e+19
2022-10-16,1.0109288369367823e+20
2022-11-01,1.302890643362398e+20
2022-11-16,1.067895883541243e+20
2022-12-01,1.1155150961606505e+20
2022-12-16,1.0906000453698753e+20
2023-01-01,1.179060230156401e+20
2023-01-16,1.1947742499622013e+20
2023-02-01,1.0258696208277986e+20
2023-02-16,1.3567544804878767e+20
2023-03-01,1.714601815891577e+20
2023-03-16,1.5511319584653987e+20
2023-04-01,1.783796831463027e+20
2023-04-16,1.538548063771163e+20
2023-05-01,1.3728506060743713e+20
2023-05-16,1.6860475494053334e+20
2023-06-01,1.804388487111827e+20
2023-06-16,1.950175088984828e+20
2023-07-01,1.1304037188238293e+20
2023-07-16,9.601551399407683e+19
2023-08-01,1.2822242658317196e+20
2023-08-16,9.996035529792448e+19
2023-09-01,1.6388527436259888e+20
2023-09-16,8.211479503977528e+19
2023-10-01,1.1351479219283375e+20
2023-10-16,1.003333413865397e+20
2023-11-01,9.881601631557797e+19
2023-11-16,1.0857383270561194e+20
2023-12-01,7.107085971403179e+19
2023-12-16,9.853984390657481e+19
