date,mean_concentration
2019-01-01,1.0142366635845581e+20
2019-01-16,9.64828720714015e+19
2019-02-01,1.1280648219185804e+20
2019-02-16,9.808736207337182e+19
2019-03-01,7.939075725448554e+19
2019-03-16,1.1948035606249569e+20
2019-04-01,9.415364132373856e+19
2019-04-16,9.925470040013121e+19
2019-05-01,1.4308503567059862e+20
2019-05-16,1.63716714860724e+20
2019-06-01,1.3362239365595932e+20
2019-06-16,1.2834501620712818e+20
2019-07-01,1.1749942407958055e+20
2019-07-16,1.2683261910776619e+20
2019-08-01,1.1520071679424505e+20
2019-08-16,1.2664212515663633e+20
2019-09-01,1.2713778282222528e+20
2019-09-16,1.0727793906217427e+20
2019-10-01,1.1930514651346112e+20
2019-10-16,1.0444179042722768e+20
2019-11-01,1.0151584396005315e+20
2019-11-16,1.1291655267735046e+20
2019-12-01,8.160596651782896e+19
2019-12-16,9.8361005585121e+19
2020-01-01,8.772698996943415e+19
2020-01-16,9.004363524564831e+19
2020-02-01,8.832961149701828e+19
2020-02-16,
2020-03-01,1.2385118685259897e+20
2020-03-16,1.6118339883125123e+20
2020-04-01,1.241435770653842e+20
2020-04-16,9.626149609678748e+19
2020-05-01,9.706782992300138e+19
2020-05-16,1.2344029074512188e+20
2020-06-01,1.359646723771066e+20
2020-06-16,9.078736646026625e+19
2020-07-01,1.1686963320641066e+20
2020-07-16,
2020-08-01,1.3265345950416617e+20
2020-08-16,1.0317703641358883e+20
2020-09-01,9.883951714861574e+19
2020-09-16,1.288502754515035e+20
2020-10-01,9.764667528664377e+19
2020-10-16,1.4266835846089664e+20
2020-11-01,1.2121409546983147e+20
2020-11-16,1.1395452607707655e+20
2020-12-01,1.1186831672990587e+20
2020-12-16,1.2509042636511245e+20
2021-01-01,9.948404112787669e+19
2021-01-16,7.761787140310722e+19
2021-02-01,1.0909181093483058e+20
2021-02-16,1.1056517251164709e+20
2021-03-01,1.2375478206430406e+20
2021-03-16,1.7153718940243588e+20
2021-04-01,1.681021860909077e+20
2021-04-16,1.3645370533513563e+20
2021-05-01,
2021-05-16,1.3752072239904429e+20
2021-06-01,1.178513283310636e+20
2021-06-16,9.002301830922541e+19
2021-07-01,-6.388710102836658e+19
2021-07-16,1.3080676937935746e+20
2021-08-01,1.298438917069484e+20
2021-08-16,9.942769341068988e+19
2021-09-01,1.2227293795869124e+20
2021-09-16,1.1880690299712907e+20
2021-10-01,1.4183444586582814e+20
2021-10-16,1.1353879167027012e+20
2021-11-01,1.2507999841778853e+20
2021-11-16,1.2826706337787144e+20
2021-12-01,1.0372738191191464e+20
2021-12-16,1.1017866446685331e+20
2022-01-01,1.186287596580693e+20
2022-01-16,8.362291125671087e+19
2022-02-01,7.56712561029618e+19
2022-02-16,1.0053694041131111e+20
2022-03-01,1.647253362675153e+20
2022-03-16,2.007953492894544e+20
2022-04-01,8.19390710312045e+19
2022-04-16,1.0984292039227733e+20
2022-05-01,1.0947064697930798e+20
2022-05-16,1.335738109458688e+20
2022-06-01,
2022-06-16,1.2944911273911234e+20
2022-07-01,1.2780043059388534e+20
2022-07-16,1.4014886546044576e+20
2022-08-01,1.2251148686197005e+20
2022-08-16,1.3941672795954151e+20
2022-09-01,1.1936572198243148e+20
2022-09-16,1.2899584943862527e+20
2022-10-01,1.3937584592766252e+20
2022-10-16,9.533226631604172e+19
2022-11-01,1.2472963169104247e+20
2022-11-16,1.0958984566386044e+20
2022-12-01,9.98904312654348e+19
2022-12-16,1.1262585652003942e+20
2023-01-01,1.329203554255952e+20
2023-01-16,1.0958287845547228e+20
2023-02-01,1.4172385462651445e+20
2023-02-16,1.1279464819665025e+20
2023-03-01,1.541076347147301e+20
2023-03-16,1.2312147972809192e+20
2023-04-01,1.524390861700627e+20
2023-04-16,1.49299931622144e+20
2023-05-01,1.3669550609220364e+20
2023-05-16,1.428762172983825e+20
2023-06-01,1.4649528953270467e+20
2023-06-16,1.2712990595979618e+20
2023-07-01,1.0454271094184314e+20
2023-07-16,1.505798944177023e+20
2023-08-01,9.414236360126772e+19
2023-08-16,1.2117605634538349e+20
2023-09-01,1.6917001719358423e+20
2023-09-16,1.3299626398092055e+20
2023-10-01,8.892430874586579e+19
2023-10-16,1.2271620784046727e+20
2023-11-01,1.2351487470841918e+20
2023-11-16,9.87427034804148e+19
2023-12-01,8.180658748739317e+19
2023-12-16,9.766201042091501e+19
