date,mean_concentration
2019-01-01,9.340436569059226e+19
2019-01-16,1.0650883694162364e+20
2019-02-01,9.98999998459009e+19
2019-02-16,1.0633284463006931e+20
2019-03-01,1.1133957377709937e+20
2019-03-16,1.4294891126784395e+20
2019-04-01,1.0960407278668512e+20
2019-04-16,1.3330312276768045e+20
2019-05-01,1.2313444253541e+20
2019-05-16,1.2837383314084204e+20
2019-06-01,1.203757695616258e+20
2019-06-16,1.1802105197187298e+20
2019-07-01,1.0402880723492184e+20
2019-07-16,1.1687816576902188e+20
2019-08-01,8.52624562134333e+19
2019-08-16,1.0482776677548805e+20
2019-09-01,1.0539384165612967e+20
2019-09-16,1.050682578927081e+20
2019-10-01,1.161340879030696e+20
2019-10-16,9.616680051136135e+19
2019-11-01,1.0210476944034062e+20
2019-11-16,1.1182797047592762e+20
2019-12-01,8.700188163675234e+19
2019-12-16,1.0981727924508069e+20
2020-01-01,7.034377907882394e+19
2020-01-16,7.800166248891705e+19
2020-02-01,1.0117374187506926e+20
2020-02-16,1.4705927878678204e+20
2020-03-01,1.5174361735720547e+20
2020-03-16,1.745398478474681e+20
2020-04-01,1.3688195190601305e+20
2020-04-16,1.039284617302505e+20
2020-05-01,9.939075934001113e+19
2020-05-16,1.1646827541955351e+20
2020-06-01,1.1573279244171433e+20
2020-06-16,9.2921941930558e+19
2020-07-01,8.979476846703901e+19
2020-07-16,
2020-08-01,9.974537131009275e+19
2020-08-16,8.463494278896887e+19
2020-09-01,9.16552907102882e+19
2020-09-16,1.1747857338996226e+20
2020-10-01,1.0995498042232994e+20
2020-10-16,1.1045513906409945e+20
2020-11-01,9.556008171377679e+19
2020-11-16,1.1338735664530573e+20
2020-12-01,1.0162575793212798e+20
2020-12-16,1.0331738447476244e+20
2021-01-01,1.0309321161664999e+20
2021-01-16,8.843733216998774e+19
2021-02-01,1.010348643551564e+20
2021-02-16,1.1371237153595672e+20
2021-03-01,1.3892247790345937e+20
2021-03-16,1.681507778077122e+20
2021-04-01,1.3316291787864198e+20
2021-04-16,1.3419527188032646e+20
2021-05-01,1.216241440123757e+20
2021-05-16,1.3717888835597237e+20
2021-06-01,1.1901145309701266e+20
2021-06-16,8.327478329447023e+19
2021-07-01,2.0937528340638207e+20
2021-07-16,9.355760372878208e+19
2021-08-01,1.0790320916763507e+20
2021-08-16,8.763591690619508e+19
2021-09-01,9.828639835094447e+19
2021-09-16,1.0295318769928969e+20
2021-10-01,1.2247392783990915e+20
2021-10-16,1.1906919383275425e+20
2021-11-01,9.384377393208576e+19
2021-11-16,1.1225400806332614e+20
2021-12-01,1.2772659517471102e+20
2021-12-16,1.054865041462691e+20
2022-01-01,8.175550480411458e+19
2022-01-16,7.3639112146859926e+19
2022-02-01,9.412024015276548e+19
2022-02-16,9.590027124314404e+19
2022-03-01,1.4178441299604157e+20
2022-03-16,1.7884968423144476e+20
2022-04-01,1.3471342218338e+20
2022-04-16,1.3493945324656878e+20
2022-05-01,1.1040930255166654e+20
2022-05-16,1.5135063799688816e+20
2022-06-01,1.0592783122558986e+20
2022-06-16,6.5055147980576915e+19
2022-07-01,1.2479576517514445e+20
2022-07-16,1.1165762029347375e+20
2022-08-01,9.119770079384989e+19
2022-08-16,9.990622419298224e+19
2022-09-01,1.1065730262631532e+20
2022-09-16,1.0230351362855977e+20
2022-10-01,7.678915193957768e+19
2022-10-16,1.1026463579579572e+20
2022-11-01,1.0495257699770583e+20
2022-11-16,1.1108336329673371e+20
2022-12-01,9.270454801411837e+19
2022-12-16,1.084660201662172e+20
2023-01-01,1.1718200491779236e+20
2023-01-16,9.692449870096867e+19
2023-02-01,1.0388792995463001e+20
2023-02-16,1.368100086879098e+20
2023-03-01,1.587942865437388e+20
2023-03-16,1.5975270220604405e+20
2023-04-01,1.2921767004269594e+20
2023-04-16,1.3729661650778176e+20
2023-05-01,1.2665708252241119e+20
2023-05-16,1.3255240754097316e+20
2023-06-01,1.282064718936624e+20
2023-06-16,9.812822518582442e+19
2023-07-01,8.861825144684827e+19
2023-07-16,1.1589503853493626e+20
2023-08-01,8.426447136740565e+19
2023-08-16,1.2825746261853289e+20
2023-09-01,1.2948804826980106e+20
2023-09-16,1.0909925731763746e+20
2023-10-01,9.513220517378997e+19
2023-10-16,1.0390546135517995e+20
2023-11-01,9.991083027977517e+19
2023-11-16,7.191909906655278e+19
2023-12-01,1.1233540835401351e+20
2023-12-16,9.149154409000598e+19
