date,mean_concentration
2019-01-01,1.1661689936049352e+20
2019-01-16,1.1426998078931377e+20
2019-02-01,1.1662026358685095e+20
2019-02-16,1.1370192487427038e+20
2019-03-01,1.121345238415613e+20
2019-03-16,1.4187329017971692e+20
2019-04-01,1.2791377153934967e+20
2019-04-16,1.0680606909219883e+20
2019-05-01,1.1769088834220922e+20
2019-05-16,1.204933687248569e+20
2019-06-01,1.186933658793942e+20
2019-06-16,8.477589011054425e+19
2019-07-01,8.035422583210579e+19
2019-07-16,5.131283971803252e+19
2019-08-01,3.913615112748849e+19
2019-08-16,6.168739052396284e+19
2019-09-01,2.7272022141877002e+19
2019-09-16,7.623300729561784e+19
2019-10-01,1.0420135781560818e+20
2019-10-16,9.096761723577829e+19
2019-11-01,9.304301998212491e+19
2019-11-16,9.845347311904555e+19
2019-12-01,1.0523018358377041e+20
2019-12-16,1.056900007757333e+20
2020-01-01,1.2977643710771274e+20
2020-01-16,1.0820924583043816e+20
2020-02-01,1.2056532202424445e+20
2020-02-16,9.939433175994435e+19
2020-03-01,1.3294922830647674e+20
2020-03-16,1.3283032604628754e+20
2020-04-01,1.2806010653105681e+20
2020-04-16,1.2895438724431033e+20
2020-05-01,1.4158113966817498e+20
2020-05-16,1.1894868307119478e+20
2020-06-01,7.566338988037636e+19
2020-06-16,6.413166327345051e+19
2020-07-01,6.67433971292959e+19
2020-07-16,5.571636152007968e+19
2020-08-01,6.61356004728138e+19
2020-08-16,4.614485826353847e+19
2020-09-01,7.773493565384085e+19
2020-09-16,8.015036642657554e+19
2020-10-01,9.640568081142091e+19
2020-10-16,1.0594368014961938e+20
2020-11-01,1.0021665258348688e+20
2020-11-16,1.1075198127277602e+20
2020-12-01,9.674658705407564e+19
2020-12-16,1.0058953608399995e+20
2021-01-01,7.812670765683281e+19
2021-01-16,1.3600076545901961e+20
2021-02-01,1.0630678464699402e+20
2021-02-16,1.3876013454271586e+20
2021-03-01,1.3260978436775965e+20
2021-03-16,1.5549153226277883e+20
2021-04-01,1.5010913670262856e+20
2021-04-16,1.3557809590130526e+20
2021-05-01,1.4101247902866806e+20
2021-05-16,1.2983807031424673e+20
2021-06-01,1.0908162588513342e+20
2021-06-16,6.719922615948065e+19
2021-07-01,4.4548359900199125e+19
2021-07-16,3.4201573861241025e+19
2021-08-01,5.78285894108714e+19
2021-08-16,7.7198190211151e+19
2021-09-01,7.380646067918812e+19
2021-09-16,7.902976261768344e+19
2021-10-01,7.0577601743553e+19
2021-10-16,1.0993158377938028e+20
2021-11-01,1.1723590681473919e+20
2021-11-16,1.0086629697168084e+20
2021-12-01,6.798390516204064e+19
2021-12-16,9.94431341201051e+19
2022-01-01,1.0327458737553431e+20
2022-01-16,1.3753537750713691e+20
2022-02-01,1.376317796366879e+20
2022-02-16,1.2612634403397172e+20
2022-03-01,1.2720660968797831e+20
2022-03-16,1.3973816072723209e+20
2022-04-01,1.5607883733132506e+20
2022-04-16,1.525409285759763e+20
2022-05-01,1.2922315547665677e+20
2022-05-16,1.0609665354323634e+20
2022-06-01,1.1705717966550735e+20
2022-06-16,7.038895099764884e+19
2022-07-01,9.833760655589147e+19
2022-07-16,6.429541020719127e+19
2022-08-01,7.040313945995523e+19
2022-08-16,5.111931850543075e+19
2022-09-01,7.980214448388284e+19
2022-09-16,6.145468259567776e+19
2022-10-01,6.80999588473862e+19
2022-10-16,9.165387267427764e+19
2022-11-01,1.038305820238686e+20
2022-11-16,1.129562047342338e+20
2022-12-01,7.73645751769963e+19
2022-12-16,1.0966993430213024e+20
2023-01-01,1.1940508582515715e+20
2023-01-16,1.0938807472198464e+20
2023-02-01,1.3225487312291468e+20
2023-02-16,1.4389745934850695e+20
2023-03-01,1.388919171985101e+20
2023-03-16,1.1117591224553092e+20
2023-04-01,1.2474924705777615e+20
2023-04-16,1.4328615849260383e+20
2023-05-01,1.3365739470874973e+20
2023-05-16,1.3402911710477464e+20
2023-06-01,1.0117074917539612e+20
2023-06-16,9.936763633854721e+19
2023-07-01,7.0574905235725574e+19
2023-07-16,
2023-08-01,7.155908371542026e+19
2023-08-16,4.946761392768256e+19
2023-09-01,6.895111513868304e+19
2023-09-16,4.827220471333771e+19
2023-10-01,1.0054460182317577e+20
2023-10-16,1.1303587237199326e+20
2023-11-01,1.4166782406738713e+20
2023-11-16,9.741456677231529e+19
2023-12-01,1.0317671446626979e+20
2023-12-16,1.1529674356866177e+20
