date,mean_concentration
2019-01-01,8.50114847615028e+19
2019-01-16,1.4543305155462287e+20
2019-02-01,7.602567791261971e+19
2019-02-16,5.911549661428856e+19
2019-03-01,5.583386172321904e+19
2019-03-16,6.988637070984539e+19
2019-04-01,7.703832045641271e+19
2019-04-16,7.956157196156386e+19
2019-05-01,8.74891263527043e+19
2019-05-16,1.2476089500109732e+20
2019-06-01,1.62243270488884e+20
2019-06-16,1.6410307983895645e+20
2019-07-01,1.870122826394321e+20
2019-07-16,1.099842111449605e+20
2019-08-01,9.017133712018907e+19
2019-08-16,1.1362866177537751e+20
2019-09-01,1.357164564106646e+20
2019-09-16,6.2182127551938896e+19
2019-10-01,9.768031995174643e+19
2019-10-16,8.394343871499003e+19
2019-11-01,1.1935099268996078e+20
2019-11-16,9.914556056681988e+19
2019-12-01,1.0334339535245296e+20
2019-12-16,1.0191843755333455e+20
2020-01-01,5.522738250519455e+19
2020-01-16,8.394367411645256e+19
2020-02-01,5.099606749675345e+19
2020-02-16,9.24871156910431e+19
2020-03-01,8.453281815229345e+19
2020-03-16,7.110238887694252e+19
2020-04-01,6.6164492979614654e+19
2020-04-16,5.459354812384322e+19
2020-05-01,6.541686909638465e+19
2020-05-16,1.0949071319583905e+20
2020-06-01,1.2173501701925877e+20
2020-06-16,1.2920765377992937e+20
2020-07-01,1.186594838845213e+20
2020-07-16,7.712772038831928e+19
2020-08-01,7.866731195111673e+19
2020-08-16,
2020-09-01,9.792090248125166e+19
2020-09-16,1.028784977851616e+20
2020-10-01,1.4614272462068438e+20
2020-10-16,1.5079930772749733e+20
2020-11-01,1.2987879333053977e+20
2020-11-16,5.338576538835736e+19
2020-12-01,1.1665265601674204e+20
2020-12-16,1.2295055862826397e+20
2021-01-01,7.800709928360259e+19
2021-01-16,8.944854955414312e+19
2021-02-01,9.462050700550857e+19
2021-02-16,8.459827336967668e+19
2021-03-01,7.041722574316435e+19
2021-03-16,1.041113056945277e+20
2021-04-01,1.1822739926245147e+20
2021-04-16,5.985977703052742e+19
2021-05-01,1.0128847521129598e+20
2021-05-16,1.2560630250658085e+20
2021-06-01,1.1721775997097258e+20
2021-06-16,1.3999277497506701e+20
2021-07-01,1.4216342808213614e+20
2021-07-16,7.900013850231669e+19
2021-08-01,1.2444814316512079e+20
2021-08-16,1.1607922781116513e+20
2021-09-01,9.080798910931282e+19
2021-09-16,1.1626027433378459e+20
2021-10-01,8.586423074682854e+19
2021-10-16,1.2519610556475666e+20
2021-11-01,1.1424633903070428e+20
2021-11-16,1.1415779761122084e+20
2021-12-01,1.055010808625052e+20
2021-12-16,9.78538605598381e+19
2022-01-01,7.448609849258762e+19
2022-01-16,8.439894764178226e+19
2022-02-01,7.265437164394054e+19
2022-02-16,6.326597994795252e+19
2022-03-01,8.829603284667027e+19
2022-03-16,8.284938728137585e+19
2022-04-01,1.1306433036347967e+20
2022-04-16,1.064144739240415e+20
2022-05-01,1.309181237628659e+20
2022-05-16,1.058796192030431e+20
2022-06-01,1.6094441639216126e+20
2022-06-16,1.6142270251920854e+20
2022-07-01,8.257102680275285e+19
2022-07-16,9.979212417772121e+19
2022-08-01,9.888895837318295e+19
2022-08-16,9.569972244699072e+19
2022-09-01,1.0933040262051609e+20
2022-09-16,1.0575492768363895e+20
2022-10-01,9.911966910676558e+19
2022-10-16,1.1504442152763741e+20
2022-11-01,1.1874262452275708e+20
2022-11-16,9.997240503018055e+19
2022-12-01,7.724079883344105e+19
2022-12-16,8.851982862319832e+19
2023-01-01,1.108267382172831e+20
2023-01-16,1.0897538055360163e+20
2023-02-01,7.3700425985392345e+19
2023-02-16,9.426298268440837e+19
2023-03-01,8.87308439484862e+19
2023-03-16,6.719105932186695e+19
2023-04-01,8.049045603729331e+19
2023-04-16,6.7532739096724144e+19
2023-05-01,8.297643035121625e+19
2023-05-16,9.94630884323142e+19
2023-06-01,1.1534255219339379e+20
2023-06-16,1.2253699877179189e+20
2023-07-01,9.433326554724227e+19
2023-07-16,3.3624135705949127e+19
2023-08-01,1.3672045925554432e+20
2023-08-16,8.964224825785444e+19
2023-09-01,9.223170495696839e+19
2023-09-16,9.60737680985806e+19
2023-10-01,8.919864276533335e+19
2023-10-16,8.588924347127136e+19
2023-11-01,9.116987408551553e+19
2023-11-16,1.2273533032512704e+20
2023-12-01,1.1864560926939123e+20
2023-12-16,1.1294370838212082e+20
