date,mean_concentration
2019-01-01,1.1791646554030472e+20
2019-01-16,1.0629575025806808e+20
2019-02-01,1.126629672898763e+20
2019-02-16,1.2260759445978748e+20
2019-03-01,1.2287151781230282e+20
2019-03-16,1.3473468849877026e+20
2019-04-01,1.0233221712224777e+20
2019-04-16,1.310682783288123e+20
2019-05-01,8.191714575102581e+19
2019-05-16,1.0767549442622185e+20
2019-06-01,9.127766216188654e+19
2019-06-16,9.545979023304647e+19
2019-07-01,7.695226224091968e+19
2019-07-16,1.016197218363426e+20
2019-08-01,5.663105519677161e+19
2019-08-16,6.311597518772614e+19
2019-09-01,9.060057613416228e+19
2019-09-16,9.645859093566815e+19
2019-10-01,1.2587048471439756e+20
2019-10-16,1.2305016840998797e+20
2019-11-01,1.4898860253622193e+20
2019-11-16,1.3563006018577795e+20
2019-12-01,1.1445990948630598e+20
2019-12-16,9.529597914759799e+19
2020-01-01,9.810752706442438e+19
2020-01-16,1.2006350992744382e+20
2020-02-01,1.2408192612985533e+20
2020-02-16,1.1903368675197413e+20
2020-03-01,1.025272967892335e+20
2020-03-16,1.4274735374371806e+20
2020-04-01,1.1956162645205184e+20
2020-04-16,1.0004382213082926e+20
2020-05-01,1.0555474016737704e+20
2020-05-16,1.0487954131148231e+20
2020-06-01,8.542627033404234e+19
2020-06-16,9.064492812564449e+19
2020-07-01,8.296525685956639e+19
2020-07-16,6.993446514540503e+19
2020-08-01,8.322424216709172e+19
2020-08-16,5.879086723610506e+19
2020-09-01,1.1880505809903111e+20
2020-09-16,7.728227414403e+19
2020-10-01,1.6558583107782918e+20
2020-10-16,1.4539972010961486e+20
2020-11-01,1.3187486542775722e+20
2020-11-16,1.449791505088156e+20
2020-12-01,1.3541819719948095e+20
2020-12-16,1.274422158060139e+20
2021-01-01,1.0297452326920741e+20
2021-01-16,1.1895504947360555e+20
2021-02-01,1.1913108086782755e+20
2021-02-16,1.33055740961303e+20
2021-03-01,1.336153981772387e+20
2021-03-16,1.348915671071206e+20
2021-04-01,1.2278004508235696e+20
2021-04-16,1.2536435126981822e+20
2021-05-01,1.1438464216516985e+20
2021-05-16,9.15315059275415e+19
2021-06-01,9.370444706582708e+19
2021-06-16,7.832947936278143e+19
2021-07-01,4.114627041907026e+19
2021-07-16,
2021-08-01,6.886361789870194e+19
2021-08-16,8.431568064392703e+19
2021-09-01,7.394900752299575e+19
2021-09-16,7.616928566504995e+19
2021-10-01,1.8043446641818396e+20
2021-10-16,1.3346731911101986e+20
2021-11-01,1.3666249540414367e+20
2021-11-16,1.2755313271159947e+20
2021-12-01,1.2287033166055627e+20
2021-12-16,1.1656793742752732e+20
2022-01-01,9.268300967776212e+19
2022-01-16,1.2646908452005863e+20
2022-02-01,1.359279696153682e+20
2022-02-16,1.3652384924080333e+20
2022-03-01,1.5781204764374906e+20
2022-03-16,1.3016271506112505e+20
2022-04-01,1.4057815706770263e+20
2022-04-16,1.2198644536270214e+20
2022-05-01,1.1285871020777082e+20
2022-05-16,7.844537417927664e+19
2022-06-01,9.141552929906788e+19
2022-06-16,9.674067357503608e+19
2022-07-01,5.8878034950716916e+19
2022-07-16,6.598258977286244e+19
2022-08-01,8.134744084352706e+19
2022-08-16,6.7518278886616375e+19
2022-09-01,1.2260827080025154e+20
2022-09-16,9.399545216845493e+19
2022-10-01,1.2753661124207913e+20
2022-10-16,1.5920224246213132e+20
2022-11-01,1.5367878049937988e+20
2022-11-16,1.3545184815861975e+20
2022-12-01,1.2706953405891102e+20
2022-12-16,1.3656715622904496e+20
2023-01-01,1.2539880292555445e+20
2023-01-16,1.4070700320380302e+20
2023-02-01,1.3513069502662445e+20
2023-02-16,1.4017824966192272e+20
2023-03-01,1.3482220852467671e+20
2023-03-16,1.2300907133394058e+20
2023-04-01,1.2180378813536888e+20
2023-04-16,1.1049794686428353e+20
2023-05-01,1.2141462316847088e+20
2023-05-16,9.606892067671358e+19
2023-06-01,8.318066346818003e+19
2023-06-16,8.201432386440117e+19
2023-07-01,7.487493139620969e+19
2023-07-16,8.302371463166581e+19
2023-08-01,5.165977302424893e+19
2023-08-16,7.261401428437322e+19
2023-09-01,1.0538145582698827e+20
2023-09-16,1.1864625536305485e+20
2023-10-01,1.416381471810752e+20
2023-10-16,1.5948337392327324e+20
2023-11-01,1.3906241664224926e+20
2023-11-16,1.353193569102371e+20
2023-12-01,1.3675928595260357e+20
2023-12-16,1.515539779938756e+20
