date,mean_concentration
2019-01-01,1.1265326506703459e+20
2019-01-16,1.1095792276297328e+20
2019-02-01,1.1880310504957233e+20
2019-02-16,9.955374732541995e+19
2019-03-01,1.2363523576845361e+20
2019-03-16,1.1580017324034736e+20
2019-04-01,1.3257124160875833e+20
2019-04-16,1.5246537082796363e+20
2019-05-01,1.4593777612259313e+20
2019-05-16,1.5799917155352547e+20
2019-06-01,1.6680867769117475e+20
2019-06-16,1.5838383354781126e+20
2019-07-01,1.2390701254098937e+20
2019-07-16,1.173081701454174e+20
2019-08-01,9.152903268699272e+19
2019-08-16,8.726985153040256e+19
2019-09-01,9.128621659827728e+19
2019-09-16,1.3289366966247401e+20
2019-10-01,1.1615240636501834e+20
2019-10-16,1.273574606973305e+20
2019-11-01,1.5729476675186472e+20
2019-11-16,1.4391868993987433e+20
2019-12-01,1.2671684190147197e+20
2019-12-16,2.2355262689937988e+20
2020-01-01,7.327791312645536e+19
2020-01-16,1.1361786717783972e+20
2020-02-01,1.2600701944975257e+20
2020-02-16,1.3004068383677737e+20
2020-03-01,1.4219360263407749e+20
2020-03-16,1.076017509718521e+20
2020-04-01,1.295335688987062e+20
2020-04-16,1.2619341586652098e+20
2020-05-01,1.439004315607561e+20
2020-05-16,1.6562374359640536e+20
2020-06-01,1.371416076528816e+20
2020-06-16,1.2298948182156712e+20
2020-07-01,1.0712230826733702e+20
2020-07-16,9.296402651440077e+19
2020-08-01,1.0618302107611067e+20
2020-08-16,6.9872242966427116e+19
2020-09-01,1.3161628635938768e+20
2020-09-16,1.5474525596861078e+20
2020-10-01,1.1116747684547227e+20
2020-10-16,1.409412324992968e+20
2020-11-01,1.3120096462025099e+20
2020-11-16,1.2896986665844946e+20
2020-12-01,1.5612018607365263e+20
2020-12-16,1.194313385861956e+20
2021-01-01,1.4016114237774494e+20
2021-01-16,1.1900421741794181e+20
2021-02-01,1.1357114039376816e+20
2021-02-16,9.532377021826589e+19
2021-03-01,1.1316302992327703e+20
2021-03-16,1.2197951243425407e+20
2021-04-01,1.4321005497135378e+20
2021-04-16,1.4156435956058907e+20
2021-05-01,1.7395023052447403e+20
2021-05-16,1.323742192455991e+20
2021-06-01,1.5406113376897158e+20
2021-06-16,1.0602003346801174e+20
2021-07-01,1.1540938995358368e+20
2021-07-16,1.1760832851021845e+20
2021-08-01,7.899058881044852e+19
2021-08-16,8.01200328633645e+19
2021-09-01,1.1729796631841087e+20
2021-09-16,1.0672883312143119e+20
2021-10-01,1.4512064020741595e+20
2021-10-16,1.296699983360946e+20
2021-11-01,1.352652362950547e+20
2021-11-16,1.3902820008149135e+20
2021-12-01,1.5213203743153114e+20
2021-12-16,1.3298602388769471e+20
2022-01-01,1.603449467693198e+20
2022-01-16,8.037627404499195e+19
2022-02-01,1.0911648602099216e+20
2022-02-16,1.1083709617397318e+20
2022-03-01,1.2753898497840721e+20
2022-03-16,1.3914215726450318e+20
2022-04-01,1.529070747471023e+20
2022-04-16,1.480713186008111e+20
2022-05-01,1.9067976967957902e+20
2022-05-16,1.537096846548438e+20
2022-06-01,1.6293236460216805e+20
2022-06-16,1.5455870013615967e+20
2022-07-01,9.157213457062574e+19
2022-07-16,6.199645071942976e+19
2022-08-01,1.0702370505596785e+20
2022-08-16,9.091475468742802e+19
2022-09-01,1.3338783633120223e+20
2022-09-16,1.1744856244374038e+20
2022-10-01,1.0585941885196157e+20
2022-10-16,1.4146421921698285e+20
2022-11-01,1.4036993585528999e+20
2022-11-16,1.412034396457408e+20
2022-12-01,1.3914311774991158e+20
2022-12-16,1.2465739890158081e+20
2023-01-01,1.487967941392035e+20
2023-01-16,1.22211668286837e+20
2023-02-01,1.0792587676759423e+20
2023-02-16,1.201074194947998e+20
2023-03-01,1.2353582686490606e+20
2023-03-16,1.1137047254042975e+20
2023-04-01,1.1864700464654336e+20
2023-04-16,1.4598874109618856e+20
2023-05-01,1.4305860655256071e+20
2023-05-16,1.5694981953537075e+20
2023-06-01,1.401235253666304e+20
2023-06-16,1.4175928112569401e+20
2023-07-01,1.1216583454634535e+20
2023-07-16,8.793757086223486e+19
2023-08-01,1.5974690670240222e+20
2023-08-16,9.712324391167468e+19
2023-09-01,1.4359137975838879e+20
2023-09-16,9.433104240397833e+19
2023-10-01,1.290985987941056e+20
2023-10-16,1.3039999755378698e+20
2023-11-01,1.3958742251731514e+20
2023-11-16,1.6133417797191287e+20
2023-12-01,1.2816799527460379e+20
2023-12-16,1.4114663283096275e+20
